"Year"	"GVA"	"Emissions"	"CarbonProductivity"	"Change2000"	"Change2010"
1998	69230.691942758	81.426661641	850.221420693722	0	0
1999	70165.598954874	78.469958803	894.171476896347	0	0
2000	72708.010943903	80.225764031	906.292533603145	0	0
2001	76625.723864721	79.000420213	969.940712443347	0.0702291770926948	0
2002	80091.6242476469	74.981399138	1068.15323758152	0.178596532550993	0
2003	85228.089627734	74.986337524	1136.58157528304	0.254100120150323	0
2004	90913.788681057	72.342491918	1256.71353406111	0.386653301737792	0
2005	96454.99041951	70.769198343	1362.95157608	0.503875984348362	0
2006	102787.979793096	72.686872342	1414.12027345828	0.56033534540571	0
2007	107332.556930894	68.390791074	1569.40072260253	0.731671247872985	0
2008	112332.702301849	66.047073173	1700.79758125861	0.876654080439962	0
2009	111986.049708502	61.67752778	1815.67020824747	1.00340413379433	0
2010	112055.388299316	64.446543163	1738.73388392458	0.918512863624618	0
2011	114866.500799959	57.408629308	2000.85774881847	1.20773941595179	0.150755597114287
2012	118920.583821934	57.736833126	2059.70049591067	1.27266629652341	0.184597893302468
2013	124794.722918921	55.548732323	2246.58093353554	1.47886951534712	0.292078652349417
2014	130206.631478789	51.966454578	2505.59004912203	1.76465926422296	0.441042860145193
2015	132320.590145624	51.504585006	2569.10312218241	1.83473936607249	0.477571206229424
2016	135000.46493645	46.787551512	2885.39281440759	2.18373230212561	0.659479257340311
2017	141026.608691245	45.757997658	3082.01005090503	2.40067907064389	0.772559952618214
2018	144321.574650666	47.001742332	3070.55797275005	2.38804288781067	0.765973505858956
2019	148886.679114999	46.20676728	3222.1834133686	2.55534586670175	0.853178018303559
2020	137010.065020536	40.640689226	3371.25348092973	2.71982925593202	0.938912856129724
2021	149424.497860296	41.611450346	3590.94664131696	2.96223791786129	1.06526523381005
