"Generation - Technology"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"
"Wind"	33791.2346222579	30002.3031799682	25084.0478974825	19580.6023106564	20975.5988662362	16510.0301554421	14231.769312366	9066.92803308812	6246.85639816543	3660.19081795776	3061.82070205546	2204.68626064	0	0	0	0	0
"Shoreline wave / tidal"	0	0	0	0	0	0.0383238694632383	0.181615313791096	0.131863715505229	0.0254012082911622	0	0	0	0	0	0	0	0
"Solar PV"	11227.8321485633	11102.3018677395	10067.8339268197	9231.85466700954	6738.02103437984	3630.35062063612	1783.02879284863	1194.59252033672	221.686645272072	22.9448142624978	0.55513937274112	0.48868864	0	0	0	0	0
"Hydro"	128.737376369809	127.267975594556	125.12910906114	92.0611073102285	102.58030866045	99.5218988146926	81.8965102448175	90.274400118229	73.213373254132	61.1382431010312	74.6819734888764	80.00158404	0	0	0	0	0
"Landfill gas"	3030.17920912597	3287.4657247805	3590.48743198545	3960.91430339569	4106.3741392817	4245.1431404214	4350.6883177097	4380.08076997842	4513.38869460016	4226.99444094	4146.26168521681	4012.023264	0	0	0	0	0
"Sewage sludge digestion"	970.652857365158	912.143508603016	886.112355317221	871.948280289634	815.483501253859	767.828328686126	689.687408970975	662.650177983202	700.666551490487	651.035686046649	569.551723988	522.699963	0	0	0	0	0
"Other biomass (inc. co-firing) 4"	28956.2213226341	26789.1829875213	23448.9373337214	22136.7966922335	21447.1717203368	15145.135322465	10930.4452334172	7512.6651572419	6113.35165757553	5212.62663851105	4155.21151127594	3609.33337270047	0	0	0	0	0
"Total"	78104.8575363162	72220.6652442071	63202.5480543874	55874.177360895	54185.2295701488	40398.0477903349	32067.6971908711	22907.3229224621	17869.1887215661	13834.930640819	12008.0827353978	10429.2331330205	0	0	0	0	0
