"Lookup"	"Year"	"Sector"	"End Use"	"Fuel"	"Value"
"2017TotalWater heatingGas"	2017	"Total"	"Water heating"	"Gas"	6384.07052476671
"2017TotalCooking/cateringGas"	2017	"Total"	"Cooking/catering"	"Gas"	1157.4421999783
"2017TotalProcess useGas"	2017	"Total"	"Process use"	"Gas"	5432.22642856644
"2017TotalDrying/separationGas"	2017	"Total"	"Drying/separation"	"Gas"	1037.91177883394
"2017TotalUnkown (heat)Gas"	2017	"Total"	"Unkown (heat)"	"Gas"	0
"2017TotalHeat totalGas"	2017	"Total"	"Heat total"	"Gas"	40068.9767836615
"2017TotalComputingGas"	2017	"Total"	"Computing"	"Gas"	0
"2017TotalCooling and ventilationGas"	2017	"Total"	"Cooling and ventilation"	"Gas"	2.43943131606059
"2017TotalLighting and appliancesGas"	2017	"Total"	"Lighting and appliances"	"Gas"	0
"2017TotalMotorsGas"	2017	"Total"	"Motors"	"Gas"	0
"2017TotalCompressed airGas"	2017	"Total"	"Compressed air"	"Gas"	0
"2017TotalRefrigerationGas"	2017	"Total"	"Refrigeration"	"Gas"	0
"2017TotalOtherGas"	2017	"Total"	"Other"	"Gas"	1577.82686568213
"2017TotalTransportGas"	2017	"Total"	"Transport"	"Gas"	0
"2017TotalNon-heat totalGas"	2017	"Total"	"Non-heat total"	"Gas"	1580.26629699819
"2017TotalOverall totalGas"	2017	"Total"	"Overall total"	"Gas"	41649.2430806597
"2017TotalOverall total excluding transportGas"	2017	"Total"	"Overall total excluding transport"	"Gas"	41649.2430806597
"2016DomesticSpace heatingGas"	2016	"Domestic"	"Space heating"	"Gas"	19567.7585987164
"2016DomesticHeat totalGas"	2016	"Domestic"	"Heat total"	"Gas"	26300.5120020945
"2016DomesticLighting and appliancesGas"	2016	"Domestic"	"Lighting and appliances"	"Gas"	0
"2016DomesticOverall totalGas"	2016	"Domestic"	"Overall total"	"Gas"	26300.5120020945
"2016ServiceSpace heatingGas"	2016	"Service"	"Space heating"	"Gas"	6025.28691473152
"2016ServiceWater heatingGas"	2016	"Service"	"Water heating"	"Gas"	799.747116223004
"2016ServiceCooking/cateringGas"	2016	"Service"	"Cooking/catering"	"Gas"	584.89090401165
"2016ServiceHeat totalGas"	2016	"Service"	"Heat total"	"Gas"	7409.92493496617
"2016ServiceComputingGas"	2016	"Service"	"Computing"	"Gas"	0
"2016ServiceCooling and ventilationGas"	2016	"Service"	"Cooling and ventilation"	"Gas"	2.51014635797506
"2016ServiceLightingGas"	2016	"Service"	"Lighting"	"Gas"	0
"2016ServiceOtherGas"	2016	"Service"	"Other"	"Gas"	611.913867157824
"2016ServiceOverall totalGas"	2016	"Service"	"Overall total"	"Gas"	8024.34894848197
"2016IndustrySpace heatingGas"	2016	"Industry"	"Space heating"	"Gas"	1021.78492632444
"2016IndustryHigh temperature processGas"	2016	"Industry"	"High temperature process"	"Gas"	1887.74815890449
"2016IndustryLow temperature processGas"	2016	"Industry"	"Low temperature process"	"Gas"	3406.55713053449
"2016IndustryDrying/separationGas"	2016	"Industry"	"Drying/separation"	"Gas"	987.527385743995
"2016IndustryUnkown (heat)Gas"	2016	"Industry"	"Unkown (heat)"	"Gas"	0
"2016IndustryHeat totalGas"	2016	"Industry"	"Heat total"	"Gas"	7303.61760150741
"2016IndustryMotorsGas"	2016	"Industry"	"Motors"	"Gas"	0
"2016IndustryCompressed airGas"	2016	"Industry"	"Compressed air"	"Gas"	0
"2016IndustryLightingGas"	2016	"Industry"	"Lighting"	"Gas"	0
"2016IndustryRefrigerationGas"	2016	"Industry"	"Refrigeration"	"Gas"	0
"2016IndustryOtherGas"	2016	"Industry"	"Other"	"Gas"	948.558316293079
"2016IndustryOverall totalGas"	2016	"Industry"	"Overall total"	"Gas"	8252.17591780049
"2016TransportNon-heat purposesGas"	2016	"Transport"	"Non-heat purposes"	"Gas"	0
"2016TotalSpace heatingGas"	2016	"Total"	"Space heating"	"Gas"	26614.8304397724
"2016TotalWater heatingGas"	2016	"Total"	"Water heating"	"Gas"	6885.615746622
"2016TotalCooking/cateringGas"	2016	"Total"	"Cooking/catering"	"Gas"	1231.77567699071
"2016TotalProcess useGas"	2016	"Total"	"Process use"	"Gas"	5294.30528943898
"2016TotalDrying/separationGas"	2016	"Total"	"Drying/separation"	"Gas"	987.527385743995
"2016TotalUnkown (heat)Gas"	2016	"Total"	"Unkown (heat)"	"Gas"	0
"2016TotalHeat totalGas"	2016	"Total"	"Heat total"	"Gas"	41014.0545385681
"2016TotalComputingGas"	2016	"Total"	"Computing"	"Gas"	0
"2016TotalCooling and ventilationGas"	2016	"Total"	"Cooling and ventilation"	"Gas"	2.51014635797506
"2016TotalLighting and appliancesGas"	2016	"Total"	"Lighting and appliances"	"Gas"	0
"2016TotalMotorsGas"	2016	"Total"	"Motors"	"Gas"	0
"2016TotalCompressed airGas"	2016	"Total"	"Compressed air"	"Gas"	0
"2016TotalRefrigerationGas"	2016	"Total"	"Refrigeration"	"Gas"	0
"2016TotalOtherGas"	2016	"Total"	"Other"	"Gas"	1560.4721834509
"2016TotalTransportGas"	2016	"Total"	"Transport"	"Gas"	0
"2016TotalNon-heat totalGas"	2016	"Total"	"Non-heat total"	"Gas"	1562.98232980888
"2016TotalOverall totalGas"	2016	"Total"	"Overall total"	"Gas"	42577.036868377
"2016TotalOverall total excluding transportGas"	2016	"Total"	"Overall total excluding transport"	"Gas"	42577.036868377
"2018DomesticSpace heatingOil"	2018	"Domestic"	"Space heating"	"Oil"	2004.80667215365
"2018DomesticHeat totalOil"	2018	"Domestic"	"Heat total"	"Oil"	2477.16765856418
"2018DomesticLighting and appliancesOil"	2018	"Domestic"	"Lighting and appliances"	"Oil"	0
"2018DomesticOverall totalOil"	2018	"Domestic"	"Overall total"	"Oil"	2477.16765856418
"2018ServiceSpace heatingOil"	2018	"Service"	"Space heating"	"Oil"	1598.46129853544
"2018ServiceWater heatingOil"	2018	"Service"	"Water heating"	"Oil"	256.45972071698
"2018ServiceCooking/cateringOil"	2018	"Service"	"Cooking/catering"	"Oil"	800.617614094803
"2018ServiceHeat totalOil"	2018	"Service"	"Heat total"	"Oil"	2655.53863334722
"2018ServiceComputingOil"	2018	"Service"	"Computing"	"Oil"	0
"2018ServiceCooling and ventilationOil"	2018	"Service"	"Cooling and ventilation"	"Oil"	42.8317561223357
"2018ServiceLightingOil"	2018	"Service"	"Lighting"	"Oil"	0
"2018ServiceOtherOil"	2018	"Service"	"Other"	"Oil"	62.2563195842911
"2018ServiceOverall totalOil"	2018	"Service"	"Overall total"	"Oil"	2760.62670905385
"2018IndustrySpace heatingOil"	2018	"Industry"	"Space heating"	"Oil"	112.75540651184
"2018IndustryHigh temperature processOil"	2018	"Industry"	"High temperature process"	"Oil"	179.361643929232
"2018IndustryLow temperature processOil"	2018	"Industry"	"Low temperature process"	"Oil"	253.402923796143
"2018IndustryDrying/separationOil"	2018	"Industry"	"Drying/separation"	"Oil"	79.7865375237181
"2018IndustryUnkown (heat)Oil"	2018	"Industry"	"Unkown (heat)"	"Oil"	0
"2018IndustryHeat totalOil"	2018	"Industry"	"Heat total"	"Oil"	625.306511760932
"2018IndustryMotorsOil"	2018	"Industry"	"Motors"	"Oil"	0
"2018IndustryCompressed airOil"	2018	"Industry"	"Compressed air"	"Oil"	0
"2018IndustryLightingOil"	2018	"Industry"	"Lighting"	"Oil"	0
"2018IndustryRefrigerationOil"	2018	"Industry"	"Refrigeration"	"Oil"	0
"2018IndustryOtherOil"	2018	"Industry"	"Other"	"Oil"	75.0076397274744
"2018IndustryOverall totalOil"	2018	"Industry"	"Overall total"	"Oil"	700.314151488407
"2018TransportNon-heat purposesOil"	2018	"Transport"	"Non-heat purposes"	"Oil"	55150.9584360251
"2018TotalSpace heatingOil"	2018	"Total"	"Space heating"	"Oil"	3716.02337720093
"2018TotalWater heatingOil"	2018	"Total"	"Water heating"	"Oil"	728.820707127509
"2018TotalCooking/cateringOil"	2018	"Total"	"Cooking/catering"	"Oil"	800.617614094803
"2018TotalProcess useOil"	2018	"Total"	"Process use"	"Oil"	432.764567725374
"2018TotalDrying/separationOil"	2018	"Total"	"Drying/separation"	"Oil"	79.7865375237181
"2018TotalUnkown (heat)Oil"	2018	"Total"	"Unkown (heat)"	"Oil"	0
"2018TotalHeat totalOil"	2018	"Total"	"Heat total"	"Oil"	5758.01280367233
"2018TotalComputingOil"	2018	"Total"	"Computing"	"Oil"	0
"2018TotalCooling and ventilationOil"	2018	"Total"	"Cooling and ventilation"	"Oil"	42.8317561223357
"2018TotalLighting and appliancesOil"	2018	"Total"	"Lighting and appliances"	"Oil"	0
"2018TotalMotorsOil"	2018	"Total"	"Motors"	"Oil"	0
"2018TotalCompressed airOil"	2018	"Total"	"Compressed air"	"Oil"	0
"2018TotalRefrigerationOil"	2018	"Total"	"Refrigeration"	"Oil"	0
"2018TotalOtherOil"	2018	"Total"	"Other"	"Oil"	137.263959311766
"2018TotalTransportOil"	2018	"Total"	"Transport"	"Oil"	55150.9584360251
"2018TotalNon-heat totalOil"	2018	"Total"	"Non-heat total"	"Oil"	55331.0541514592
"2018TotalOverall totalOil"	2018	"Total"	"Overall total"	"Oil"	61089.0669551316
"2018TotalOverall total excluding transportOil"	2018	"Total"	"Overall total excluding transport"	"Oil"	5938.10851910643
"2017DomesticSpace heatingOil"	2017	"Domestic"	"Space heating"	"Oil"	1995.7983125877
"2017DomesticHeat totalOil"	2017	"Domestic"	"Heat total"	"Oil"	2466.03680126834
"2017DomesticLighting and appliancesOil"	2017	"Domestic"	"Lighting and appliances"	"Oil"	0
"2017DomesticOverall totalOil"	2017	"Domestic"	"Overall total"	"Oil"	2466.03680126834
"2017ServiceSpace heatingOil"	2017	"Service"	"Space heating"	"Oil"	1603.23719148069
"2017ServiceWater heatingOil"	2017	"Service"	"Water heating"	"Oil"	257.225972719474
"2017ServiceCooking/cateringOil"	2017	"Service"	"Cooking/catering"	"Oil"	803.009704549856
"2017ServiceHeat totalOil"	2017	"Service"	"Heat total"	"Oil"	2663.47286875002
"2017ServiceComputingOil"	2017	"Service"	"Computing"	"Oil"	0
"2017ServiceCooling and ventilationOil"	2017	"Service"	"Cooling and ventilation"	"Oil"	42.9597291186696
"2017ServiceLightingOil"	2017	"Service"	"Lighting"	"Oil"	0
"2017ServiceOtherOil"	2017	"Service"	"Other"	"Oil"	62.3857444382093
"2017ServiceOverall totalOil"	2017	"Service"	"Overall total"	"Oil"	2768.81834230689
"2017IndustrySpace heatingOil"	2017	"Industry"	"Space heating"	"Oil"	125.387263764775
"2017IndustryHigh temperature processOil"	2017	"Industry"	"High temperature process"	"Oil"	180.364485959579
"2017IndustryLow temperature processOil"	2017	"Industry"	"Low temperature process"	"Oil"	256.768199981533
