"Lookup"	"Year"	"Sector"	"End Use"	"Fuel"	"Value"
"2018TransportNon-heat purposesHeat sold"	2018	"Transport"	"Non-heat purposes"	"Heat sold"	0
"2018TotalSpace heatingHeat sold"	2018	"Total"	"Space heating"	"Heat sold"	527.710807663159
"2018TotalWater heatingHeat sold"	2018	"Total"	"Water heating"	"Heat sold"	17.6600041715463
"2018TotalCooking/cateringHeat sold"	2018	"Total"	"Cooking/catering"	"Heat sold"	0.391699610645484
"2018TotalProcess useHeat sold"	2018	"Total"	"Process use"	"Heat sold"	0
"2018TotalDrying/separationHeat sold"	2018	"Total"	"Drying/separation"	"Heat sold"	0
"2018TotalUnkown (heat)Heat sold"	2018	"Total"	"Unkown (heat)"	"Heat sold"	677.222813176324
"2018TotalHeat totalHeat sold"	2018	"Total"	"Heat total"	"Heat sold"	1222.98532462167
"2018TotalComputingHeat sold"	2018	"Total"	"Computing"	"Heat sold"	0
"2018TotalCooling and ventilationHeat sold"	2018	"Total"	"Cooling and ventilation"	"Heat sold"	0.0519486089782136
"2018TotalLighting and appliancesHeat sold"	2018	"Total"	"Lighting and appliances"	"Heat sold"	0
"2018TotalMotorsHeat sold"	2018	"Total"	"Motors"	"Heat sold"	0
"2018TotalCompressed airHeat sold"	2018	"Total"	"Compressed air"	"Heat sold"	0
"2018TotalRefrigerationHeat sold"	2018	"Total"	"Refrigeration"	"Heat sold"	0
"2018TotalOtherHeat sold"	2018	"Total"	"Other"	"Heat sold"	40.4603671175209
"2018TotalTransportHeat sold"	2018	"Total"	"Transport"	"Heat sold"	0
"2018TotalNon-heat totalHeat sold"	2018	"Total"	"Non-heat total"	"Heat sold"	40.5123157264991
"2018TotalOverall totalHeat sold"	2018	"Total"	"Overall total"	"Heat sold"	1263.49764034817
"2018TotalOverall total excluding transportHeat sold"	2018	"Total"	"Overall total excluding transport"	"Heat sold"	1263.49764034817
"2017DomesticSpace heatingHeat sold"	2017	"Domestic"	"Space heating"	"Heat sold"	260.442035270525
"2017DomesticHeat totalHeat sold"	2017	"Domestic"	"Heat total"	"Heat sold"	260.442035270525
"2017DomesticLighting and appliancesHeat sold"	2017	"Domestic"	"Lighting and appliances"	"Heat sold"	0
"2017DomesticOverall totalHeat sold"	2017	"Domestic"	"Overall total"	"Heat sold"	260.442035270525
"2017ServiceSpace heatingHeat sold"	2017	"Service"	"Space heating"	"Heat sold"	260.625608626878
"2017ServiceWater heatingHeat sold"	2017	"Service"	"Water heating"	"Heat sold"	17.2210516565732
"2017ServiceCooking/cateringHeat sold"	2017	"Service"	"Cooking/catering"	"Heat sold"	0.391699610645484
"2017ServiceHeat totalHeat sold"	2017	"Service"	"Heat total"	"Heat sold"	278.238359894097
"2017ServiceComputingHeat sold"	2017	"Service"	"Computing"	"Heat sold"	0
"2017ServiceCooling and ventilationHeat sold"	2017	"Service"	"Cooling and ventilation"	"Heat sold"	0.0506573877339356
"2017ServiceLightingHeat sold"	2017	"Service"	"Lighting"	"Heat sold"	0
"2017ServiceOtherHeat sold"	2017	"Service"	"Other"	"Heat sold"	39.4546946538878
"2017ServiceOverall totalHeat sold"	2017	"Service"	"Overall total"	"Heat sold"	317.743711935718
"2017IndustrySpace heatingHeat sold"	2017	"Industry"	"Space heating"	"Heat sold"	0
"2017IndustryHigh temperature processHeat sold"	2017	"Industry"	"High temperature process"	"Heat sold"	0
"2017IndustryLow temperature processHeat sold"	2017	"Industry"	"Low temperature process"	"Heat sold"	0
"2017IndustryDrying/separationHeat sold"	2017	"Industry"	"Drying/separation"	"Heat sold"	0
"2017IndustryUnkown (heat)Heat sold"	2017	"Industry"	"Unkown (heat)"	"Heat sold"	689.88257241966
"2017IndustryHeat totalHeat sold"	2017	"Industry"	"Heat total"	"Heat sold"	689.88257241966
"2017IndustryMotorsHeat sold"	2017	"Industry"	"Motors"	"Heat sold"	0
"2017IndustryCompressed airHeat sold"	2017	"Industry"	"Compressed air"	"Heat sold"	0
"2017IndustryLightingHeat sold"	2017	"Industry"	"Lighting"	"Heat sold"	0
"2017IndustryRefrigerationHeat sold"	2017	"Industry"	"Refrigeration"	"Heat sold"	0
"2017IndustryOtherHeat sold"	2017	"Industry"	"Other"	"Heat sold"	0
"2017IndustryOverall totalHeat sold"	2017	"Industry"	"Overall total"	"Heat sold"	689.88257241966
"2017TransportNon-heat purposesHeat sold"	2017	"Transport"	"Non-heat purposes"	"Heat sold"	0
"2017TotalSpace heatingHeat sold"	2017	"Total"	"Space heating"	"Heat sold"	521.067643897403
"2017TotalWater heatingHeat sold"	2017	"Total"	"Water heating"	"Heat sold"	17.2210516565732
"2017TotalCooking/cateringHeat sold"	2017	"Total"	"Cooking/catering"	"Heat sold"	0.391699610645484
"2017TotalProcess useHeat sold"	2017	"Total"	"Process use"	"Heat sold"	0
"2017TotalDrying/separationHeat sold"	2017	"Total"	"Drying/separation"	"Heat sold"	0
"2017TotalUnkown (heat)Heat sold"	2017	"Total"	"Unkown (heat)"	"Heat sold"	689.88257241966
"2017TotalHeat totalHeat sold"	2017	"Total"	"Heat total"	"Heat sold"	1228.56296758428
"2017TotalComputingHeat sold"	2017	"Total"	"Computing"	"Heat sold"	0
"2017TotalCooling and ventilationHeat sold"	2017	"Total"	"Cooling and ventilation"	"Heat sold"	0.0506573877339356
"2017TotalLighting and appliancesHeat sold"	2017	"Total"	"Lighting and appliances"	"Heat sold"	0
"2017TotalMotorsHeat sold"	2017	"Total"	"Motors"	"Heat sold"	0
"2017TotalCompressed airHeat sold"	2017	"Total"	"Compressed air"	"Heat sold"	0
"2017TotalRefrigerationHeat sold"	2017	"Total"	"Refrigeration"	"Heat sold"	0
"2017TotalOtherHeat sold"	2017	"Total"	"Other"	"Heat sold"	39.4546946538878
"2017TotalTransportHeat sold"	2017	"Total"	"Transport"	"Heat sold"	0
"2017TotalNon-heat totalHeat sold"	2017	"Total"	"Non-heat total"	"Heat sold"	39.5053520416217
"2017TotalOverall totalHeat sold"	2017	"Total"	"Overall total"	"Heat sold"	1268.0683196259
"2017TotalOverall total excluding transportHeat sold"	2017	"Total"	"Overall total excluding transport"	"Heat sold"	1268.0683196259
"2016DomesticSpace heatingHeat sold"	2016	"Domestic"	"Space heating"	"Heat sold"	260.442035270525
"2016DomesticHeat totalHeat sold"	2016	"Domestic"	"Heat total"	"Heat sold"	260.442035270525
"2016DomesticLighting and appliancesHeat sold"	2016	"Domestic"	"Lighting and appliances"	"Heat sold"	0
"2016DomesticOverall totalHeat sold"	2016	"Domestic"	"Overall total"	"Heat sold"	260.442035270525
"2016ServiceSpace heatingHeat sold"	2016	"Service"	"Space heating"	"Heat sold"	256.173835876288
"2016ServiceWater heatingHeat sold"	2016	"Service"	"Water heating"	"Heat sold"	16.9268971070447
"2016ServiceCooking/cateringHeat sold"	2016	"Service"	"Cooking/catering"	"Heat sold"	0.391699610645484
"2016ServiceHeat totalHeat sold"	2016	"Service"	"Heat total"	"Heat sold"	273.492432593978
"2016ServiceComputingHeat sold"	2016	"Service"	"Computing"	"Heat sold"	0
"2016ServiceCooling and ventilationHeat sold"	2016	"Service"	"Cooling and ventilation"	"Heat sold"	0.0497921036986554
"2016ServiceLightingHeat sold"	2016	"Service"	"Lighting"	"Heat sold"	0
"2016ServiceOtherHeat sold"	2016	"Service"	"Other"	"Heat sold"	38.7807649680506
"2016ServiceOverall totalHeat sold"	2016	"Service"	"Overall total"	"Heat sold"	312.322989665727
"2016IndustrySpace heatingHeat sold"	2016	"Industry"	"Space heating"	"Heat sold"	0
"2016IndustryHigh temperature processHeat sold"	2016	"Industry"	"High temperature process"	"Heat sold"	0
"2016IndustryLow temperature processHeat sold"	2016	"Industry"	"Low temperature process"	"Heat sold"	0
"2016IndustryDrying/separationHeat sold"	2016	"Industry"	"Drying/separation"	"Heat sold"	0
"2016IndustryUnkown (heat)Heat sold"	2016	"Industry"	"Unkown (heat)"	"Heat sold"	666.962022118714
"2016IndustryHeat totalHeat sold"	2016	"Industry"	"Heat total"	"Heat sold"	666.962022118714
"2016IndustryMotorsHeat sold"	2016	"Industry"	"Motors"	"Heat sold"	0
"2016IndustryCompressed airHeat sold"	2016	"Industry"	"Compressed air"	"Heat sold"	0
"2016IndustryLightingHeat sold"	2016	"Industry"	"Lighting"	"Heat sold"	0
"2016IndustryRefrigerationHeat sold"	2016	"Industry"	"Refrigeration"	"Heat sold"	0
"2016IndustryOtherHeat sold"	2016	"Industry"	"Other"	"Heat sold"	0
"2016IndustryOverall totalHeat sold"	2016	"Industry"	"Overall total"	"Heat sold"	666.962022118714
"2016TransportNon-heat purposesHeat sold"	2016	"Transport"	"Non-heat purposes"	"Heat sold"	0
"2016TotalSpace heatingHeat sold"	2016	"Total"	"Space heating"	"Heat sold"	516.615871146813
"2016TotalWater heatingHeat sold"	2016	"Total"	"Water heating"	"Heat sold"	16.9268971070447
"2016TotalCooking/cateringHeat sold"	2016	"Total"	"Cooking/catering"	"Heat sold"	0.391699610645484
"2016TotalProcess useHeat sold"	2016	"Total"	"Process use"	"Heat sold"	0
"2016TotalDrying/separationHeat sold"	2016	"Total"	"Drying/separation"	"Heat sold"	0
"2016TotalUnkown (heat)Heat sold"	2016	"Total"	"Unkown (heat)"	"Heat sold"	666.962022118714
"2016TotalHeat totalHeat sold"	2016	"Total"	"Heat total"	"Heat sold"	1200.89648998322
"2016TotalComputingHeat sold"	2016	"Total"	"Computing"	"Heat sold"	0
"2016TotalCooling and ventilationHeat sold"	2016	"Total"	"Cooling and ventilation"	"Heat sold"	0.0497921036986554
"2016TotalLighting and appliancesHeat sold"	2016	"Total"	"Lighting and appliances"	"Heat sold"	0
"2016TotalMotorsHeat sold"	2016	"Total"	"Motors"	"Heat sold"	0
"2016TotalCompressed airHeat sold"	2016	"Total"	"Compressed air"	"Heat sold"	0
"2016TotalRefrigerationHeat sold"	2016	"Total"	"Refrigeration"	"Heat sold"	0
"2016TotalOtherHeat sold"	2016	"Total"	"Other"	"Heat sold"	38.7807649680506
"2016TotalTransportHeat sold"	2016	"Total"	"Transport"	"Heat sold"	0
"2016TotalNon-heat totalHeat sold"	2016	"Total"	"Non-heat total"	"Heat sold"	38.8305570717492
"2016TotalOverall totalHeat sold"	2016	"Total"	"Overall total"	"Heat sold"	1239.72704705497
"2016TotalOverall total excluding transportHeat sold"	2016	"Total"	"Overall total excluding transport"	"Heat sold"	1239.72704705497
"2018DomesticSpace heatingBioenergy & Waste"	2018	"Domestic"	"Space heating"	"Bioenergy & Waste"	2240.10462354398
"2018DomesticHeat totalBioenergy & Waste"	2018	"Domestic"	"Heat total"	"Bioenergy & Waste"	2368.53301895758
"2018DomesticLighting and appliancesBioenergy & Waste"	2018	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2018DomesticOverall totalBioenergy & Waste"	2018	"Domestic"	"Overall total"	"Bioenergy & Waste"	2368.53301895758
"2018ServiceSpace heatingBioenergy & Waste"	2018	"Service"	"Space heating"	"Bioenergy & Waste"	857.226048367819
"2018ServiceWater heatingBioenergy & Waste"	2018	"Service"	"Water heating"	"Bioenergy & Waste"	110.994373540916
"2018ServiceCooking/cateringBioenergy & Waste"	2018	"Service"	"Cooking/catering"	"Bioenergy & Waste"	0
"2018ServiceHeat totalBioenergy & Waste"	2018	"Service"	"Heat total"	"Bioenergy & Waste"	968.220421908736
"2018ServiceComputingBioenergy & Waste"	2018	"Service"	"Computing"	"Bioenergy & Waste"	0
"2018ServiceCooling and ventilationBioenergy & Waste"	2018	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2018ServiceLightingBioenergy & Waste"	2018	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2018ServiceOtherBioenergy & Waste"	2018	"Service"	"Other"	"Bioenergy & Waste"	184.825441532515
"2018ServiceOverall totalBioenergy & Waste"	2018	"Service"	"Overall total"	"Bioenergy & Waste"	1153.04586344125
"2018IndustrySpace heatingBioenergy & Waste"	2018	"Industry"	"Space heating"	"Bioenergy & Waste"	0
"2018IndustryHigh temperature processBioenergy & Waste"	2018	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2018IndustryLow temperature processBioenergy & Waste"	2018	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2018IndustryDrying/separationBioenergy & Waste"	2018	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2018IndustryUnkown (heat)Bioenergy & Waste"	2018	"Industry"	"Unkown (heat)"	"Bioenergy & Waste"	1451.9420819046
"2018IndustryHeat totalBioenergy & Waste"	2018	"Industry"	"Heat total"	"Bioenergy & Waste"	1451.9420819046
"2018IndustryMotorsBioenergy & Waste"	2018	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2018IndustryCompressed airBioenergy & Waste"	2018	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2018IndustryLightingBioenergy & Waste"	2018	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2018IndustryRefrigerationBioenergy & Waste"	2018	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2018IndustryOtherBioenergy & Waste"	2018	"Industry"	"Other"	"Bioenergy & Waste"	0
"2018IndustryOverall totalBioenergy & Waste"	2018	"Industry"	"Overall total"	"Bioenergy & Waste"	1451.9420819046
"2018TransportNon-heat purposesBioenergy & Waste"	2018	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	1363.97248495271
"2018TotalSpace heatingBioenergy & Waste"	2018	"Total"	"Space heating"	"Bioenergy & Waste"	3097.3306719118
"2018TotalWater heatingBioenergy & Waste"	2018	"Total"	"Water heating"	"Bioenergy & Waste"	239.422768954517
"2018TotalCooking/cateringBioenergy & Waste"	2018	"Total"	"Cooking/catering"	"Bioenergy & Waste"	0
"2018TotalProcess useBioenergy & Waste"	2018	"Total"	"Process use"	"Bioenergy & Waste"	0
"2018TotalDrying/separationBioenergy & Waste"	2018	"Total"	"Drying/separation"	"Bioenergy & Waste"	0
"2018TotalUnkown (heat)Bioenergy & Waste"	2018	"Total"	"Unkown (heat)"	"Bioenergy & Waste"	1451.9420819046
"2018TotalHeat totalBioenergy & Waste"	2018	"Total"	"Heat total"	"Bioenergy & Waste"	4788.69552277091
"2018TotalComputingBioenergy & Waste"	2018	"Total"	"Computing"	"Bioenergy & Waste"	0
"2018TotalCooling and ventilationBioenergy & Waste"	2018	"Total"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2018TotalLighting and appliancesBioenergy & Waste"	2018	"Total"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2018TotalMotorsBioenergy & Waste"	2018	"Total"	"Motors"	"Bioenergy & Waste"	0
"2018TotalCompressed airBioenergy & Waste"	2018	"Total"	"Compressed air"	"Bioenergy & Waste"	0
"2018TotalRefrigerationBioenergy & Waste"	2018	"Total"	"Refrigeration"	"Bioenergy & Waste"	0
"2018TotalOtherBioenergy & Waste"	2018	"Total"	"Other"	"Bioenergy & Waste"	184.825441532515
"2018TotalTransportBioenergy & Waste"	2018	"Total"	"Transport"	"Bioenergy & Waste"	1363.97248495271
"2018TotalNon-heat totalBioenergy & Waste"	2018	"Total"	"Non-heat total"	"Bioenergy & Waste"	1548.79792648522
"2018TotalOverall totalBioenergy & Waste"	2018	"Total"	"Overall total"	"Bioenergy & Waste"	6337.49344925613
"2018TotalOverall total excluding transportBioenergy & Waste"	2018	"Total"	"Overall total excluding transport"	"Bioenergy & Waste"	4973.52096430342
"2017DomesticSpace heatingBioenergy & Waste"	2017	"Domestic"	"Space heating"	"Bioenergy & Waste"	2054.99817357477
"2017DomesticHeat totalBioenergy & Waste"	2017	"Domestic"	"Heat total"	"Bioenergy & Waste"	2172.81415200552
"2017DomesticLighting and appliancesBioenergy & Waste"	2017	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2017DomesticOverall totalBioenergy & Waste"	2017	"Domestic"	"Overall total"	"Bioenergy & Waste"	2172.81415200552
"2017ServiceSpace heatingBioenergy & Waste"	2017	"Service"	"Space heating"	"Bioenergy & Waste"	818.429961863051
"2017ServiceWater heatingBioenergy & Waste"	2017	"Service"	"Water heating"	"Bioenergy & Waste"	105.971022552417
"2017ServiceCooking/cateringBioenergy & Waste"	2017	"Service"	"Cooking/catering"	"Bioenergy & Waste"	0
"2017ServiceHeat totalBioenergy & Waste"	2017	"Service"	"Heat total"	"Bioenergy & Waste"	924.400984415468
"2017ServiceComputingBioenergy & Waste"	2017	"Service"	"Computing"	"Bioenergy & Waste"	0
"2017ServiceCooling and ventilationBioenergy & Waste"	2017	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2017ServiceLightingBioenergy & Waste"	2017	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2017ServiceOtherBioenergy & Waste"	2017	"Service"	"Other"	"Bioenergy & Waste"	176.460665600157
"2017ServiceOverall totalBioenergy & Waste"	2017	"Service"	"Overall total"	"Bioenergy & Waste"	1100.86165001562
"2017IndustrySpace heatingBioenergy & Waste"	2017	"Industry"	"Space heating"	"Bioenergy & Waste"	0
"2017IndustryHigh temperature processBioenergy & Waste"	2017	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2017IndustryLow temperature processBioenergy & Waste"	2017	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2017IndustryDrying/separationBioenergy & Waste"	2017	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2017IndustryUnkown (heat)Bioenergy & Waste"	2017	"Industry"	"Unkown (heat)"	"Bioenergy & Waste"	1268.02328533735
"2017IndustryHeat totalBioenergy & Waste"	2017	"Industry"	"Heat total"	"Bioenergy & Waste"	1268.02328533735
"2017IndustryMotorsBioenergy & Waste"	2017	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2017IndustryCompressed airBioenergy & Waste"	2017	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2017IndustryLightingBioenergy & Waste"	2017	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2017IndustryRefrigerationBioenergy & Waste"	2017	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2017IndustryOtherBioenergy & Waste"	2017	"Industry"	"Other"	"Bioenergy & Waste"	0
"2017IndustryOverall totalBioenergy & Waste"	2017	"Industry"	"Overall total"	"Bioenergy & Waste"	1268.02328533735
"2017TransportNon-heat purposesBioenergy & Waste"	2017	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	997.124295404605
"2017TotalSpace heatingBioenergy & Waste"	2017	"Total"	"Space heating"	"Bioenergy & Waste"	2873.42813543782
"2017TotalWater heatingBioenergy & Waste"	2017	"Total"	"Water heating"	"Bioenergy & Waste"	223.78700098317
"2017TotalCooking/cateringBioenergy & Waste"	2017	"Total"	"Cooking/catering"	"Bioenergy & Waste"	0
"2017TotalProcess useBioenergy & Waste"	2017	"Total"	"Process use"	"Bioenergy & Waste"	0
"2017TotalDrying/separationBioenergy & Waste"	2017	"Total"	"Drying/separation"	"Bioenergy & Waste"	0
"2017TotalUnkown (heat)Bioenergy & Waste"	2017	"Total"	"Unkown (heat)"	"Bioenergy & Waste"	1268.02328533735
"2017TotalHeat totalBioenergy & Waste"	2017	"Total"	"Heat total"	"Bioenergy & Waste"	4365.23842175834
"2017TotalComputingBioenergy & Waste"	2017	"Total"	"Computing"	"Bioenergy & Waste"	0
"2017TotalCooling and ventilationBioenergy & Waste"	2017	"Total"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2017TotalLighting and appliancesBioenergy & Waste"	2017	"Total"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2017TotalMotorsBioenergy & Waste"	2017	"Total"	"Motors"	"Bioenergy & Waste"	0
"2017TotalCompressed airBioenergy & Waste"	2017	"Total"	"Compressed air"	"Bioenergy & Waste"	0
"2017TotalRefrigerationBioenergy & Waste"	2017	"Total"	"Refrigeration"	"Bioenergy & Waste"	0
"2017TotalOtherBioenergy & Waste"	2017	"Total"	"Other"	"Bioenergy & Waste"	176.460665600157
"2017TotalTransportBioenergy & Waste"	2017	"Total"	"Transport"	"Bioenergy & Waste"	997.124295404605
"2017TotalNon-heat totalBioenergy & Waste"	2017	"Total"	"Non-heat total"	"Bioenergy & Waste"	1173.58496100476
"2017TotalOverall totalBioenergy & Waste"	2017	"Total"	"Overall total"	"Bioenergy & Waste"	5538.8233827631
"2017TotalOverall total excluding transportBioenergy & Waste"	2017	"Total"	"Overall total excluding transport"	"Bioenergy & Waste"	4541.69908735849
"2016DomesticSpace heatingBioenergy & Waste"	2016	"Domestic"	"Space heating"	"Bioenergy & Waste"	2053.32661645067
"2016DomesticHeat totalBioenergy & Waste"	2016	"Domestic"	"Heat total"	"Bioenergy & Waste"	2181.50524828185
"2016DomesticLighting and appliancesBioenergy & Waste"	2016	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2016DomesticOverall totalBioenergy & Waste"	2016	"Domestic"	"Overall total"	"Bioenergy & Waste"	2181.50524828185
"2016ServiceSpace heatingBioenergy & Waste"	2016	"Service"	"Space heating"	"Bioenergy & Waste"	789.971814071793
"2016ServiceWater heatingBioenergy & Waste"	2016	"Service"	"Water heating"	"Bioenergy & Waste"	102.28623685063
"2016ServiceCooking/cateringBioenergy & Waste"	2016	"Service"	"Cooking/catering"	"Bioenergy & Waste"	0
"2016ServiceHeat totalBioenergy & Waste"	2016	"Service"	"Heat total"	"Bioenergy & Waste"	892.258050922423
"2016ServiceComputingBioenergy & Waste"	2016	"Service"	"Computing"	"Bioenergy & Waste"	0
"2016ServiceCooling and ventilationBioenergy & Waste"	2016	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2016ServiceLightingBioenergy & Waste"	2016	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2016ServiceOtherBioenergy & Waste"	2016	"Service"	"Other"	"Bioenergy & Waste"	170.324839768999
"2016ServiceOverall totalBioenergy & Waste"	2016	"Service"	"Overall total"	"Bioenergy & Waste"	1062.58289069142
"2016IndustrySpace heatingBioenergy & Waste"	2016	"Industry"	"Space heating"	"Bioenergy & Waste"	0
"2016IndustryHigh temperature processBioenergy & Waste"	2016	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2016IndustryLow temperature processBioenergy & Waste"	2016	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2016IndustryDrying/separationBioenergy & Waste"	2016	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2016IndustryUnkown (heat)Bioenergy & Waste"	2016	"Industry"	"Unkown (heat)"	"Bioenergy & Waste"	1245.38950342306
"2016IndustryHeat totalBioenergy & Waste"	2016	"Industry"	"Heat total"	"Bioenergy & Waste"	1245.38950342306
"2016IndustryMotorsBioenergy & Waste"	2016	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2016IndustryCompressed airBioenergy & Waste"	2016	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2016IndustryLightingBioenergy & Waste"	2016	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2016IndustryRefrigerationBioenergy & Waste"	2016	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2016IndustryOtherBioenergy & Waste"	2016	"Industry"	"Other"	"Bioenergy & Waste"	0
"2016IndustryOverall totalBioenergy & Waste"	2016	"Industry"	"Overall total"	"Bioenergy & Waste"	1245.38950342306
"2016TransportNon-heat purposesBioenergy & Waste"	2016	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	1009.54428202923
"2016TotalSpace heatingBioenergy & Waste"	2016	"Total"	"Space heating"	"Bioenergy & Waste"	2843.29843052247
"2016TotalWater heatingBioenergy & Waste"	2016	"Total"	"Water heating"	"Bioenergy & Waste"	230.464868681809
"2016TotalCooking/cateringBioenergy & Waste"	2016	"Total"	"Cooking/catering"	"Bioenergy & Waste"	0
"2016TotalProcess useBioenergy & Waste"	2016	"Total"	"Process use"	"Bioenergy & Waste"	0
"2016TotalDrying/separationBioenergy & Waste"	2016	"Total"	"Drying/separation"	"Bioenergy & Waste"	0
"2016TotalUnkown (heat)Bioenergy & Waste"	2016	"Total"	"Unkown (heat)"	"Bioenergy & Waste"	1245.38950342306
"2016TotalHeat totalBioenergy & Waste"	2016	"Total"	"Heat total"	"Bioenergy & Waste"	4319.15280262733
"2016TotalComputingBioenergy & Waste"	2016	"Total"	"Computing"	"Bioenergy & Waste"	0
"2016TotalCooling and ventilationBioenergy & Waste"	2016	"Total"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2016TotalLighting and appliancesBioenergy & Waste"	2016	"Total"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2016TotalMotorsBioenergy & Waste"	2016	"Total"	"Motors"	"Bioenergy & Waste"	0
"2016TotalCompressed airBioenergy & Waste"	2016	"Total"	"Compressed air"	"Bioenergy & Waste"	0
"2016TotalRefrigerationBioenergy & Waste"	2016	"Total"	"Refrigeration"	"Bioenergy & Waste"	0
"2016TotalOtherBioenergy & Waste"	2016	"Total"	"Other"	"Bioenergy & Waste"	170.324839768999
"2016TotalTransportBioenergy & Waste"	2016	"Total"	"Transport"	"Bioenergy & Waste"	1009.54428202923
"2016TotalNon-heat totalBioenergy & Waste"	2016	"Total"	"Non-heat total"	"Bioenergy & Waste"	1179.86912179823
"2016TotalOverall totalBioenergy & Waste"	2016	"Total"	"Overall total"	"Bioenergy & Waste"	5499.02192442557
"2016TotalOverall total excluding transportBioenergy & Waste"	2016	"Total"	"Overall total excluding transport"	"Bioenergy & Waste"	4489.47764239633
"2018DomesticSpace heatingTotal"	2018	"Domestic"	"Space heating"	"Total"	27143.5043785295
"2018DomesticHeat totalTotal"	2018	"Domestic"	"Heat total"	"Total"	35291.4022295449
"2018DomesticLighting and appliancesTotal"	2018	"Domestic"	"Lighting and appliances"	"Total"	6575.06189421458
"2018DomesticOverall totalTotal"	2018	"Domestic"	"Overall total"	"Total"	41866.4641237595
"2018ServiceSpace heatingTotal"	2018	"Service"	"Space heating"	"Total"	9530.80658503665
"2018ServiceWater heatingTotal"	2018	"Service"	"Water heating"	"Total"	1349.42032887585
"2018ServiceCooking/cateringTotal"	2018	"Service"	"Cooking/catering"	"Total"	2148.81986368615
"2018ServiceHeat totalTotal"	2018	"Service"	"Heat total"	"Total"	13029.0467775986
"2018ServiceComputingTotal"	2018	"Service"	"Computing"	"Total"	825.063000458634
"2018ServiceCooling and ventilationTotal"	2018	"Service"	"Cooling and ventilation"	"Total"	1109.05149904878
"2018ServiceLightingTotal"	2018	"Service"	"Lighting"	"Total"	1811.73420094291
"2018ServiceOtherTotal"	2018	"Service"	"Other"	"Total"	3447.03177960739
"2018ServiceOverall totalTotal"	2018	"Service"	"Overall total"	"Total"	20221.9272576564
"2018IndustrySpace heatingTotal"	2018	"Industry"	"Space heating"	"Total"	1872.20681954904
"2018IndustryHigh temperature processTotal"	2018	"Industry"	"High temperature process"	"Total"	3476.90443424057
"2018IndustryLow temperature processTotal"	2018	"Industry"	"Low temperature process"	"Total"	5605.73785892228
"2018IndustryDrying/separationTotal"	2018	"Industry"	"Drying/separation"	"Total"	1806.17628530602
"2018IndustryUnkown (heat)Total"	2018	"Industry"	"Unkown (heat)"	"Total"	2129.16489508092
"2018IndustryHeat totalTotal"	2018	"Industry"	"Heat total"	"Total"	14890.1902930988
"2018IndustryMotorsTotal"	2018	"Industry"	"Motors"	"Total"	2691.99615012066
"2018IndustryCompressed airTotal"	2018	"Industry"	"Compressed air"	"Total"	759.948734900368
"2018IndustryLightingTotal"	2018	"Industry"	"Lighting"	"Total"	231.565134567956
"2018IndustryRefrigerationTotal"	2018	"Industry"	"Refrigeration"	"Total"	455.065085581609
"2018IndustryOtherTotal"	2018	"Industry"	"Other"	"Total"	1614.30713805429
"2018IndustryOverall totalTotal"	2018	"Industry"	"Overall total"	"Total"	20643.0725363237
