"LA"	"TechType"	"Status"	"Lookup"	"Capacity"	"TurbineAmount"	"Sites"	"StorageType"
"Aberdeen City"	"Biomass (dedicated)"	"Abandoned"	"Aberdeen CityBiomass (dedicated)Abandoned"	22	0	1	"NA"
"Aberdeen City"	"EfW Incineration"	"Application Refused"	"Aberdeen CityEfW IncinerationApplication Refused"	12	0	1	"NA"
"Aberdeen City"	"EfW Incineration"	"Under Construction"	"Aberdeen CityEfW IncinerationUnder Construction"	11.1	0	1	"NA"
"Aberdeen City"	"Landfill Gas"	"Operational"	"Aberdeen CityLandfill GasOperational"	2.2	0	1	"NA"
"Aberdeen City"	"Solar Photovoltaics"	"Awaiting Construction"	"Aberdeen CitySolar PhotovoltaicsAwaiting Construction"	0.25	0	1	"NA"
"Aberdeenshire"	"Battery"	"Application Submitted"	"AberdeenshireBatteryApplication Submitted"	29.9	0	2	"NA,NA"
"Aberdeenshire"	"Battery"	"Awaiting Construction"	"AberdeenshireBatteryAwaiting Construction"	80	0	6	"NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Battery"	"Operational"	"AberdeenshireBatteryOperational"	1	0	1	"NA"
"Aberdeenshire"	"Biomass (dedicated)"	"Abandoned"	"AberdeenshireBiomass (dedicated)Abandoned"	4	0	1	"NA"
"Aberdeenshire"	"Biomass (dedicated)"	"Application Refused"	"AberdeenshireBiomass (dedicated)Application Refused"	3	0	1	"NA"
"Aberdeenshire"	"Biomass (dedicated)"	"Operational"	"AberdeenshireBiomass (dedicated)Operational"	1.2	0	1	"NA"
"Aberdeenshire"	"Landfill Gas"	"Operational"	"AberdeenshireLandfill GasOperational"	6.472	0	2	"NA,NA"
"Aberdeenshire"	"Small Hydro"	"Under Construction"	"AberdeenshireSmall HydroUnder Construction"	2	0	1	"NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Application Submitted"	"AberdeenshireSolar PhotovoltaicsApplication Submitted"	5	0	1	"NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Awaiting Construction"	"AberdeenshireSolar PhotovoltaicsAwaiting Construction"	44.1	0	4	"NA,NA,NA,NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Operational"	"AberdeenshireSolar PhotovoltaicsOperational"	10.75	0	5	"NA,NA,NA,NA,NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Under Construction"	"AberdeenshireSolar PhotovoltaicsUnder Construction"	2	0	1	"NA"
"Aberdeenshire"	"Wind Onshore"	"Abandoned"	"AberdeenshireWind OnshoreAbandoned"	150	0	1	"NA"
"Aberdeenshire"	"Wind Onshore"	"Application Refused"	"AberdeenshireWind OnshoreApplication Refused"	427.35	201	48	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	"AberdeenshireWind OnshoreApplication Submitted"	256.85	65	7	"NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Application Withdrawn"	"AberdeenshireWind OnshoreApplication Withdrawn"	193.15	130	24	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	"AberdeenshireWind OnshoreAwaiting Construction"	20.8	19	8	"NA,NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Operational"	"AberdeenshireWind OnshoreOperational"	494.65	270	63	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Angus"	"Battery"	"Application Refused"	"AngusBatteryApplication Refused"	0	0	1	"NA"
"Angus"	"Battery"	"Application Submitted"	"AngusBatteryApplication Submitted"	10	0	1	"NA"
"Angus"	"Battery"	"Awaiting Construction"	"AngusBatteryAwaiting Construction"	10	0	1	"NA"
"Angus"	"Landfill Gas"	"Operational"	"AngusLandfill GasOperational"	2	0	1	"NA"
"Angus"	"Solar Photovoltaics"	"Abandoned"	"AngusSolar PhotovoltaicsAbandoned"	10	0	2	"NA,NA"
"Angus"	"Solar Photovoltaics"	"Application Submitted"	"AngusSolar PhotovoltaicsApplication Submitted"	39.9	0	1	"NA"
"Angus"	"Solar Photovoltaics"	"Awaiting Construction"	"AngusSolar PhotovoltaicsAwaiting Construction"	71.57	0	5	"NA,NA,NA,NA,NA"
"Angus"	"Solar Photovoltaics"	"Operational"	"AngusSolar PhotovoltaicsOperational"	20	0	3	"NA,NA,NA"
"Angus"	"Solar Photovoltaics"	"Planning Permission Expired"	"AngusSolar PhotovoltaicsPlanning Permission Expired"	31	0	1	"NA"
"Angus"	"Solar Photovoltaics"	"Under Construction"	"AngusSolar PhotovoltaicsUnder Construction"	9.99	0	2	"NA,NA"
"Angus"	"Wind Onshore"	"Abandoned"	"AngusWind OnshoreAbandoned"	85	35	2	"NA,NA"
"Angus"	"Wind Onshore"	"Application Refused"	"AngusWind OnshoreApplication Refused"	153	72	13	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Angus"	"Wind Onshore"	"Application Withdrawn"	"AngusWind OnshoreApplication Withdrawn"	208.8	83	9	"NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Angus"	"Wind Onshore"	"Awaiting Construction"	"AngusWind OnshoreAwaiting Construction"	4.8	6	1	"NA"
"Angus"	"Wind Onshore"	"Operational"	"AngusWind OnshoreOperational"	6.4	8	1	"NA"
"Argyll and Bute"	"Advanced Conversion Technologies"	"Awaiting Construction"	"Argyll and ButeAdvanced Conversion TechnologiesAwaiting Construction"	5.5	0	1	"NA"
"Argyll and Bute"	"Battery"	"Application Submitted"	"Argyll and ButeBatteryApplication Submitted"	38	0	1	"NA"
"Argyll and Bute"	"Battery"	"Awaiting Construction"	"Argyll and ButeBatteryAwaiting Construction"	29.9	0	1	"NA"
"Argyll and Bute"	"Battery"	"Decommissioned"	"Argyll and ButeBatteryDecommissioned"	0.1	0	1	"NA"
"Argyll and Bute"	"Large Hydro"	"Operational"	"Argyll and ButeLarge HydroOperational"	14	0	2	"NA,NA"
"Argyll and Bute"	"Pumped Storage Hydroelectricity"	"Operational"	"Argyll and ButePumped Storage HydroelectricityOperational"	440	0	1	"NA"
"Argyll and Bute"	"Small Hydro"	"Abandoned"	"Argyll and ButeSmall HydroAbandoned"	1.5	0	1	"NA"
"Argyll and Bute"	"Small Hydro"	"Application Refused"	"Argyll and ButeSmall HydroApplication Refused"	2	0	1	"NA"
"Argyll and Bute"	"Small Hydro"	"Awaiting Construction"	"Argyll and ButeSmall HydroAwaiting Construction"	3.97	0	5	"NA,NA,NA,NA,NA"
"Argyll and Bute"	"Small Hydro"	"Operational"	"Argyll and ButeSmall HydroOperational"	18.97	0	10	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Argyll and Bute"	"Small Hydro"	"Under Construction"	"Argyll and ButeSmall HydroUnder Construction"	2	0	1	"NA"
"Argyll and Bute"	"Solar Photovoltaics"	"Application Submitted"	"Argyll and ButeSolar PhotovoltaicsApplication Submitted"	20	0	1	"NA"
"Argyll and Bute"	"Wind Onshore"	"Application Refused"	"Argyll and ButeWind OnshoreApplication Refused"	600.337	271	20	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Argyll and Bute"	"Wind Onshore"	"Application Submitted"	"Argyll and ButeWind OnshoreApplication Submitted"	361.2	71	5	"NA,NA,NA,NA,NA"
"Argyll and Bute"	"Wind Onshore"	"Application Withdrawn"	"Argyll and ButeWind OnshoreApplication Withdrawn"	503.833	184	13	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Argyll and Bute"	"Wind Onshore"	"Awaiting Construction"	"Argyll and ButeWind OnshoreAwaiting Construction"	244.4	73	6	"NA,NA,NA,NA,NA,NA"
"Argyll and Bute"	"Wind Onshore"	"Operational"	"Argyll and ButeWind OnshoreOperational"	359.589	280	17	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Argyll and Bute"	"Wind Onshore"	"Planning Permission Expired"	"Argyll and ButeWind OnshorePlanning Permission Expired"	36.8	16	1	"NA"
"Argyll and Bute"	"Wind Onshore"	"Under Construction"	"Argyll and ButeWind OnshoreUnder Construction"	49.9	19	1	"NA"
"City of Edinburgh"	"Biomass (dedicated)"	"Application Withdrawn"	"City of EdinburghBiomass (dedicated)Application Withdrawn"	120	0	1	"NA"
"Clackmannanshire"	"Solar Photovoltaics"	"Operational"	"ClackmannanshireSolar PhotovoltaicsOperational"	4.99	0	1	"NA"
"Clackmannanshire"	"Wind Onshore"	"Application Refused"	"ClackmannanshireWind OnshoreApplication Refused"	5	2	1	"NA"
"Clackmannanshire"	"Wind Onshore"	"Operational"	"ClackmannanshireWind OnshoreOperational"	38	19	2	"NA,NA"
"Clackmannanshire"	"Wind Onshore"	"Under Construction"	"ClackmannanshireWind OnshoreUnder Construction"	10.8	3	1	"NA"
"Dumfries and Galloway"	"Advanced Conversion Technologies"	"Application Withdrawn"	"Dumfries and GallowayAdvanced Conversion TechnologiesApplication Withdrawn"	15	0	1	"NA"
"Dumfries and Galloway"	"Advanced Conversion Technologies"	"Decommissioned"	"Dumfries and GallowayAdvanced Conversion TechnologiesDecommissioned"	7.2	0	1	"NA"
"Dumfries and Galloway"	"Anaerobic Digestion"	"Operational"	"Dumfries and GallowayAnaerobic DigestionOperational"	1.2	0	1	"NA"
"Dumfries and Galloway"	"Battery"	"Application Submitted"	"Dumfries and GallowayBatteryApplication Submitted"	51	0	5	"NA,NA,NA,NA,NA"
"Dumfries and Galloway"	"Battery"	"Awaiting Construction"	"Dumfries and GallowayBatteryAwaiting Construction"	100	0	1	"NA"
"Dumfries and Galloway"	"Biomass (dedicated)"	"Operational"	"Dumfries and GallowayBiomass (dedicated)Operational"	50.4	0	1	"NA"
"Dumfries and Galloway"	"Pumped Storage Hydroelectricity"	"Awaiting Construction"	"Dumfries and GallowayPumped Storage HydroelectricityAwaiting Construction"	210	0	1	"NA"
"Dumfries and Galloway"	"Solar Photovoltaics"	"Application Submitted"	"Dumfries and GallowaySolar PhotovoltaicsApplication Submitted"	20	0	1	"NA"
"Dumfries and Galloway"	"Solar Photovoltaics"	"Awaiting Construction"	"Dumfries and GallowaySolar PhotovoltaicsAwaiting Construction"	0.98	0	2	"NA,NA"
"Dumfries and Galloway"	"Solar Photovoltaics"	"Planning Permission Expired"	"Dumfries and GallowaySolar PhotovoltaicsPlanning Permission Expired"	5	0	1	"NA"
"Dumfries and Galloway"	"Wind Onshore"	"Abandoned"	"Dumfries and GallowayWind OnshoreAbandoned"	141.8	58	4	"NA,NA,NA,NA"
"Dumfries and Galloway"	"Wind Onshore"	"Application Refused"	"Dumfries and GallowayWind OnshoreApplication Refused"	544.45	206	21	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	"Dumfries and GallowayWind OnshoreApplication Submitted"	1376.3	278	12	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Dumfries and Galloway"	"Wind Onshore"	"Application Withdrawn"	"Dumfries and GallowayWind OnshoreApplication Withdrawn"	564.137	160	15	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	"Dumfries and GallowayWind OnshoreAwaiting Construction"	521.7	173	16	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	"Dumfries and GallowayWind OnshoreOperational"	881.82	440	24	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Dumfries and Galloway"	"Wind Onshore"	"Under Construction"	"Dumfries and GallowayWind OnshoreUnder Construction"	34	17	2	"NA,NA"
"Dundee City"	"Battery"	"Application Submitted"	"Dundee CityBatteryApplication Submitted"	49.9	0	1	"NA"
"Dundee City"	"Biomass (dedicated)"	"Application Withdrawn"	"Dundee CityBiomass (dedicated)Application Withdrawn"	120	0	1	"NA"
"Dundee City"	"EfW Incineration"	"Operational"	"Dundee CityEfW IncinerationOperational"	8.3	0	1	"NA"
"Dundee City"	"EfW Incineration"	"Under Construction"	"Dundee CityEfW IncinerationUnder Construction"	10	0	1	"NA"
"Dundee City"	"Solar Photovoltaics"	"Abandoned"	"Dundee CitySolar PhotovoltaicsAbandoned"	0	0	1	"NA"
"Dundee City"	"Wind Onshore"	"Operational"	"Dundee CityWind OnshoreOperational"	4	2	1	"NA"
"East Ayrshire"	"EfW Incineration"	"Awaiting Construction"	"East AyrshireEfW IncinerationAwaiting Construction"	12	0	1	"NA"
"East Ayrshire"	"Landfill Gas"	"Operational"	"East AyrshireLandfill GasOperational"	6.74	0	3	"NA,NA,NA"
"East Ayrshire"	"Small Hydro"	"Awaiting Construction"	"East AyrshireSmall HydroAwaiting Construction"	0.3	0	1	"NA"
"East Ayrshire"	"Wind Onshore"	"Application Refused"	"East AyrshireWind OnshoreApplication Refused"	610.4	217	15	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"East Ayrshire"	"Wind Onshore"	"Application Submitted"	"East AyrshireWind OnshoreApplication Submitted"	362.8	88	5	"NA,NA,NA,NA,NA,NA"
"East Ayrshire"	"Wind Onshore"	"Application Withdrawn"	"East AyrshireWind OnshoreApplication Withdrawn"	165.0338	25	6	"NA,NA,NA,NA,NA,NA"
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	"East AyrshireWind OnshoreAwaiting Construction"	485.6	136	7	"NA,NA,NA,NA,NA,NA,NA"
"East Ayrshire"	"Wind Onshore"	"Operational"	"East AyrshireWind OnshoreOperational"	375.95	177	6	"NA,NA,NA,NA,NA,NA"
"East Ayrshire"	"Wind Onshore"	"Planning Permission Expired"	"East AyrshireWind OnshorePlanning Permission Expired"	1.7	2	1	"NA"
"East Ayrshire"	"Wind Onshore"	"Under Construction"	"East AyrshireWind OnshoreUnder Construction"	30	15	1	"NA"
"East Lothian"	"Anaerobic Digestion"	"Application Refused"	"East LothianAnaerobic DigestionApplication Refused"	1	0	1	"NA"
"East Lothian"	"Anaerobic Digestion"	"Operational"	"East LothianAnaerobic DigestionOperational"	1.5	0	1	"NA"
"East Lothian"	"Battery"	"Awaiting Construction"	"East LothianBatteryAwaiting Construction"	0	0	1	"NA"
"East Lothian"	"EfW Incineration"	"Under Construction"	"East LothianEfW IncinerationUnder Construction"	25.6	0	1	"NA"
"East Lothian"	"Landfill Gas"	"Operational"	"East LothianLandfill GasOperational"	16.2	0	2	"NA,NA"
"East Lothian"	"Solar Photovoltaics"	"Application Submitted"	"East LothianSolar PhotovoltaicsApplication Submitted"	0.186	0	1	"NA"
"East Lothian"	"Solar Photovoltaics"	"Planning Permission Expired"	"East LothianSolar PhotovoltaicsPlanning Permission Expired"	2	0	1	"NA"
"East Lothian"	"Wind Onshore"	"Application Refused"	"East LothianWind OnshoreApplication Refused"	25	10	1	"NA"
"East Lothian"	"Wind Onshore"	"Application Withdrawn"	"East LothianWind OnshoreApplication Withdrawn"	24	9	2	"NA,NA"
"East Lothian"	"Wind Onshore"	"Operational"	"East LothianWind OnshoreOperational"	124.7	54	6	"NA,NA,NA,NA,NA,NA"
"East Renfrewshire"	"Wind Onshore"	"Abandoned"	"East RenfrewshireWind OnshoreAbandoned"	10.4	8	2	"NA,NA"
"East Renfrewshire"	"Wind Onshore"	"Application Refused"	"East RenfrewshireWind OnshoreApplication Refused"	182.5	64	3	"NA,NA,NA"
"East Renfrewshire"	"Wind Onshore"	"Application Withdrawn"	"East RenfrewshireWind OnshoreApplication Withdrawn"	97	108	3	"NA,NA,NA"
"East Renfrewshire"	"Wind Onshore"	"Awaiting Construction"	"East RenfrewshireWind OnshoreAwaiting Construction"	2.5	1	1	"NA"
"East Renfrewshire"	"Wind Onshore"	"Operational"	"East RenfrewshireWind OnshoreOperational"	361.084	159	7	"NA,NA,NA,NA,NA,NA,NA"
"Edinburgh City"	"Landfill Gas"	"Operational"	"Edinburgh CityLandfill GasOperational"	2.4	0	1	"NA"
"Edinburgh City"	"Solar Photovoltaics"	"Application Submitted"	"Edinburgh CitySolar PhotovoltaicsApplication Submitted"	0.2	0	1	"NA"
"Falkirk"	"Advanced Conversion Technologies"	"Operational"	"FalkirkAdvanced Conversion TechnologiesOperational"	2	0	1	"NA"
"Falkirk"	"Battery"	"Abandoned"	"FalkirkBatteryAbandoned"	19.9	0	1	"NA"
"Falkirk"	"Battery"	"Awaiting Construction"	"FalkirkBatteryAwaiting Construction"	20	0	2	"NA,NA"
"Falkirk"	"Biomass (dedicated)"	"Planning Permission Expired"	"FalkirkBiomass (dedicated)Planning Permission Expired"	85	0	1	"NA"
"Falkirk"	"EfW Incineration"	"Under Construction"	"FalkirkEfW IncinerationUnder Construction"	21.5	0	1	"NA"
"Falkirk"	"Wind Onshore"	"Application Refused"	"FalkirkWind OnshoreApplication Refused"	4	2	1	"NA"
"Falkirk"	"Wind Onshore"	"Application Withdrawn"	"FalkirkWind OnshoreApplication Withdrawn"	31	13	3	"NA,NA,NA"
"Falkirk"	"Wind Onshore"	"Awaiting Construction"	"FalkirkWind OnshoreAwaiting Construction"	4	2	1	"NA"
"Falkirk"	"Wind Onshore"	"Operational"	"FalkirkWind OnshoreOperational"	38	17	2	"NA,NA"
"Falkirk"	"Wind Onshore"	"Planning Permission Expired"	"FalkirkWind OnshorePlanning Permission Expired"	2	1	1	"NA"
"Fife"	"Anaerobic Digestion"	"Operational"	"FifeAnaerobic DigestionOperational"	3.7	0	2	"NA,NA"
"Fife"	"Battery"	"Abandoned"	"FifeBatteryAbandoned"	0	0	1	"NA"
"Fife"	"Battery"	"Application Withdrawn"	"FifeBatteryApplication Withdrawn"	0	0	1	"NA"
"Fife"	"Battery"	"Awaiting Construction"	"FifeBatteryAwaiting Construction"	56.9	0	2	"NA,NA"
"Fife"	"Biomass (dedicated)"	"Abandoned"	"FifeBiomass (dedicated)Abandoned"	25	0	1	"NA"
"Fife"	"Biomass (dedicated)"	"Operational"	"FifeBiomass (dedicated)Operational"	89.5	0	4	"NA,NA,NA,NA"
"Fife"	"Biomass (dedicated)"	"Planning Permission Expired"	"FifeBiomass (dedicated)Planning Permission Expired"	120	0	1	"NA"
"Fife"	"EfW Incineration"	"Application Withdrawn"	"FifeEfW IncinerationApplication Withdrawn"	14.7	0	1	"NA"
"Fife"	"Landfill Gas"	"Operational"	"FifeLandfill GasOperational"	3	0	2	"NA,NA"
"Fife"	"Solar Photovoltaics"	"Abandoned"	"FifeSolar PhotovoltaicsAbandoned"	20	0	4	"NA,NA,NA,NA"
"Fife"	"Solar Photovoltaics"	"Application Submitted"	"FifeSolar PhotovoltaicsApplication Submitted"	1	0	1	"NA"
"Fife"	"Solar Photovoltaics"	"Application Withdrawn"	"FifeSolar PhotovoltaicsApplication Withdrawn"	5	0	1	"NA"
"Fife"	"Solar Photovoltaics"	"Awaiting Construction"	"FifeSolar PhotovoltaicsAwaiting Construction"	19.15	0	4	"NA,NA,NA,NA"
"Fife"	"Solar Photovoltaics"	"Operational"	"FifeSolar PhotovoltaicsOperational"	14	0	3	"NA,NA,NA"
"Fife"	"Solar Photovoltaics"	"Under Construction"	"FifeSolar PhotovoltaicsUnder Construction"	0.23	0	1	"NA"
"Fife"	"Wind Onshore"	"Abandoned"	"FifeWind OnshoreAbandoned"	18.5	8	2	"NA,NA"
"Fife"	"Wind Onshore"	"Application Refused"	"FifeWind OnshoreApplication Refused"	176.25	68	14	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Fife"	"Wind Onshore"	"Application Submitted"	"FifeWind OnshoreApplication Submitted"	0.15	0	1	"NA"
"Fife"	"Wind Onshore"	"Application Withdrawn"	"FifeWind OnshoreApplication Withdrawn"	9.8	4	3	"NA,NA,NA"
"Fife"	"Wind Onshore"	"Awaiting Construction"	"FifeWind OnshoreAwaiting Construction"	12.3	6	1	"NA"
"Fife"	"Wind Onshore"	"Operational"	"FifeWind OnshoreOperational"	84.8	39	13	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Glasgow City"	"Advanced Conversion Technologies"	"Application Refused"	"Glasgow CityAdvanced Conversion TechnologiesApplication Refused"	12	0	1	"NA"
