 	 	 	 	"2018"	 	 	 	 	 	"2017"	 	 	 	 	 	"2016"	 	 	 	 	 	"2015"	 	 	 	 	 	"2014"	 	 	 	 	 	"2013"	 	 	 	 	 	"2012"	 	 	 	 	 	"2011"	 	 	 	 	 	"2010"	 	 	 	 	 	"2009"	 	 	 	 	 	"2008"	 	 	 	 	 	"2007"	 	 	 	 	 	"2006"	 	 	 	 	 	"2005"	 	 	 	 	 	"2004"	 	 	 	 
"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	 	 	 
"11150.1"	"2234.94"	"1118.65"	"3430.92"	"17934.6"	 	"10871.8"	"1729.01"	"1464.39"	"3114.91"	"17180.1"	 	"9898.39"	"1145.13"	"1237.83"	"2644.31"	"14925.7"	 	"8131.29"	"1203.68"	"1193.08"	"2619.85"	"13147.9"	 	"5508.8"	"844.454"	"823.911"	"2076.2"	"9253.37"	 	"3370.71"	"738.486"	"588.182"	"1756.65"	"6454.02"	 	"2121.67"	"494.636"	"384.127"	"1047.58"	"4048.01"	 	"1003.12"	"441.243"	"429.246"	"1416.19"	"3289.8"	 	"765.243"	"256.188"	"281.302"	"1055.5"	"2358.24"	 	"1397.32"	"206.788"	"219.742"	"939.838"	"2763.69"	 	"859.49"	"242.64"	"267.423"	"383.266"	"1752.82"	 	"657.41"	"135.298"	"263.544"	"662.783"	"1719.03"	 	"1046.75"	"299.1"	"867"	"2022.9"	"4235.75"	 	"662.597"	"253.3"	"715.3"	"1280.9"	"2912.1"	 	"400.615"	"139.5"	"550.6"	"848.4"	"1939.11"	 	"Non-thermal renewables"	 	 
"2194.27"	"0"	"275.652"	"36.8215"	"2506.75"	 	"1935.84"	"0"	"129.055"	"36.792"	"2101.68"	 	"1632.83"	"0"	"113.453"	"25.0955"	"1771.38"	 	"1735.45"	"0"	"132.424"	"25.7647"	"1893.64"	 	"1349.39"	"0"	"0"	"22.4372"	"1371.83"	 	"1003.7"	"0"	"0"	"8.04727"	"1011.74"	 	"1013.7"	"0"	"0"	"42.0315"	"1055.73"	 	"1137.28"	"0"	"0"	"16.1775"	"1153.46"	 	"1121.06"	"0"	"0"	"18.56"	"1139.62"	 	"850.572"	"0"	"0"	"17.7594"	"868.332"	 	"723.399"	"0"	"0"	"20.9962"	"744.395"	 	"693.475"	"0"	"0"	"20.9962"	"714.472"	 	"634.197"	"2"	"3.09855"	"11.3338"	"650.629"	 	"559.172"	"0"	"3.32902"	"15.8884"	"578.39"	 	"553.705"	"0"	"3.38815"	"25.6414"	"582.734"	 	"Non-biodegradable wastes"	 	 
"35945.9"	"3087.1"	"3880.38"	"8622.92"	"51536.3"	 	"35409.5"	"2480.06"	"3972.01"	"8566.14"	"50427.8"	 	"33281.3"	"1817.45"	"3512.71"	"7636.07"	"46247.5"	 	"30099.1"	"1694.61"	"3469.36"	"7621.59"	"42884.6"	 	"26195.2"	"1219.58"	"2981.71"	"6877.7"	"37274.2"	 	"23488.2"	"1079.77"	"2951.28"	"6141.75"	"33661"	 	"26934.3"	"829.387"	"2474.22"	"5344.57"	"35582.5"	 	"26665.7"	"710.337"	"2560.09"	"5506.88"	"35443"	 	"26643.4"	"496.495"	"2247.61"	"5073.27"	"34460.8"	 	"26846"	"377.678"	"1770.91"	"5712.83"	"34707.4"	 	"26644.3"	"387.281"	"1730.46"	"4890.93"	"33653"	 	"26770.7"	"289.361"	"2909.14"	"5543.54"	"35512.7"	 	"25435.4"	"459.169"	"3432.77"	"6722.58"	"36049.9"	 	"25977.5"	"381.047"	"2399.2"	"7389.81"	"36147.5"	 	"27444.3"	"271.6"	"2401.91"	"5483.77"	"35601.5"	 	"Total"	 	 
"244580"	"9365.84"	"30710.4"	"48236.4"	"332893"	 	"244693"	"9662.19"	"35314.7"	"48502.9"	"338172"	 	"241428"	"9175.06"	"42814.4"	"45773.8"	"339191"	 	"240853"	"8760.75"	"37926.2"	"51335.1"	"338875"	 	"244906"	"7880.22"	"35268.2"	"50042.1"	"338096"	 	"257814"	"7781.97"	"39663.3"	"53024.1"	"358284"	 	"270216"	"7381.18"	"35943.8"	"50333"	"363874"	 	"278174"	"8005.64"	"30932"	"50870.5"	"367982"	 	"292098"	"7603.7"	"32833.8"	"49532.4"	"382068"	 	"285574"	"8005.82"	"32141.1"	"50997.2"	"376718"	 	"290942"	"9621.06"	"38290.6"	"50038.3"	"388892"	 	"306967"	"9095.36"	"32688.1"	"48079.6"	"396830"	 	"299150"	"10246"	"35636"	"52250.1"	"397282"	 	"304849"	"9620.24"	"34653.2"	"49237.4"	"398360"	 	"301143"	"7412.47"	"35422.2"	"49937"	"393915"	 	 	 	"Total generation"
"123.76"	"30.1954"	"332.736"	"5003.09"	"5489.79"	 	"125.129"	"29.6098"	"417.291"	"5329.53"	"5901.56"	 	"110.42"	"23.5896"	"320.8"	"4939.11"	"5393.91"	 	"102.58"	"29.0261"	"351.638"	"5814.02"	"6297.27"	 	"99.5219"	"27.1848"	"277.486"	"5483.61"	"5887.8"	 	"81.8965"	"21.5935"	"228.509"	"4369.48"	"4701.47"	 	"90.2744"	"24.921"	"347.86"	"4846.58"	"5309.63"	 	"73.2134"	"19.1092"	"269.775"	"5329.64"	"5691.74"	 	"61.3168"	"36.1277"	"212.835"	"3281.1"	"3591.38"	 	"74.682"	"30.8266"	"266.154"	"4858.9"	"5230.57"	 	"80.0016"	"26.1303"	"334.241"	"4704.47"	"5144.85"	 	"70.9043"	"29.76"	"283.7"	"4692.94"	"5077.3"	 	"61.3523"	"31.9"	"275"	"4224.9"	"4593.15"	 	"49.8204"	"13.7"	"245.5"	"4612.51"	"4921.53"	 	"50.199"	"11.5"	"286.5"	"4474.8"	"4823"	"Hydro natural flow"	 	"Renewables"	"within which:"
"41671.8"	"3299.71"	"5463.24"	"19335.8"	"69770.6"	 	"35550.9"	"2676.54"	"5671.74"	"17213.6"	"61112.7"	 	"28891.2"	"1838.85"	"4209.96"	"12733.6"	"47673.7"	 	"27713.6"	"1938.55"	"4092.19"	"14065.2"	"47809.6"	 	"20140.5"	"1504.13"	"2525.7"	"11845.3"	"36015.6"	 	"16015"	"1360.94"	"1787.7"	"11248.5"	"30412.1"	 	"10261.7"	"1047.75"	"1533.45"	"8362.37"	"21205.2"	 	"6468.57"	"1003.45"	"1470.23"	"7265.31"	"16207.6"	 	"3738.19"	"653.821"	"1003.11"	"4932.69"	"10327.8"	 	"3099.7"	"744.324"	"904.621"	"4555.19"	"9303.84"	 	"2224.46"	"565.32"	"989.105"	"3361.57"	"7140.46"	 	"1426.67"	"353.2"	"864"	"2644"	"5287.87"	 	"1046.75"	"299.1"	"867"	"2022.9"	"4235.75"	 	"662.597"	"253.3"	"715.3"	"1280.9"	"2912.1"	 	"400.615"	"139.5"	"550.6"	"848.4"	"1939.11"	"Wind, wave, solar"	 	 	 
"30992.9"	"634.561"	"997.359"	"2133.55"	"34758.4"	 	"27905.6"	"547.862"	"876.84"	"2447.98"	"31778.2"	 	"26871.8"	"455.991"	"724.143"	"1897.58"	"29949.5"	 	"26369"	"269.625"	"754.738"	"1863.58"	"29257"	 	"20158.1"	"168.169"	"576.625"	"1716.12"	"22619.1"	 	"15970.5"	"134.654"	"622.986"	"1371.67"	"18099.8"	 	"12555.4"	"111.223"	"608.913"	"1458.26"	"14733.8"	 	"11327.4"	"82.2893"	"629.513"	"1273.84"	"13313"	 	"10355.6"	"86.2989"	"531.768"	"1287.57"	"12261.3"	 	"8872.08"	"42.5828"	"590.673"	"1168.31"	"10673.6"	 	"8139.56"	"14.5488"	"388.069"	"992.43"	"9534.61"	 	"8195.61"	"16.681"	"223.012"	"889.208"	"9324.51"	 	"8281.32"	"19.1"	"261.7"	"715"	"9277.12"	 	"8274.79"	"4.3"	"235.1"	"592.6"	"9106.79"	 	"6661.86"	"1.6"	"191.8"	"509"	"7364.26"	"Thermal"	 	 	 
"72788.5"	"3964.47"	"6793.34"	"26472.5"	"110019"	 	"63581.5"	"3254.01"	"6965.87"	"24991.1"	"98792.5"	 	"55873.5"	"2318.43"	"5254.9"	"19570.3"	"83017.1"	 	"54185.2"	"2237.2"	"5198.56"	"21742.8"	"83363.8"	 	"40398.2"	"1699.48"	"3379.81"	"19045.1"	"64522.5"	 	"32067.4"	"1517.19"	"2639.2"	"16989.6"	"53213.4"	 	"22907.4"	"1183.89"	"2490.22"	"14667.2"	"41248.7"	 	"17869.2"	"1104.85"	"2369.52"	"13868.8"	"35212.3"	 	"14155.1"	"776.247"	"1747.71"	"9501.36"	"26180.4"	 	"12046.5"	"817.733"	"1761.45"	"10582.4"	"25208"	 	"10444"	"606"	"1711.41"	"9058.47"	"21819.9"	 	"9693.19"	"399.641"	"1370.71"	"8226.15"	"19689.7"	 	"9389.43"	"350.1"	"1403.7"	"6962.8"	"18106"	 	"8987.21"	"271.3"	"1195.9"	"6486.01"	"16940.4"	 	"7112.68"	"152.6"	"1028.9"	"5832.2"	"14126.4"	"Total"	 	 	 
"11072.5"	"601.512"	"1404.14"	"4552.46"	"17630.7"	 	"11072.5"	"601.512"	"1404.14"	"4552.46"	"17630.7"	 	"43145.9"	"1937.41"	"4060.48"	"14097.6"	"63241.5"	 	"44728.3"	"2115.59"	"4212.12"	"17077.9"	"68133.8"	 	"33881.3"	"1601.52"	"2628.38"	"15095.9"	"53207.2"	 	"27458.2"	"1452.32"	"2107.06"	"13978.8"	"44996.3"	 	"18860.4"	"1139.99"	"1965.97"	"11457.1"	"33423.4"	 	"15212.9"	"1068.45"	"2015.77"	"10634.4"	"28931.6"	 	"12095.8"	"747.651"	"1517.21"	"7475.89"	"21836.6"	 	"10828.9"	"817.733"	"1636.22"	"7768.13"	"21051"	 	"11967"	"606"	"1544.48"	"6267.95"	"20385.5"	 	"8538.48"	"399.641"	"1245.11"	"5783.15"	"15966.4"	 	"8329.45"	"350.1"	"1289.78"	"4906.18"	"14875.5"	 	"8047.29"	"271.3"	"1035"	"3682.82"	"13036.4"	 	"6093"	"153"	"884"	"2878"	"10007"	 	 	 	"Renewables eligible under the renewables obligation"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"0.0614285"	"0.142485"	"0.0153924"	"0"	"0.050561"	 	"0.0750349"	"0.143817"	"0.0787319"	"0"	"0.0666242"	 	"0.0803743"	"0.233544"	"0.170866"	"0.0394484"	"0.0904169"	 	"0.237949"	"0.244249"	"0.214959"	"0.161195"	"0.223912"	 	"0.328757"	"0.2791"	"0.208921"	"0.202964"	"0.29648"	 	"0.409264"	"0.338637"	"0.285883"	"0.203105"	"0.363561"	 	"0.438027"	"0.321071"	"0.288638"	"0.232166"	"0.392422"	 	"0.325506"	"0.175807"	"0.195905"	"0.204986"	"0.294694"	 	"0.293384"	"0.237544"	"0.177533"	"0.287934"	"0.28161"	 	"0.291078"	"0.175113"	"0.203709"	"0.234608"	"0.273515"	 	"0.348105"	"0.215879"	"0.244542"	"0.233071"	"0.319835"	 	"0.374892"	"0.20749"	"0.156673"	"0.288186"	"0.342575"	 	"0.400151"	"0.267088"	"0.248591"	"0.335867"	"0.37467"	 	"0.371446"	"0.258632"	"0.195413"	"0.246607"	"0.337978"	 	"0.36111"	"0.371394"	"0.204227"	"0.261424"	"0.334559"	 	"Coal"	 	"Percentage"
"0.00242677"	"0.0087608"	"0.0027113"	"0.00631291"	"0.00319433"	 	"0.00309302"	"0.0100932"	"0.00274423"	"0.0136739"	"0.00477419"	 	"0.00364816"	"0.0119795"	"0.00505353"	"0.014928"	"0.00557313"	 	"0.00366298"	"0.00933327"	"0.00508535"	"0.0171467"	"0.00601137"	 	"0.00340625"	"0.0080283"	"0.00540954"	"0.0166219"	"0.00567902"	 	"0.00414791"	"0.00818667"	"0.00740494"	"0.0120596"	"0.00576708"	 	"0.00625132"	"0.012831"	"0.0130277"	"0.0126966"	"0.00794571"	 	"0.00639203"	"0.0120018"	"0.0089855"	"0.0190058"	"0.00847582"	 	"0.00945605"	"0.0182069"	"0.0184768"	"0.0262099"	"0.0125774"	 	"0.0158442"	"0.0139661"	"0.00198269"	"0.0253804"	"0.0159126"	 	"0.016356"	"0.0384282"	"0.00163037"	"0.0303364"	"0.017251"	 	"0.0106068"	"0.0216937"	"0.00277806"	"0.0312862"	"0.0127216"	 	"0.0118904"	"0.0314228"	"0.00294512"	"0.041899"	"0.0155385"	 	"0.00993016"	"0.0380972"	"0.00119787"	"0.0386482"	"0.0134003"	 	"0.00938619"	"0.0522833"	"0.00109528"	"0.0278597"	"0.0117898"	 	"Oil"	 	"shares of"
"0.40765"	"0.425464"	"0.668839"	"0.150541"	"0.394991"	 	"0.42918"	"0.509311"	"0.63641"	"0.0893358"	"0.404367"	 	"0.450329"	"0.500992"	"0.628218"	"0.0686177"	"0.422641"	 	"0.315971"	"0.491051"	"0.462794"	"0.0373771"	"0.294726"	 	"0.30577"	"0.497208"	"0.549106"	"0.0544186"	"0.298413"	 	"0.266304"	"0.457373"	"0.458551"	"0.102572"	"0.267505"	 	"0.278176"	"0.505705"	"0.435588"	"0.111509"	"0.275287"	 	"0.427258"	"0.674182"	"0.457614"	"0.159127"	"0.398115"	 	"0.500361"	"0.642161"	"0.494467"	"0.169195"	"0.459744"	 	"0.479293"	"0.708778"	"0.45364"	"0.183742"	"0.441972"	 	"0.486339"	"0.682706"	"0.432129"	"0.231979"	"0.453131"	 	"0.426981"	"0.726877"	"0.525645"	"0.227343"	"0.417794"	 	"0.363826"	"0.66732"	"0.41923"	"0.195452"	"0.354478"	 	"0.39644"	"0.675069"	"0.459595"	"0.190239"	"0.383176"	 	"0.414246"	"0.555735"	"0.490168"	"0.216967"	"0.398727"	 	"Gas"	 	"generation:"
"0.210373"	"0"	"0"	"0.282169"	"0.19545"	 	"0.214594"	"0"	"0"	"0.367543"	"0.20799"	 	"0.215782"	"0"	"0"	"0.428858"	"0.211462"	 	"0.202179"	"0"	"0.102476"	"0.346017"	"0.207583"	 	"0.184404"	"0"	"0.0553776"	"0.332386"	"0.18855"	 	"0.185342"	"0"	"0.10905"	"0.348858"	"0.19707"	 	"0.182128"	"0"	"0.11521"	"0.338744"	"0.193488"	 	"0.16797"	"0"	"0.173405"	"0.332056"	"0.187456"	 	"0.141439"	"0"	"0.168498"	"0.308748"	"0.16264"	 	"0.162111"	"0"	"0.190476"	"0.327092"	"0.18342"	 	"0.104236"	"0"	"0.184901"	"0.301353"	"0.134962"	 	"0.146598"	"0"	"0.173885"	"0.256735"	"0.15883"	 	"0.181514"	"0"	"0.196705"	"0.270639"	"0.189917"	 	"0.18073"	"0"	"0.226299"	"0.379401"	"0.204885"	 	"0.181304"	"0"	"0.20857"	"0.36071"	"0.203087"	 	"Nuclear"	 	 
"0.00050601"	"0.00322399"	"0.0108346"	"0.10372"	"0.0164912"	 	"0.000511373"	"0.0030645"	"0.0118164"	"0.109881"	"0.0174513"	 	"0.000457362"	"0.00257105"	"0.00749279"	"0.107902"	"0.0159023"	 	"0.000425904"	"0.0033132"	"0.00927162"	"0.113256"	"0.0185828"	 	"0.000406368"	"0.00344975"	"0.00786787"	"0.10958"	"0.0174146"	 	"0.000317657"	"0.00277481"	"0.00576121"	"0.0824054"	"0.0131222"	 	"0.000334083"	"0.00337628"	"0.00967789"	"0.0962902"	"0.014592"	 	"0.000263193"	"0.00238696"	"0.00872157"	"0.104769"	"0.0154674"	 	"0.000209918"	"0.00475133"	"0.00648219"	"0.0662414"	"0.00939983"	 	"0"	"0.00385053"	"0.00828081"	"0.0952778"	"0.0138846"	 	"0"	"0.00271595"	"0.00872906"	"0.0940174"	"0.0132295"	 	"0"	"0.003272"	"0.00867899"	"0.0976077"	"0.0127947"	 	"0"	"0.0031134"	"0.00771693"	"0.0808592"	"0.0115614"	 	"0"	"0.00142408"	"0.00708448"	"0.0936789"	"0.0123545"	 	"0"	"0.00155144"	"0.00808814"	"0.0896089"	"0.0122438"	 	"Hydro natural flow"	 	 
"0.2971"	"0.420066"	"0.210372"	"0.445087"	"0.314002"	 	"0.259331"	"0.333713"	"0.185435"	"0.405368"	"0.274685"	 	"0.230972"	"0.250117"	"0.115244"	"0.319641"	"0.228848"	 	"0.224546"	"0.252053"	"0.127799"	"0.310291"	"0.227419"	 	"0.164548"	"0.212215"	"0.0879637"	"0.271001"	"0.173426"	 	"0.124064"	"0.192188"	"0.0607788"	"0.238008"	"0.135401"	 	"0.0844403"	"0.157017"	"0.0596032"	"0.195113"	"0.098768"	 	"0.0639741"	"0.135622"	"0.0678827"	"0.167861"	"0.0802229"	 	"0.0482502"	"0.0973368"	"0.0467469"	"0.12558"	"0.0591231"	 	"0.0419218"	"0.0982918"	"0.0465228"	"0.112232"	"0.0530303"	 	"0.0356225"	"0.0602708"	"0.0359664"	"0.0870123"	"0.0428784"	 	"0.0313463"	"0.040667"	"0.033254"	"0.0734866"	"0.0368228"	 	"0.0311819"	"0.0310559"	"0.0316731"	"0.0523999"	"0.0340133"	 	"0.0293174"	"0.0267769"	"0.027426"	"0.0380503"	"0.0301709"	 	"0.0234522"	"0.0190355"	"0.0209586"	"0.0271823"	"0.0236177"	 	"Other renewables"	 	 
"0.020516"	"0"	"0.0918505"	"0.0121693"	"0.0253102"	 	"0.0182562"	"1.70872e-006"	"0.0848622"	"0.0141981"	"0.0241082"	 	"0.018438"	"0.000797367"	"0.0731251"	"0.0206041"	"0.025156"	 	"0.0152651"	"0"	"0.0776155"	"0.0147174"	"0.0217656"	 	"0.0127081"	"0"	"0.0853548"	"0.0130286"	"0.0200374"	 	"0.0105598"	"0.000841292"	"0.0725707"	"0.012992"	"0.0175735"	 	"0.0106425"	"0"	"0.0782555"	"0.013481"	"0.0174981"	 	"0.00863686"	"0"	"0.0874855"	"0.0121954"	"0.0155688"	 	"0.00689925"	"0"	"0.0877967"	"0.0160925"	"0.0149058"	 	"0.00949002"	"0"	"0.0953889"	"0.0216688"	"0.0182658"	 	"0.00906748"	"0"	"0.0921018"	"0.022231"	"0.0187125"	 	"0.00934495"	"0"	"0.0990851"	"0.0253562"	"0.0184629"	 	"0.0112248"	"0"	"0.0931387"	"0.022883"	"0.0198213"	 	"0.0119724"	"0"	"0.082985"	"0.0133756"	"0.0180341"	 	"0.0103347"	"0"	"0.0668937"	"0.0162487"	"0.0159759"	 	"Other"	 	 
"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"1"	"1"	"1"	"1"	"1"	 	"Total"	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	"Figures in this table do not sum exactly to the UK totals shown because of rounding."
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	"1. In this version of the article, biodegradable waste generation from ‘other generators’ was reallocated to thermal renewables, with revisions made back to 2010."
