 	 	 	 	"2018"	 	 	 	 	 	"2017"	 	 	 	 	 	"2016"	 	 	 	 	 	"2015"	 	 	 	 	 	"2014"	 	 	 	 	 	"2013"	 	 	 	 	 	"2012"	 	 	 	 	 	"2011"	 	 	 	 	 	"2010"	 	 	 	 	 	"2009"	 	 	 	 	 	"2008"	 	 	 	 	 	"2007"	 	 	 	 	 	"2006"	 	 	 	 	 	"2005"	 	 	 	 	 	"2004"	 	 	 	 
"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	 	 	 
"0"	"0"	"2044.51"	"453.936"	"2498.45"	 	"0"	"0"	"2298.95"	"573.084"	"2872.03"	 	"0"	"0"	"2473.58"	"485.634"	"2959.22"	 	"0"	"0"	"2216.8"	"522.616"	"2739.42"	 	"0"	"0"	"2389.35"	"494.132"	"2883.48"	 	"0"	"0"	"2284.2"	"619.69"	"2903.89"	 	"0"	"0"	"2356.72"	"609.738"	"2966.46"	 	"0"	"0"	"2301.35"	"604.207"	"2905.56"	 	"0"	"0"	"2371.89"	"778.539"	"3150.43"	 	"0"	"0"	"2597.98"	"1087.29"	"3685.28"	 	"0"	"0"	"2997.53"	"1091.41"	"4088.94"	 	"0"	"0"	"2661.11"	"1198.12"	"3859.23"	 	"0.09522"	"0"	"2668.2"	"1184.3"	"3852.6"	 	"0"	"0"	"2287.1"	"642.694"	"2929.79"	 	"0"	"0"	"1862.78"	"785.769"	"2648.55"	 	"Hydro pumped storage"	 	 
"30521.7"	"1064.77"	"4344.59"	"15904.9"	"51836"	 	"24679.1"	"947.53"	"4207.35"	"14098.7"	"43932.6"	 	"18992.8"	"693.719"	"2972.13"	"10089.3"	"32748"	 	"19582.3"	"734.872"	"2899.11"	"11445.4"	"34661.7"	 	"14631.7"	"659.673"	"1701.79"	"9769.12"	"26762.3"	 	"12644.3"	"622.458"	"1199.52"	"9491.85"	"23958.1"	 	"8139.98"	"553.114"	"1149.32"	"7314.79"	"17157.2"	 	"5465.45"	"562.206"	"1040.99"	"5849.13"	"12917.8"	 	"2972.95"	"397.633"	"721.808"	"3877.18"	"7969.57"	 	"1702.38"	"537.536"	"684.878"	"3615.35"	"6540.15"	 	"1364.99"	"322.68"	"721.682"	"2978.25"	"5387.6"	 	"769.262"	"217.902"	"600.456"	"1981.22"	"3568.84"	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	"Non-thermal renewables"	 	 
"208634"	"6278.74"	"26830"	"39613.5"	"281356"	 	"209283"	"7182.13"	"31342.7"	"39936.8"	"287745"	 	"208146"	"7357.62"	"39301.7"	"38137.7"	"292943"	 	"210754"	"7066.14"	"34456.9"	"43713.5"	"295991"	 	"218710"	"6660.63"	"32286.5"	"43164.4"	"300822"	 	"234326"	"6702.2"	"36712"	"46882.4"	"324623"	 	"243281"	"6551.8"	"33469.5"	"44988.5"	"328291"	 	"251508"	"7295.3"	"28371.9"	"45363.6"	"332539"	 	"265455"	"7107.2"	"30586.1"	"44459.1"	"347607"	 	"258728"	"7628.14"	"30370.2"	"45284.4"	"342011"	 	"264298"	"9233.78"	"36560.1"	"45147.4"	"355239"	 	"280196"	"8806"	"29779"	"42536.1"	"361317"	 	"273715"	"9786.87"	"32203.2"	"45527.5"	"361232"	 	"278871"	"9239.19"	"32254"	"41847.6"	"362212"	 	"273699"	"7140.87"	"33020.3"	"44453.2"	"358313"	 	"Total"	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"21.4141"	"31.8859"	"0"	"0"	"53.3"	 	"21.159"	"28.331"	"0"	"0"	"49.49"	 	"20.146"	"35.764"	"0"	"0"	"55.91"	 	"28.3703"	"37.9997"	"0"	"0"	"66.37"	 	"32.7465"	"39.4335"	"0"	"0"	"72.18"	 	"34.8005"	"39.2688"	"0"	"8.52064"	"82.59"	 	"2952.25"	"39.3873"	"0"	"0.642935"	"2992.28"	 	"3718.59"	"35.5601"	"0"	"20.163"	"3774.31"	 	"3684.5"	"40.9763"	"0"	"27.6475"	"3753.12"	 	"3651.07"	"31"	"0"	"68.8159"	"3750.89"	 	"3967.87"	"37.456"	"0"	"71.4929"	"4076.81"	 	"3780.92"	"34.867"	"0"	"53.9774"	"3869.76"	 	"3806.12"	"35.357"	"0"	"61.1166"	"3902.6"	 	"3863.26"	"33.153"	"0"	"50.5898"	"3947"	 	"3866.08"	"42"	"0"	"53"	"3961.08"	 	"Coal"	 	"Other"
"167.225"	"39.0182"	"48.9713"	"183.095"	"438.31"	 	"600.549"	"38.7842"	"42.4458"	"542.731"	"1224.51"	 	"679.472"	"41.7874"	"36.0054"	"527.415"	"1284.68"	 	"591.878"	"39.579"	"29.9417"	"692.562"	"1353.96"	 	"668.384"	"39.1959"	"43.1662"	"639.464"	"1390.21"	 	"801.169"	"37.5712"	"49.4014"	"433.229"	"1321.37"	 	"916.482"	"35.6917"	"55.0238"	"433.532"	"1440.73"	 	"1106.56"	"35.6917"	"121.208"	"780.261"	"2043.72"	 	"1317.88"	"34.3485"	"173.348"	"1006.71"	"2532.28"	 	"1041"	"34"	"63.7258"	"1016.77"	"2155.49"	 	"966.652"	"35.4505"	"62.428"	"1087.2"	"2151.73"	 	"841.638"	"35.3552"	"90.8096"	"1125.11"	"2092.91"	 	"1034.5"	"35.6289"	"104.952"	"1275.3"	"2450.38"	 	"992.692"	"35.7237"	"41.5101"	"1347.07"	"2416.99"	 	"1439.58"	"41"	"38.7973"	"1242"	"2761.38"	 	"Oil"	 	"Generators:"
"8897.54"	"116.496"	"815.867"	"2027.54"	"11857.5"	 	"9572.57"	"106.453"	"768.134"	"1786.26"	"12233.4"	 	"8853.68"	"107.876"	"804.497"	"1617.78"	"11383.8"	 	"8814.12"	"114.698"	"693.168"	"1792.66"	"11414.6"	 	"9223.94"	"101.146"	"852.988"	"1842.86"	"12020.9"	 	"9864.78"	"101.648"	"1043.47"	"1942.06"	"12952"	 	"10975.2"	"123.528"	"908.918"	"1932.64"	"13940.3"	 	"10866.4"	"96.4433"	"915.85"	"1867.66"	"13746.4"	 	"11399.1"	"42.5557"	"701.712"	"1762.38"	"13905.8"	 	"11458.9"	"32.481"	"469.591"	"1940.27"	"13901.3"	 	"12331.9"	"31.0545"	"487.408"	"1785.58"	"14636"	 	"12696.4"	"37.4"	"1721.16"	"1992.18"	"16447.1"	 	"10618.4"	"38.0826"	"1667.92"	"1866.18"	"14190.6"	 	"11059.3"	"40.8704"	"942.47"	"3116.62"	"15159.2"	 	"13349.4"	"36"	"1117.92"	"1984"	"16487.3"	 	"Gas"	 	 
"11720.3"	"634.561"	"996.291"	"1442.6"	"14793.7"	 	"11039.2"	"547.862"	"857.816"	"1567.64"	"14012.5"	 	"10260.9"	"455.991"	"690.983"	"1141.53"	"12549.4"	 	"9471.07"	"269.625"	"748.057"	"1074.68"	"11563.4"	 	"8105.45"	"168.169"	"576.625"	"1070.91"	"9921.16"	 	"7154.14"	"134.654"	"622.986"	"976.555"	"8888.34"	 	"7027.13"	"111.223"	"608.913"	"873.595"	"8620.86"	 	"7516.66"	"82.2893"	"629.513"	"439.04"	"8667.5"	 	"7414.61"	"86.2989"	"531.768"	"445.768"	"8478.44"	 	"6534.55"	"42.5828"	"500.104"	"926.597"	"8003.83"	 	"5822.81"	"14.5488"	"327.896"	"761.192"	"6926.45"	 	"5872.56"	"16.681"	"204.718"	"889.208"	"6983.17"	 	"5521.73"	"19.1"	"92.8059"	"715"	"6348.64"	 	"5706.3"	"4.3"	"59.1056"	"592.6"	"6362.31"	 	"5241.43"	"1.6"	"140.8"	"509"	"5892.83"	 	"Thermal renewables1"	 	 
"1691.91"	"0"	"500.595"	"96.2441"	"2288.75"	 	"1255.37"	"0.01651"	"568.882"	"78.7732"	"1903.05"	 	"1850.27"	"7.31589"	"543.774"	"432.398"	"2833.75"	 	"1252.45"	"0"	"594.442"	"207.137"	"2054.02"	 	"1234.84"	"0"	"620.961"	"135.408"	"1991.21"	 	"1196.63"	"6.54691"	"594.197"	"61.1542"	"1858.53"	 	"1862.07"	"0"	"456.073"	"26.768"	"2344.91"	 	"1265.27"	"0"	"404.743"	"-9.09495e-016"	"1670.01"	 	"894.2"	"0"	"510.805"	"7.27596e-015"	"1405.01"	 	"1859.52"	"0"	"467.925"	"0"	"2327.45"	 	"1914.71"	"0"	"529.1"	"0"	"2443.81"	 	"2175.11"	"0"	"577.8"	"0"	"2752.91"	 	"2723.62"	"0"	"647.788"	"0"	"3371.41"	 	"3090.61"	"0"	"585.27"	"0"	"3675.88"	 	"2558.51"	"0"	"503.355"	"0"	"3061.86"	 	"Other thermal"	 	 
"103.155"	"30.1954"	"124.357"	"1405.69"	"1663.4"	 	"113.055"	"29.6098"	"141.291"	"1439.05"	"1723"	 	"85.6069"	"23.5896"	"86.1692"	"1247.53"	"1442.9"	 	"74.4619"	"29.0261"	"78.254"	"1208.94"	"1390.68"	 	"71.6429"	"27.1848"	"64.0588"	"1090.41"	"1253.3"	 	"62.3016"	"21.5935"	"53.0397"	"955.539"	"1092.47"	 	"65.7324"	"24.921"	"61.1656"	"987.792"	"1139.61"	 	"51.8354"	"19.1092"	"59.5284"	"967.386"	"1097.86"	 	"46.8188"	"36.1277"	"48.6776"	"756.703"	"888.327"	 	"53.0221"	"30.8266"	"49.8238"	"802.777"	"936.449"	 	"57.492"	"26.1303"	"56.208"	"781.204"	"921.034"	 	"53.1848"	"29.76"	"51.11"	"799.284"	"933.339"	 	"47.9909"	"31.9"	"49.2128"	"770.749"	"899.853"	 	"43.5708"	"13.7"	"52.2194"	"986.139"	"1095.63"	 	"34.9146"	"11.5"	"47.0579"	"821.727"	"915.199"	 	"Hydro natural flow"	 	 
