 	 	 	 	"2018"	 	 	 	 	 	"2017"	 	 	 	 	 	"2016"	 	 	 	 	 	"2015"	 	 	 	 	 	"2014"	 	 	 	 	 	"2013"	 	 	 	 	 	"2012"	 	 	 	 	 	"2011"	 	 	 	 	 	"2010"	 	 	 	 	 	"2009"	 	 	 	 	 	"2008"	 	 	 	 	 	"2007"	 	 	 	 	 	"2006"	 	 	 	 	 	"2005"	 	 	 	 	 	"2004"	 	 	 
"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	 	 
"199483"	"6138.28"	"24422.5"	"37732.9"	"267776"	 	"200107"	"7019.15"	"27639.8"	"37458.8"	"272225"	 	"198844"	"7162.92"	"35061"	"35514"	"276582"	 	"200684"	"6874.26"	"30026.7"	"40877.4"	"278462"	 	"208166"	"6480.97"	"27927.3"	"40406"	"282980"	 	"222841"	"6506.86"	"31946.9"	"43739.8"	"305035"	 	"230980"	"6363.45"	"29165.6"	"41944.5"	"308454"	 	"240555"	"7127.14"	"24160.8"	"42373.9"	"314217"	 	"254741"	"6921.28"	"26210.3"	"41120.8"	"328993"	 	"247699"	"7444.24"	"25638.5"	"41635.3"	"322417"	 	"253040"	"8946.14"	"30754.1"	"42465.8"	"335206"	 	"268104"	"8548.25"	"24716.6"	"38787.2"	"340156"	 	"261965"	"9436.85"	"26615"	"41265.9"	"339283"	 	"267233"	"8914.49"	"27648.1"	"38444.7"	"342240"	 	"262880"	"6857.26"	"28843.7"	"40653.1"	"339235"	 	 	"Electricity supplied (net) by MPPs"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"-21062.2"	"0"	"8251.97"	"12810.2"	"0"	 	"-24502.9"	"0"	"11489.9"	"13013"	"0"	 	"-28162.3"	"0"	"18523.1"	"9639.15"	"0"	 	"-27970.5"	"0"	"13372.4"	"14598.1"	"0"	 	"-21905.9"	"0"	"11136"	"10769.9"	"0"	 	"-27879.7"	"0"	"14605"	"13274.6"	"0"	 	"-22772.8"	"0"	"12056.1"	"10716.7"	"0"	 	"-18517"	"0"	"6919.83"	"11597.2"	"0"	 	"-16471.3"	"0"	"8473.28"	"7998.03"	"0"	 	"-18348.9"	"0"	"8140.07"	"10208.8"	"0"	 	"-20611.9"	"0"	"12167.6"	"8444.34"	"0"	 	"-11641.9"	"0"	"6007.81"	"5634.08"	"0"	 	"-17705.7"	"0"	"7669.88"	"10035.8"	"0"	 	"-13880.6"	"0"	"8252.7"	"5627.92"	"0"	 	"-15557.2"	"0"	"9777.12"	"5780.1"	"0"	 	 	"Electricity transferred to England (net of receipts)"
"0"	"-706.766"	"0"	"706.766"	"0"	 	"0"	"144.779"	"0"	"-144.779"	"0"	 	"0"	"251.972"	"0"	"-251.972"	"0"	 	"0"	"-191.469"	"0"	"191.469"	"0"	 	"0"	"-1044.03"	"0"	"1044.03"	"0"	 	"0"	"-1540.63"	"0"	"1540.63"	"0"	 	"0"	"-2162.38"	"0"	"2162.38"	"0"	 	"0"	"-1769.07"	"0"	"1769.07"	"0"	 	"0"	"-2297.44"	"0"	"2297.44"	"0"	 	"0"	"-1936.7"	"0"	"1936.7"	"0"	 	"0"	"-544.9"	"0"	"544.9"	"0"	 	"0"	"-1727.5"	"0"	"1727.5"	"0"	 	"0"	"-905.3"	"0"	"905.3"	"0"	 	"0"	"-1686.8"	"0"	"1686.8"	"0"	 	"0"	"-2793.1"	"0"	"2793.1"	"0"	 	 	"Electricity transferred to Northern Ireland (net of receipts)"
"-19075.1"	"471.072"	"-503.672"	"0"	"-19107.7"	 	"-14039"	"110.095"	"-830.993"	"0"	"-14759.9"	 	"-17033.8"	"-398.603"	"-312.648"	"0"	"-17745.1"	 	"-21836.6"	"-334.276"	"1065.31"	"0"	"-21105.6"	 	"-22807.2"	"-120.891"	"2408.29"	"0"	"-20519.8"	 	"-16637.4"	"45.2472"	"2161.26"	"0"	"-14430.9"	 	"-12128.1"	"160.269"	"103.897"	"0"	"-11863.9"	 	"-6468.19"	"245.092"	"0"	"0"	"-6223.1"	 	"-2895.22"	"233.713"	"0"	"0"	"-2661.5"	 	"-3227.7"	"366.894"	"0"	"0"	"-2860.81"	 	"-11243.9"	"221.769"	"0"	"0"	"-11022.1"	 	"-6543.71"	"1328.71"	"0"	"0"	"-5215"	 	"-9294.75"	"1778.01"	"0"	"0"	"-7516.74"	 	"-10393.9"	"2073.02"	"0"	"0"	"-8320.89"	 	"-9063.56"	"1573.89"	"0"	"0"	"-7489.68"	 	 	"Electricity transferred to Europe (net of receipts)"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"15431.4"	"1382.37"	"1672.94"	"3757.95"	"22244.7"	 	"15008.3"	"1088.25"	"1711.75"	"3735.78"	"21544"	 	"14582.3"	"814.95"	"1567.07"	"3435.43"	"20399.7"	 	"13262.3"	"779.036"	"1552.79"	"3463.33"	"19057.5"	 	"10508.6"	"512.334"	"1222.15"	"2841.06"	"15084.1"	 	"9497.07"	"457.042"	"1209.61"	"2555.09"	"13718.8"	 	"12336.5"	"393.824"	"1139.5"	"2500.04"	"16369.8"	 	"11648.2"	"322.394"	"1128.45"	"2475.37"	"15574.4"	 	"11663.8"	"222.908"	"987.667"	"2259.84"	"15134.2"	 	"13358.8"	"279.636"	"730.898"	"2246.48"	"16615.8"	 	"11380.3"	"231.059"	"626.299"	"1493.8"	"13731.5"	 	"10009.3"	"181.739"	"762.302"	"1668.31"	"12621.7"	 	"5470.31"	"350.1"	"1252.46"	"2855.85"	"9928.73"	 	"5269.98"	"271.3"	"981.484"	"2014.12"	"8536.88"	 	"7631.76"	"152.6"	"902.569"	"1390.61"	"10077.5"	 	 	"Transfers from other generators to public supply"
"5426.82"	"144.355"	"377.632"	"548.434"	"6497.24"	 	"5402.93"	"153.141"	"384.442"	"556.723"	"6497.24"	 	"5168.39"	"154.805"	"356.869"	"553.325"	"6233.39"	 	"6049.07"	"178.702"	"376.456"	"629.993"	"7234.22"	 	"5423.49"	"163.981"	"308.471"	"613.212"	"6509.15"	 	"5315.14"	"159.086"	"301.793"	"575.025"	"6351.04"	 	"5608.37"	"176.459"	"358.707"	"613.093"	"6756.63"	 	"5361.17"	"174.663"	"348.089"	"585.654"	"6469.58"	 	"4938.37"	"161.876"	"319.553"	"555.355"	"5975.15"	 	"5637.71"	"179.279"	"366.835"	"667.676"	"6851.5"	 	"5368.9"	"166.794"	"350.13"	"659.813"	"6545.64"	 	"5985.17"	"177.019"	"412.378"	"704.719"	"7279.29"	 	"5170.9"	"148.576"	"366.923"	"606.499"	"6292.9"	 	"5219.43"	"146.725"	"357.85"	"630.151"	"6354.16"	 	"4707.3"	"125.055"	"320.559"	"560.103"	"5713.02"	 	 	"Transmission losses"
"16488"	"528.335"	"1219.24"	"1930.14"	"20165.7"	 	"16488"	"528.335"	"1219.24"	"1785.1"	"20020.7"	 	"16272.4"	"511.873"	"1168.43"	"1902.12"	"19854.8"	 	"16632.4"	"515.084"	"1081.97"	"1833.67"	"20063.1"	 	"18286"	"565.625"	"1094.94"	"2194.98"	"22141.5"	 	"17767.1"	"542.88"	"1052.68"	"2012.33"	"21374.9"	 	"18326.7"	"572.029"	"1195.72"	"2065.83"	"22160.3"	 	"17844.5"	"577.494"	"1183.03"	"2065.68"	"21670.7"	 	"17349"	"561.697"	"1135.4"	"2015.27"	"21061.4"	 	"17807.8"	"548.252"	"1064.9"	"1796.26"	"21217.2"	 	"17778.6"	"532.62"	"1068.36"	"1925.01"	"21304.6"	 	"17614"	"503.821"	"1054.32"	"1771.18"	"20943.3"	 	"17853.7"	"482.503"	"1069.16"	"1712.27"	"21117.7"	 	"17986.5"	"480.472"	"1094.03"	"1758.97"	"21319.9"	 	"21455.1"	"484.795"	"1145.83"	"1928.99"	"25014.8"	 	 	"Distribution losses and theft"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"233136"	"7083.66"	"16750.3"	"25495.3"	"282466"	 	"231766"	"7171.05"	"17089"	"25984.5"	"282011"	 	"237182"	"7457.82"	"16892.4"	"27106.8"	"288639"	 	"241072"	"7485.25"	"15683.4"	"27087.6"	"291328"	 	"239678"	"7428.62"	"14201.7"	"28624.9"	"289934"	 	"253773"	"7757.31"	"15035.7"	"28892.2"	"305458"	 	"254282"	"8010.89"	"16590.6"	"28886.6"	"307770"	 	"253983"	"8221.36"	"16838.3"	"28831.7"	"307874"	 	"263484"	"8484.34"	"17269.7"	"30514.5"	"319752"	 	"259205"	"8566.39"	"16798.6"	"29275.7"	"313846"	 	"273140"	"8801.06"	"17794.6"	"32387.5"	"332123"	 	"272709"	"8448.07"	"18005.4"	"30619.9"	"329783"	 	"271431"	"8283.52"	"18764"	"30866.4"	"329345"	 	"273594"	"8172.74"	"18927.1"	"30761.3"	"331455"	 	"268992"	"7619.41"	"18504.6"	"30985.7"	"326101"	 	 	"Consumption from public supply [A]"
"17312.4"	"1550.88"	"1876.87"	"4216.04"	"24956.2"	 	"17501.9"	"1269.07"	"1996.17"	"4356.49"	"25123.7"	 	"16387.7"	"915.846"	"1761.08"	"3860.76"	"22925.4"	 	"14609.5"	"858.17"	"1710.52"	"3815.13"	"20993.3"	 	"13701.8"	"668.013"	"1593.51"	"3704.36"	"19667.7"	 	"12288.5"	"591.379"	"1565.15"	"3306.1"	"17751.1"	 	"12878.5"	"411.128"	"1189.56"	"2609.89"	"17089.1"	 	"13384.5"	"370.451"	"1296.66"	"2844.36"	"17896"	 	"13569.5"	"259.326"	"1149.03"	"2629.05"	"17606.9"	 	"12064.4"	"78.0266"	"946.161"	"3163.59"	"16252.2"	 	"13924.1"	"136.746"	"1017.14"	"3151.18"	"18229.2"	 	"15542.4"	"94.4468"	"2014.38"	"3622.81"	"21274.1"	 	"18907.6"	"89.9831"	"2037.63"	"3587.5"	"24622.7"	 	"19529.3"	"92.4647"	"1308.9"	"5040.53"	"25971.2"	 	"18666.1"	"107.721"	"1399.6"	"3865.43"	"24038.8"	 	 	"Consumption by autogenerators"
"250449"	"8634.53"	"18627.2"	"29711.4"	"307422"	 	"249268"	"8440.12"	"19085.1"	"30341"	"307134"	 	"253570"	"8373.66"	"18653.4"	"30967.6"	"311564"	 	"255681"	"8343.42"	"17393.9"	"30902.7"	"312321"	 	"253380"	"8096.64"	"15795.2"	"32329.3"	"309601"	 	"266061"	"8348.69"	"16600.9"	"32198.3"	"323209"	 	"267161"	"8422.02"	"17780.2"	"31496.5"	"324860"	 	"267368"	"8591.81"	"18134.9"	"31676"	"325770"	 	"277053"	"8743.67"	"18418.7"	"33143.6"	"337359"	 	"271269"	"8644.41"	"17744.8"	"32439.3"	"330098"	 	"287064"	"8937.81"	"18811.8"	"35538.7"	"350352"	 	"288252"	"8542.52"	"20019.8"	"34242.7"	"351057"	 	"290338"	"8373.5"	"20801.7"	"34453.9"	"353967"	 	"293123"	"8265.21"	"20236"	"35801.8"	"357426"	 	"287658"	"7727.13"	"19904.2"	"34851.1"	"350140"	 	 	"Total electricity consumption"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"233266"	"8034"	"16759.6"	"23551.9"	"281612"	 	"232230"	"7389.05"	"17123.2"	"24899.1"	"281641"	 	"236277"	"7312.21"	"16970.4"	"27770.8"	"288331"	 	"240442"	"7446.22"	"15642.4"	"26508.1"	"290039"	 	"240451"	"7437.78"	"14401.6"	"28863.3"	"291153"	 	"254971"	"7790.76"	"15106.7"	"28878.5"	"306747"	 	"255056"	"7961.03"	"16641"	"28750.6"	"308408"	 	"253646"	"8208.65"	"16815.9"	"29362"	"308033"	 	"263529"	"8532.1"	"17246.5"	"30611.7"	"319919"	 	"261579"	"8605.49"	"17498.4"	"26101.4"	"313784"	 	"274591"	"8091.08"	"18586.1"	"30601.5"	"331870"	 	"273336"	"8412.24"	"18708.8"	"29787.2"	"330245"	 	"272244"	"8085.7"	"18945.1"	"29955.9"	"329231"	 	"273288"	"7647.4"	"19362.9"	"30974.6"	"331273"	 	"266972"	"7558.25"	"19066.6"	"30117"	"323714"	 	 	"Electricity sales (public supply) [B]"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"-129.77"	"-950.342"	"-9.32365"	"1943.47"	"854.033"	 	"-463.654"	"-218.003"	"-34.1869"	"1085.41"	"369.565"	 	"904.572"	"145.605"	"-78.0176"	"-663.998"	"308.161"	 	"629.812"	"39.0287"	"40.9736"	"579.414"	"1289.23"	 	"-772.508"	"-9.15963"	"-199.832"	"-238.363"	"-1219.87"	 	"-1198.52"	"-33.4526"	"-71.0109"	"13.7368"	"-1289.25"	 	"-773.24"	"49.862"	"-50.4498"	"135.984"	"-637.844"	 	"336.824"	"12.7064"	"22.3304"	"-530.38"	"-158.519"	 	"-45.7043"	"-47.7563"	"23.2219"	"-97.144"	"-167.383"	 	"-2373.91"	"-39.1009"	"-699.791"	"3174.29"	"61.4878"	 	"-1451.87"	"709.98"	"-791.489"	"1785.97"	"252.59"	 	"-627.31"	"35.8311"	"-703.383"	"832.695"	"-462.167"	 	"-813.245"	"197.824"	"-181.069"	"910.483"	"113.992"	 	"306.021"	"525.339"	"-435.755"	"-213.316"	"182.289"	 	"2019.42"	"61.1647"	"-561.986"	"868.66"	"2387.26"	 	 	"Statistical difference between calculated"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	"consumption [A] and sales [B]"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	"Figures in this table do not sum exactly to the UK totals shown because of rounding."
