"Capacity - Technology"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"
"Wind"	9333.86652676338	8561.75279298918	7578.04742563897	6477.98190659281	5585.34336831317	5276.82319504574	4778.75040518182	3954.99353561552	3087.8598067958	2677.41784	2121.20185	1745.17285	0	0	0	0	0
"Shoreline wave / tidal"	21.918	19.918	17.918	13.007	7.638	7.388	6.748	6.748	2.56	1.25	1.25	0.5	0	0	0	0	0
"Solar PV"	364.165861069243	343.863897810381	342.972872245231	325.770489491192	264.060272148266	174.958522860154	132.741393303187	94.7435503389355	48.3166015821245	2.20623	0.029	0.029	0	0	0	0	0
"Hydro"	1649.40362	1648.86452	1648.67666	1626.78701	1571.43913	1527.72644	1509.70124	1496.81775	1485.10315	1453.70485	1450.465	1441.671	0	0	0	0	0
"Landfill gas"	115.864	115.864	115.834	116.334	116.334	116.334	115.334	114.854	112.804	107.488	106.19	92.662	0	0	0	0	0
"Sewage sludge digestion"	7.248	7.248	7.248	7.248	6.9513	6.847	6.847	9.447	9.447	8.164	7.21	7.03	0	0	0	0	0
"Other biomass 2"	393.2038	340.1282	301.2704	258.959257502966	236.466134059619	229.759369528873	149.613281744559	138.1927	123.334	118.8382	112.369	66.164	0	0	0	0	0
"Total"	11885.6698078326	11037.6394107996	10011.9673578842	8826.08766358696	7788.23220452105	7339.83652743477	6699.73532022956	5815.79653595446	4869.42455837793	4369.06912	3798.71485	3353.22885	0	0	0	0	0
