"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Awaiting Construction"	1	118.8
"Dumfries and Galloway"	"Wind Onshore"	"Under Construction"	1	4
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	1	27
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	1	15
"Highland"	"Wind Onshore"	"Application Submitted"	1	59.4
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	170
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	35
"Moray"	"Wind Onshore"	"Awaiting Construction"	1	48
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	1	75.5
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	88
"Argyll and Bute"	"Wind Onshore"	"Awaiting Construction"	1	28
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	22.5
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	67.5
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	75
"Scottish Borders"	"Wind Onshore"	"Application Submitted"	1	48
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	25.6
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	48
"Highland"	"Wind Onshore"	"Under Construction"	1	34
"West Lothian"	"Wind Onshore"	"Awaiting Construction"	1	1.5
"Argyll and Bute"	"Wind Onshore"	"Awaiting Construction"	1	4
"Scottish Borders"	"Wind Onshore"	"Application Submitted"	1	41
"Orkney Islands"	"Tidal Barrage and Tidal Stream"	"Awaiting Construction"	1	86
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	3.6
"South Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	24
"North Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	2.3
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	20
"Argyll and Bute"	"Wind Onshore"	"Awaiting Construction"	1	26
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	62.7
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	10.2
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	147
"Orkney Islands"	"Wind Onshore"	"Awaiting Construction"	1	16.32
"Orkney Islands"	"Wind Onshore"	"Awaiting Construction"	1	20.4
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	19.8
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	1.5
"Falkirk"	"EfW Incineration"	"Under Construction"	1	21.5
"Moray"	"Wind Onshore"	"Awaiting Construction"	1	15
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	49.4
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	49
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	10.2
"North Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	13.2
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	48
"Angus"	"Solar Photovoltaics"	"Awaiting Construction"	1	5
"East Ayrshire"	"EfW Incineration"	"Awaiting Construction"	1	12
"Aberdeenshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	1.5
"Perth and Kinross"	"Solar Photovoltaics"	"Awaiting Construction"	1	10
"Angus"	"Solar Photovoltaics"	"Awaiting Construction"	1	42
"Aberdeen City"	"EfW Incineration"	"Under Construction"	1	11.1
"Angus"	"Solar Photovoltaics"	"Under Construction"	1	5
"Angus"	"Solar Photovoltaics"	"Awaiting Construction"	1	5
"Highland"	"Anaerobic Digestion"	"Under Construction"	1	2
"North Ayrshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	5
"Aberdeenshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	5
"Fife"	"Solar Photovoltaics"	"Awaiting Construction"	1	12
"Aberdeenshire"	"Solar Photovoltaics"	"Under Construction"	1	2
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	2.4
"Offshore"	"Wind Offshore"	"Awaiting Construction"	1	29.9
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	2
"North Lanarkshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	4.8
"North Lanarkshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	4.1
"North Lanarkshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	5
"Angus"	"Solar Photovoltaics"	"Under Construction"	1	4.99
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	2.3
"Shetland Islands"	"Wind Onshore"	"Awaiting Construction"	1	2.7
"Argyll and Bute"	"Small Hydro"	"Under Construction"	1	2
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	32.4
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Application Submitted"	1	6.9
"West Dunbartonshire"	"Anaerobic Digestion"	"Awaiting Construction"	1	1.6
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	63
"East Ayrshire"	"Wind Onshore"	"Application Submitted"	1	49.5
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	1	104
"Fife"	"Wind Onshore"	"Awaiting Construction"	1	12.3
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	42
"Argyll and Bute"	"Advanced Conversion Technologies"	"Awaiting Construction"	1	5.5
"Argyll and Bute"	"Wind Onshore"	"Awaiting Construction"	1	47.6
"Offshore"	"Wind Offshore"	"Under Construction"	1	50
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	1	36
"Highland"	"Wind Offshore"	"Awaiting Construction"	1	850
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	1
"Dundee City"	"EfW Incineration"	"Under Construction"	1	10
"East Ayrshire"	"Wind Onshore"	"Application Submitted"	1	33
"Highland"	"Wind Onshore"	"Application Submitted"	1	35
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Awaiting Construction"	1	5
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	1	21
"West Lothian"	"Wind Onshore"	"Awaiting Construction"	1	5
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	1	20
"West Lothian"	"Advanced Conversion Technologies"	"Awaiting Construction"	1	17
"Fife"	"Solar Photovoltaics"	"Awaiting Construction"	1	5
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	1	37.95
"Highland"	"Wind Offshore"	"Under Construction"	1	10
"Highland"	"Wind Onshore"	"Application Submitted"	1	64.6
"Moray"	"Wind Onshore"	"Application Submitted"	1	150
"North Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	21
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Application Submitted"	1	5
"Clackmannanshire"	"Wind Onshore"	"Under Construction"	1	10.8
"West Lothian"	"Wind Onshore"	"Application Submitted"	1	36
"Moray"	"Solar Photovoltaics"	"Awaiting Construction"	1	50
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	22.4
"Moray"	"Wind Onshore"	"Application Submitted"	1	256
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	1	70
"Highland"	"Wind Onshore"	"Application Submitted"	1	24
"Shetland Islands"	"Wind Onshore"	"Awaiting Construction"	1	46.8
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	1.6
"Argyll and Bute"	"Wind Onshore"	"Application Submitted"	1	60
"Moray"	"Wind Onshore"	"Application Submitted"	1	28
"Moray"	"Solar Photovoltaics"	"Awaiting Construction"	1	20
"Offshore"	"Wind Offshore"	"Awaiting Construction"	1	450
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	67.2
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	36
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	36
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	315
"Argyll and Bute"	"Wind Onshore"	"Awaiting Construction"	1	58.8
"Highland"	"Wind Onshore"	"Application Submitted"	1	168
"Highland"	"Small Hydro"	"Awaiting Construction"	1	4
"Highland"	"Small Hydro"	"Awaiting Construction"	1	1.08
"Aberdeenshire"	"Small Hydro"	"Under Construction"	1	2
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	1	40
"Aberdeenshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	1
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	36
"Perth and Kinross"	"Solar Photovoltaics"	"Awaiting Construction"	1	10
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	84
"East Ayrshire"	"Wind Onshore"	"Application Submitted"	1	226.8
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	350
"Highland"	"Wind Onshore"	"Application Submitted"	1	91.2
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Awaiting Construction"	1	49.7
"Highland"	"Small Hydro"	"Awaiting Construction"	1	1.65
"Highland"	"Small Hydro"	"Awaiting Construction"	1	1
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Application Submitted"	0	-180
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Application Submitted"	1	196
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Application Submitted"	1	49.9
"Highland"	"Small Hydro"	"Awaiting Construction"	1	1.36
"Highland"	"Small Hydro"	"Awaiting Construction"	1	0.885
"Argyll and Bute"	"Small Hydro"	"Awaiting Construction"	1	1
"Highland"	"Small Hydro"	"Application Submitted"	1	1
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	81.6
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	40
"Argyll and Bute"	"Small Hydro"	"Awaiting Construction"	1	2
"Fife"	"Solar Photovoltaics"	"Awaiting Construction"	1	1.9
"Highland"	"Wind Onshore"	"Application Submitted"	1	48.3
"Highland"	"Small Hydro"	"Awaiting Construction"	1	0.8
"Argyll and Bute"	"Wind Onshore"	"Awaiting Construction"	1	80
"Aberdeenshire"	"Solar Photovoltaics"	"Awaiting Construction"	1	36.6
"Highland"	"Small Hydro"	"Awaiting Construction"	1	0.35
"Fife"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.25
"Argyll and Bute"	"Small Hydro"	"Awaiting Construction"	1	0.15
"North Ayrshire"	"EfW Incineration"	"Awaiting Construction"	1	15
"Highland"	"Wind Onshore"	"Application Submitted"	1	4.3
"Highland"	"Small Hydro"	"Awaiting Construction"	1	2.6
"Highland"	"Small Hydro"	"Awaiting Construction"	1	1.1
"Highland"	"Small Hydro"	"Awaiting Construction"	1	2
"Highland"	"Wind Onshore"	"Application Submitted"	1	36
"East Ayrshire"	"Small Hydro"	"Awaiting Construction"	1	0.3
"North Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	8.4
"Highland"	"Wind Onshore"	"Application Submitted"	1	28
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	78
"East Ayrshire"	"Wind Onshore"	"Application Submitted"	0	-88
"East Ayrshire"	"Wind Onshore"	"Application Submitted"	1	105.5
"Shetland Islands"	"Wind Onshore"	"Awaiting Construction"	1	457
"Highland"	"Small Hydro"	"Awaiting Construction"	1	2
"Highland"	"Pumped Storage Hydroelectricity"	"Awaiting Construction"	1	600
"Dumfries and Galloway"	"Pumped Storage Hydroelectricity"	"Awaiting Construction"	1	210
"South Lanarkshire"	"Battery"	"Awaiting Construction"	1	4
"Highland"	"Pumped Storage Hydroelectricity"	"Application Submitted"	1	1500
"West Lothian"	"Battery"	"Awaiting Construction"	1	1
"East Lothian"	"Battery"	"Awaiting Construction"	1	0
"Fife"	"Battery"	"Awaiting Construction"	1	37
"Aberdeenshire"	"Battery"	"Awaiting Construction"	1	0
"Inverclyde"	"Battery"	"Awaiting Construction"	1	5
"Aberdeenshire"	"Battery"	"Awaiting Construction"	1	25
"Falkirk"	"Battery"	"Awaiting Construction"	1	20
