"Capacity - Technology"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"
"Wind"	11357.0589393601	9947.14116456417	9080.83129925433	7206.57432568115	6618.9694768007	5914.10284089369	5152.8279899774	3971.50426501914	2520.78034362869	1860.67487	1446.5575	1091.2553	0	0	0	0	0
"Shoreline wave / tidal"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.6	0.1	0.1	0	0	0	0	0	0	0
"Solar PV"	11556.0134097165	11316.2753254777	11110.2023484948	10500.9416481338	8548.53674373512	4908.63138340314	2622.40748100965	1540.2543711893	887.810286874139	89.018135	1.4265	1.3187	0	0	0	0	0
"Hydro"	43.7024099999997	44.01391	42.37101	35.13103	35.37203	33.48243	32.19963	31.36823	29.50096	25.84166	24.949	24.684	0	0	0	0	0
"Landfill gas"	873.37	880.383	880.207	879.337	878.81	877.31	877.076	870.089	884.771	844.721	808.5564	755.201	0	0	0	0	0
"Sewage sludge digestion"	226.16	226.16	225.541	237.384	211.071	210.296	181.242	188.905	177.769	172.448	140.741	137.39	0	0	0	0	0
"Other biomass 2"	5780.17641412797	5619.66005412797	4203.97161412797	4018.14703397785	3611.76222143468	2991.58043551898	2566.9550950158	1719.22261306939	1678.34997412797	718.9835	636.518	608.105	0	0	0	0	0
"Total"	29836.5811732045	28033.7334541699	25543.2242718771	22877.6150377928	19904.6214719705	14935.5030898158	11432.8081960029	8321.94347927783	6179.0815646308	3711.787165	3058.7484	2617.954	0	0	0	0	0
