"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial"	"Coal - Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Public Sector"	"Coal - Agriculture"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial"	"Petroleum Products - Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Industrial & Commercial"	"Bioenergy & Wastes - Domestic"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"S92000003"	"Scotland"	"2015"	"144466.29191"	"1021.2468508"	"11.352182653"	"538.65916783"	"3.6935010361"	"14.853170101"	"0"	"1589.8048724"	"841.23989942"	"286.96912247"	"1128.2090219"	"21350.90318"	"126.14391368"	"3176.3663279"	"36905.637889"	"660.74830283"	"147.50349201"	"2848.0667772"	"65215.369883"	"19563.14285"	"27315.37581"	"46878.51866"	"14023.65006"	"10621.07643"	"24644.72649"	"3656.5091148"	"1353.1538657"	"5009.6629805"	"63604.611491"	"43291.600724"	"37570.079693"
"E92000001"	"England"	"2015"	"1197510.6291"	"11551.829676"	"66.28718522"	"3220.8488519"	"86.156076291"	"180.09866623"	"0"	"15105.220456"	"18736.941322"	"2139.3965511"	"20876.337873"	"75825.02763"	"1050.2599076"	"15902.031013"	"364665.9612"	"6629.8460854"	"402.87222511"	"9284.6638003"	"473760.66186"	"151337.83766"	"266871.60367"	"418209.44131"	"147837.0171"	"92359.052302"	"240196.06937"	"11754.816684"	"17608.08157"	"29362.898254"	"428027.65185"	"398101.01396"	"371381.96336"
"W92000004"	"Wales"	"2014"	"92286.255073"	"1563.1656727"	"7.356858566"	"607.18331926"	"18.996700965"	"113.01419953"	"0"	"2309.716751"	"8919.7809646"	"349.98588659"	"9269.7668512"	"10983.961426"	"45.990681531"	"2878.9811175"	"21547.935268"	"369.73944903"	"10.280915429"	"1848.5896595"	"37685.478516"	"9359.182862"	"14262.8996"	"23622.08246"	"10366.72"	"5189.27"	"15555.99"	"2251.1651449"	"1592.0553486"	"3843.2204947"	"45469.208385"	"24880.375272"	"21936.671418"
"S92000003"	"Scotland"	"2014"	"147017.86825"	"1200.7231273"	"10.942404906"	"535.05260516"	"3.6935010361"	"114.56476548"	"0"	"1864.9764039"	"910.12864495"	"300.17143393"	"1210.3000789"	"20957.577522"	"91.283628352"	"3170.8521274"	"36917.842795"	"663.74503156"	"134.25834366"	"2734.639022"	"64670.19847"	"20441.45084"	"27699.51306"	"48140.9639"	"14559.37"	"10763.07"	"25322.44"	"4611.1834543"	"1197.8059453"	"5808.9894008"	"65766.121753"	"43666.465172"	"37585.281327"
"E92000001"	"England"	"2014"	"1205189.1368"	"14356.095237"	"68.720738751"	"3199.0665167"	"86.156076291"	"815.92346107"	"0"	"18525.96203"	"20804.293564"	"2163.6577476"	"22967.951312"	"70910.473856"	"950.75465992"	"15868.679151"	"362340.00818"	"6669.7265859"	"353.2433676"	"8906.2252088"	"465999.11101"	"157209.66224"	"269076.3438"	"426286.00602"	"151176.24"	"92960.61"	"244136.82"	"11686.688877"	"15586.597594"	"27273.286471"	"437238.32121"	"398854.95481"	"369095.89085"
"W92000004"	"Wales"	"2013"	"96327.984973"	"1489.6769866"	"7.7995918948"	"710.77306008"	"20.034213091"	"114.6156254"	"0"	"2342.8994771"	"10752.997367"	"388.09417484"	"11141.091542"	"13341.164431"	"43.391107808"	"3179.6492164"	"21272.887291"	"364.35780318"	"6.5239145584"	"1830.2919223"	"40038.265686"	"8976.1501593"	"14476.977314"	"23453.127465"	"10366.231893"	"5179.5089085"	"15545.74081"	"2130.8054504"	"1676.0545413"	"3806.8599929"	"49059.648449"	"25611.057215"	"21657.279307"
"S92000003"	"Scotland"	"2013"	"149275.40632"	"1380.9920804"	"12.039031287"	"626.36904486"	"3.8952230256"	"110.17806788"	"0"	"2133.4734474"	"898.67302715"	"337.02328165"	"1235.6963088"	"22508.447512"	"80.645306205"	"3580.9516774"	"36334.944776"	"651.59718045"	"120.81438012"	"2709.4307435"	"65986.831576"	"20574.323308"	"28072.986141"	"48647.309448"	"15220.292586"	"10652.601097"	"25872.893684"	"4138.197902"	"1261.0039573"	"5399.2018593"	"67754.033945"	"44530.935199"	"36990.437179"
"E92000001"	"England"	"2013"	"1199343.3917"	"15224.877892"	"70.406907381"	"3747.3748619"	"90.861523538"	"828.14942112"	"0"	"19961.670606"	"21217.341004"	"2256.4483004"	"23473.789304"	"68909.001644"	"825.51735092"	"17807.298051"	"357125.36844"	"6576.8897294"	"301.99257644"	"8820.866904"	"460366.93469"	"151747.72962"	"272428.59253"	"424176.32215"	"151232.19992"	"92408.055512"	"243640.25543"	"11315.449939"	"16408.969525"	"27724.419463"	"430493.53318"	"405056.73878"	"363793.11969"
"W92000004"	"Wales"	"2012"	"92982.574465"	"1279.4789764"	"7.8472974919"	"741.70542248"	"23.541296345"	"103.99826826"	"0.9661763456"	"2157.5374373"	"7729.1292243"	"344.5118633"	"8073.6410876"	"13143.892277"	"39.90040585"	"3029.933548"	"21311.229075"	"363.57092727"	"16.45351239"	"1852.9917169"	"39757.971463"	"9370.8859507"	"14905.24187"	"24276.127817"	"10038.30544"	"5229.0038863"	"15267.309334"	"2026.2830083"	"1423.7043183"	"3449.9873267"	"45610.132254"	"25674.100908"	"21698.341299"
"S92000003"	"Scotland"	"2012"	"151919.11599"	"1385.3370495"	"10.916188607"	"653.50612505"	"4.5771001367"	"99.016352399"	"1.7083259899"	"2155.0611417"	"840.7945145"	"296.6704848"	"1137.4649993"	"24155.425613"	"74.795041626"	"3477.9767452"	"36368.039453"	"652.11851242"	"142.84447052"	"2741.9563249"	"67613.15616"	"21729.263572"	"28801.624248"	"50530.887819"	"15218.797957"	"10958.463366"	"26177.261333"	"3234.1399334"	"1071.1446047"	"4305.2845385"	"69634.995343"	"45259.385573"	"37024.735065"
"E92000001"	"England"	"2012"	"1215568.2828"	"12409.229666"	"69.137644501"	"3901.0328537"	"106.76726069"	"765.45446259"	"8.1771041836"	"17259.798992"	"22233.997492"	"2088.9072647"	"24322.904757"	"81342.826143"	"765.32449559"	"17142.661589"	"358978.7114"	"6644.2090122"	"419.29766162"	"8923.3708363"	"474216.40114"	"154319.7391"	"278715.41614"	"433035.13525"	"150307.12017"	"93687.385172"	"243994.49534"	"8801.1460212"	"13938.401275"	"22739.547289"	"440364.8208"	"409473.8043"	"365729.68767"
"W92000004"	"Wales"	"2011"	"96970.281837"	"1269.8553619"	"9.004739922"	"776.57013235"	"22.44832425"	"109.47428277"	"0.9435103943"	"2188.2963516"	"9522.418742"	"343.79455072"	"9866.2132927"	"15219.271836"	"47.584405454"	"2940.0149505"	"21663.696519"	"352.44857223"	"37.960356158"	"1800.3138924"	"42061.290532"	"9690.907661"	"14997.070736"	"24687.978398"	"9938.7614243"	"5287.0153609"	"15225.776785"	"1821.2497788"	"1119.4766987"	"2940.7264774"	"49467.745991"	"25463.942429"	"22038.593416"
"S92000003"	"Scotland"	"2011"	"153900.83136"	"1555.9195174"	"13.692274561"	"684.21787659"	"4.3645951602"	"112.0243545"	"1.6377449155"	"2371.8563632"	"844.76153762"	"299.00400766"	"1143.7655453"	"24774.682326"	"89.005232966"	"3493.1940339"	"36579.702022"	"637.65058482"	"197.94244474"	"2664.2890846"	"68436.465729"	"22178.954542"	"28958.505636"	"51137.460178"	"15507.80965"	"11150.021805"	"26657.831455"	"3311.1975467"	"842.25454039"	"4153.4520868"	"71251.916256"	"45427.1979"	"37221.717202"
"E92000001"	"England"	"2011"	"1222041.6989"	"12693.271901"	"85.028826085"	"4083.8610685"	"101.81028489"	"829.75147781"	"8.1089977523"	"17801.832556"	"20492.542331"	"1983.4367706"	"22475.979102"	"85805.946581"	"933.30806626"	"16837.904673"	"364432.13447"	"6424.0231986"	"686.35217569"	"8679.2332901"	"483798.90245"	"156616.4685"	"280025.26579"	"436641.73429"	"146792.2311"	"94647.954918"	"241440.16601"	"8923.1434361"	"10959.941082"	"19883.08452"	"442545.38668"	"408538.3643"	"370957.96795"
"W92000004"	"Wales"	"2010"	"100151.50669"	"1133.2039102"	"5.8894722049"	"786.15831582"	"27.601602092"	"105.17933116"	"0.9048041378"	"2058.9374356"	"9650.9295047"	"377.36169335"	"10028.291198"	"14680.613791"	"49.325074078"	"3750.8625465"	"21976.248757"	"354.78174376"	"14.418211974"	"1773.5557617"	"42599.805886"	"10327.308203"	"16141.772523"	"26469.080726"	"10456.654899"	"5361.1411954"	"15817.796098"	"1889.0244597"	"1288.5708871"	"3177.5953468"	"50087.007423"	"27705.867161"	"22358.632103"
"S92000003"	"Scotland"	"2010"	"158324.14895"	"1606.5742371"	"8.7328438965"	"692.68147953"	"5.3665395009"	"110.05139056"	"1.5989415716"	"2425.0054322"	"901.5984584"	"330.69051067"	"1232.2889691"	"24631.989169"	"90.262265679"	"4534.1418998"	"37117.751865"	"644.36694064"	"161.82008249"	"2623.5234097"	"69803.855633"	"22859.954533"	"30329.847833"	"53189.802365"	"16018.793795"	"11371.928136"	"27390.721941"	"3312.9995989"	"969.47500724"	"4282.4746067"	"72327.898726"	"48228.764867"	"37767.485345"
"E92000001"	"England"	"2010"	"1269947.382"	"13243.617469"	"53.355272325"	"4135.4942573"	"125.18203767"	"845.30155562"	"7.5555359843"	"18410.506128"	"19528.148457"	"2091.6877663"	"21619.836224"	"91773.559698"	"958.16328603"	"21509.662566"	"367935.36621"	"6489.0002901"	"464.00685771"	"8529.1646629"	"497658.92357"	"162960.03682"	"297406.65119"	"460366.698"	"154420.45697"	"95862.98907"	"250283.44604"	"8992.5589298"	"12615.413098"	"21607.972026"	"461775.92551"	"433621.89795"	"374549.54854"
"W92000004"	"Wales"	"2009"	"99595.070895"	"987.21970198"	"33.539913633"	"753.04439546"	"27.338387233"	"104.24586587"	"0"	"1905.3882642"	"8256.5363114"	"336.02386632"	"8592.5601777"	"15575.851719"	"43.118570376"	"3284.6192716"	"22470.666655"	"353.93073793"	"22.503046971"	"1758.6542008"	"43509.344201"	"10402.836876"	"16586.763161"	"26989.588414"	"10398.38256"	"5321.6733055"	"15720.055868"	"1878.6798236"	"999.45414565"	"2878.1339697"	"49461.568589"	"27281.578146"	"22851.93578"
"S92000003"	"Scotland"	"2009"	"156177.56251"	"1688.3810365"	"45.830441623"	"663.52069572"	"5.3153630118"	"106.85361194"	"0"	"2509.9011487"	"1029.2587942"	"293.43892776"	"1322.6977219"	"25585.224884"	"81.436466286"	"4003.3766188"	"37825.274975"	"642.13916925"	"156.67088231"	"2600.1959534"	"70894.318949"	"20377.943242"	"30730.200964"	"51108.144194"	"15632.0628"	"11434.958584"	"27067.021385"	"2523.5252819"	"751.95383082"	"3275.4791127"	"69827.383393"	"47877.449621"	"38472.729508"
"E92000001"	"England"	"2009"	"1264206.058"	"11036.097035"	"317.22529853"	"3962.5207707"	"123.98827457"	"819.59073711"	"0"	"16259.422116"	"21057.923779"	"1897.7211865"	"22955.644965"	"91764.166926"	"821.67783446"	"18967.579596"	"374308.13648"	"6444.3863668"	"536.37069982"	"8447.5524288"	"501289.87033"	"158549.02974"	"299807.50296"	"458356.5327"	"152079.23643"	"95268.464575"	"247347.70109"	"8211.9948721"	"9784.8919613"	"17996.886833"	"453640.86578"	"429688.68105"	"380876.51112"
"W92000004"	"Wales"	"2008"	"104156.04731"	"1655.2531338"	"8.9255028014"	"752.44121074"	"27.405440917"	"93.517550362"	"3.0080869629"	"2540.5509256"	"8363.1475224"	"453.82379265"	"8816.971315"	"15712.625985"	"57.094914584"	"3310.1387398"	"23038.227844"	"355.47354849"	"43.260797321"	"1733.5253854"	"44250.347214"	"11429.59184"	"18254.75038"	"29684.34222"	"10960.04222"	"5307.18768"	"16267.24153"	"1679.1732759"	"917.42083126"	"2596.5941075"	"51739.166214"	"28995.762634"	"23421.106833"
"S92000003"	"Scotland"	"2008"	"165935.19698"	"1958.236604"	"13.725289305"	"662.89525363"	"5.328400172"	"102.00392832"	"5.210899956"	"2747.4003754"	"906.45091378"	"385.10717205"	"1291.5580858"	"28216.795737"	"116.46651857"	"4116.4938576"	"38485.489153"	"642.36120386"	"207.75067921"	"2567.9079623"	"74353.265112"	"24083.25281"	"33341.54691"	"57424.79972"	"16732.48805"	"11577.73478"	"28310.22283"	"1117.7159793"	"690.2348762"	"1807.9508551"	"76028.005372"	"50774.01285"	"39133.178757"
"E92000001"	"England"	"2008"	"1333411.1219"	"12607.413461"	"79.773186787"	"3952.0919881"	"124.29238442"	"772.63668167"	"27.46984852"	"17563.67755"	"24901.298567"	"2946.8555106"	"27848.154077"	"96876.59623"	"1134.4149886"	"19245.036006"	"382705.35968"	"6472.0146914"	"765.65967964"	"8403.4010039"	"515602.48228"	"173462.89212"	"325848.45612"	"499311.34824"	"160646.50419"	"95417.27667"	"256063.76923"	"8039.9241108"	"8981.7664537"	"17021.690562"	"487717.98407"	"456391.48275"	"389301.66676"
"W92000004"	"Wales"	"2007"	"109345.3148"	"1755.6968395"	"4.9910687074"	"711.01564269"	"27.405440917"	"87.335440992"	"2.4078519865"	"2588.8522848"	"11176.792578"	"381.14323309"	"11557.935811"	"16576.883895"	"60.924104179"	"3105.1714977"	"23229.813998"	"356.98158454"	"59.249145345"	"1773.9339018"	"45162.958126"	"12100.24742"	"18837.59946"	"30937.84688"	"11233.77753"	"5398.94838"	"16632.72591"	"1691.9447359"	"773.05105368"	"2464.9957892"	"56524.184512"	"29206.929267"	"23614.201023"
"S92000003"	"Scotland"	"2007"	"167309.20596"	"1702.4407621"	"7.7939275964"	"626.44989755"	"5.328400172"	"106.53088234"	"4.1616761064"	"2452.7055459"	"1013.5386017"	"322.0795661"	"1335.6181678"	"27109.426993"	"124.98136295"	"3872.1743473"	"38737.639532"	"639.40313767"	"244.47962062"	"2626.9382277"	"73355.043221"	"25120.76511"	"34469.3429"	"59590.10801"	"16961.27341"	"12001.33427"	"28962.60768"	"1031.5071599"	"581.61617893"	"1613.123339"	"76053.837734"	"51872.99716"	"39382.37107"
"E92000001"	"England"	"2007"	"1379839.851"	"12657.353251"	"44.961707302"	"3738.3911463"	"124.29238442"	"777.80079511"	"22.030438649"	"17364.829723"	"31693.667124"	"2521.2412755"	"34214.9084"	"104225.83254"	"1209.6751349"	"18228.587962"	"389339.19112"	"6511.7617003"	"956.93081422"	"8590.7778431"	"529062.75711"	"185409.2979"	"337777.28897"	"523186.58687"	"161667.82753"	"99598.30819"	"261266.14735"	"7176.2692344"	"7568.3522594"	"14744.621496"	"514432.42431"	"469432.1698"	"395975.2452"
"W92000004"	"Wales"	"2006"	"109677.04486"	"1495.7092932"	"6.8671052402"	"620.26677351"	"27.405440917"	"89.460469312"	"3.0098149832"	"2242.7188971"	"11189.714698"	"417.85225452"	"11607.566952"	"15798.822206"	"65.513727546"	"3499.5163333"	"22728.352158"	"323.79274244"	"60.23836735"	"1867.9155457"	"44344.151081"	"12802.85061"	"19598.6434"	"32401.48238"	"11794.32027"	"5599.81011"	"17394.13038"	"924.50397588"	"762.49119558"	"1686.9951719"	"56098.926083"	"30498.580067"	"23079.550341"
"S92000003"	"Scotland"	"2006"	"168126.74332"	"1752.1726797"	"10.723499127"	"546.58702133"	"5.328400172"	"100.41752292"	"5.2020951388"	"2420.4312184"	"935.80522102"	"353.91865959"	"1289.7238806"	"28388.863518"	"132.93673268"	"4499.2621447"	"37983.690159"	"596.38310196"	"273.81973915"	"2765.5853483"	"74640.540744"	"24468.34537"	"34342.56427"	"58810.90964"	"17310.84795"	"12116.62246"	"29427.47041"	"963.99611272"	"573.67131632"	"1537.6674292"	"77108.715788"	"52432.625872"	"38585.401661"
"E92000001"	"England"	"2006"	"1403716.2381"	"11743.130895"	"61.861856351"	"3268.4022426"	"124.29238442"	"860.36007334"	"27.538048317"	"16085.5855"	"33601.770277"	"2736.018497"	"36337.788774"	"107466.80844"	"1309.0603408"	"20750.298451"	"385150.90597"	"6273.3377755"	"1036.8146771"	"9047.6503223"	"531034.87597"	"192267.59031"	"345229.36266"	"537496.95297"	"168500.95262"	"100012.42923"	"268513.38185"	"6782.684232"	"7464.9687549"	"14247.652988"	"532706.22209"	"479461.47984"	"391548.53613"
"W92000004"	"Wales"	"2005"	"111358.49703"	"1248.9373531"	"4.8522946279"	"688.25490917"	"5.8309448812"	"97.645539511"	"5.4211919645"	"2050.9422333"	"10349.458748"	"436.91450255"	"10786.37325"	"17353.883881"	"83.6746332"	"3348.0856807"	"22096.375318"	"327.63552983"	"95.636850884"	"1960.8472797"	"45266.139173"	"14422.11877"	"19888.77701"	"34310.89578"	"11911.70186"	"5655.54107"	"17567.24293"	"646.86922993"	"730.03443522"	"1376.9036655"	"58181.047632"	"30747.607608"	"22429.841793"
"S92000003"	"Scotland"	"2005"	"173354.80398"	"1432.3728691"	"7.701445092"	"606.64857919"	"1.1337021576"	"113.07530105"	"9.3458102338"	"2170.2777068"	"947.48515163"	"369.64613096"	"1317.1312826"	"32520.823427"	"172.98914454"	"4218.0162912"	"36982.076215"	"598.67252189"	"348.8821205"	"2901.3338729"	"77742.793594"	"25613.6794"	"35329.41629"	"60943.09569"	"17113.91716"	"12391.56729"	"29505.48445"	"1126.7692549"	"549.25200175"	"1676.0212563"	"82308.374957"	"53464.546583"	"37581.882439"
"E92000001"	"England"	"2005"	"1440457.904"	"13248.396015"	"44.084913554"	"3638.2012456"	"26.445188173"	"935.09970126"	"49.707608352"	"17941.934672"	"33172.105242"	"2875.1621651"	"36047.267407"	"114610.05855"	"1707.253983"	"19997.530885"	"378939.09176"	"6310.8979677"	"1520.7556484"	"9467.3335948"	"532552.92239"	"216507.52248"	"355380.59653"	"571888.11901"	"166682.38115"	"101268.00403"	"267950.38518"	"6930.0659292"	"7147.2094115"	"14077.275337"	"564874.76482"	"490306.70427"	"385276.43492"
