"Generation - Technology"	"2020 - 2nd quarter p"	"2020 - 1st quarter"	"2019 - 4th quarter"	"2019 - 3rd quarter"	"2019 - 2nd quarter"	"2019 - 1st quarter"	"2018 - 4th quarter"	"2018 - 3rd quarter"	"2018 - 2nd quarter"	"2018 - 1st quarter"	"2017 - 4th quarter"	"2017 - 3rd quarter"	"2017 - 2nd quarter"	"2017 - 1st quarter"	"2016 - 4th quarter"	"2016 - 3rd quarter"	"2016 - 2nd quarter"	"2016 - 1st quarter"	"2015 - 4th quarter"	"2015 - 3rd quarter"	"2015 - 2nd quarter"	"2015 - 1st quarter"	"2014 - 4th quarter"	"2014 - 3rd quarter"	"2014 - 2nd quarter"	"2014 - 1st quarter"	"2013 - 4th quarter"	"2013 - 3rd quarter"	"2013 - 2nd quarter"	"2013 - 1st quarter"	"2012 - 4th quarter"	"2012 - 3rd quarter"	"2012 - 2nd quarter"	"2012 - 1st quarter"	"2011 - 4th quarter"	"2011 - 3rd quarter"	"2011 - 2nd quarter"	"2011 - 1st quarter"	"2010 - 4th quarter"
"Onshore Wind"	1481.66297044111	2966.61176328534	2029.86058354751	1508.92121027523	1313.5529738307	2198.83185342292	2199.46435627023	1157.042340959	1235.00256925149	2292.6670268575	2361.90826590843	1370.59585732054	1544.87581492916	1936.23398099453	1471.65254592418	1275.31137661734	1081.11223989119	1860.7206270592	2058.61111416359	938.739540675396	1222.29359041117	1822.93999568605	1576.5931910016	715.733526033232	718.187058009348	1629.80395644727	1474.26736385595	601.476580331123	885.520841316868	867.25377193383	840.995821817512	518.310180178753	521.086000961398	598.050882152754	816.217161113604	413.388697961929	471.560545853891	454.799696336007	0
"Offshore Wind"	6727.42971620592	12213.2462966677	8780.73870681364	6000.5867704603	4815.76652240732	7142.9760015003	7550.18463318	4349.93659912	4270.23155593	6947.7740984	6762.55110105914	3390.15669158	3398.56493681833	4319.16124887233	3726.0822545	2989.37293662444	2790.7013839	4385.64894614	4918.47182644796	2904.86171102663	3026.26691068526	4083.41417714015	4035.61111525632	1955.83005707833	1874.95180368795	4003.31944792803	3730.893852288	1782.8686748277	2366.9680684091	2522.5201594034	2446.5108397	1475.1678643777	1434.3071697	1232.4992742	1542.924993	898.7063618	877.5376654	771.7212767	0
"Shoreline wave / tidal  5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143267227733022	0.00673658374510896	0.0172605629448271	0	0.0343980204379605	0.0678732756217747	0.0793440177313606	0	0.0419375012525314	0.0436532110729934	0.0462730031797041	0	0.00436069182262373	0.0145358773079178	0.00650463916062074	0
"Solar PV 5"	4396.66659862854	1781.79968813048	1142.27206139958	3991.34030967155	4213.71044580938	1880.50933168277	1353.84235835	3950.40613786739	4266.68134049956	1531.37203102255	1143.44617772188	3472.09355990243	4032.17066441036	1420.12352478499	1181.07384924297	3324.62268681895	3423.08182464677	1303.07630630085	711.156863106761	2409.77199182371	2782.95561105778	834.136568391578	488.283874023709	1395.61500326154	1326.60377350402	419.847969846852	273.351441132692	765.056665630736	621.441764858505	123.178921226693	161.543675768268	488.36129138155	386.80298387645	157.884569310453	51.9110008660577	95.5061916546683	59.9001993823627	14.3692533689837	0
"Hydro 5"	22.3351685093425	59.3158317843918	42.1467088042157	25.9741951184119	21.899840790236	38.7166316569455	34.790023714765	20.4207117277098	28.7756926055486	43.281547546533	35.3043064020903	27.7335433993936	24.1044300900088	37.9868291696478	25.1969641480855	17.1955721261806	17.7539751279483	31.914595908014	29.1905144724672	19.6819369902655	21.3811551626287	32.3267020350889	28.6568476268479	15.1026518939735	22.2927325514412	33.4696667424299	25.6245368870818	14.418344298425	17.0762982122246	24.7773308470862	27.130089365281	20.9255947123353	18.9318097070324	23.2869063335802	22.6439666093933	15.8448621640032	14.0327053490749	20.6918391316606	0
"Landfill gas 5"	704.274105974825	745.055909321973	760.514408736852	744.203775115225	748.0350135808	777.426011693093	818.75815528879	802.568482442356	820.009835538077	846.129251511274	893.136357772922	890.905356910963	886.330354609035	920.115362692527	971.741289453312	975.084293941815	988.281552333154	1025.80716766741	1029.73403742284	1008.52477750279	1017.92390721902	1050.19141713705	1063.90705288014	1042.65147873255	1068.40042794504	1070.18418086366	1104.88476898033	1070.02550258506	1087.45392908534	1088.32411705896	1097.640460099	1099.88843722035	1084.6546215445	1097.89725111457	1145.92972099985	1115.28510815141	1119.58805122658	1132.58581422233	0
"Sewage sludge digestion 5"	250.247802722215	246.95273191066	242.10872395957	235.618948764779	250.587255578509	242.3379290623	239.378016787766	208.756406042093	240.354160526457	223.6549252467	222.668294188508	210.860842010673	226.312118431688	226.271100686353	215.090638142123	208.971361085103	229.232603712983	218.653677349424	201.727139354264	197.534550490237	211.680722694355	204.541088715002	198.195456274744	189.522366209471	204.551707807414	175.558798394498	179.318397246054	164.287097418823	183.090366421327	162.991547884771	167.519547791656	155.564548386779	168.027981096407	171.538100708361	178.859006056377	171.201052774522	178.479008477743	172.127484181845	0
"Other biomass (inc. co-firing) 5 6"	7871.71804290011	8187.65764891871	8162.66766641005	6930.99833057409	7040.45197700817	6822.10334864176	7718.81466015028	6795.42337903143	6574.93032586543	5700.01462247416	5213.12247263143	5687.19820915741	5748.94800508612	6799.66864684649	5597.65994108939	4283.16433283353	5773.16407237812	6482.80834593248	6221.19556210588	5128.67090775365	5072.69199859587	5024.61325188139	4768.11304104964	4098.83273849033	3520.17433972592	2758.01520319911	2566.81465724628	2668.33925459905	3275.65256441958	2419.63875715229	2438.19760285754	1754.50635220262	1239.92437565725	2080.03682652448	1651.98751939297	1546.14495220991	1358.06668321797	1557.15250275467	0
"Total"	21454.3344053821	26200.6398700192	21160.3088596714	19437.6435399796	18404.0040290051	19102.9011076601	19915.2322037418	17284.55405719	17435.9854802166	17584.8935030587	16632.1369756844	15049.5440602814	15861.3063243747	15659.5606940469	13188.4974825001	13073.7225600474	14303.3276519902	15308.6296663574	15170.0870570738	12607.7854162627	13355.1938958261	13052.1632009863	12159.360578113	9413.30214842219	8735.16857981489	10090.2164839848	9355.15501763639	7066.50651771136	8437.27170599857	7208.76394952476	7179.53803739926	5512.76620596134	4853.77859575411	5361.24008334737	5410.47336803825	4256.08158740826	4079.17939478493	4123.45437133466	0
