"Country"	"Year"	"Total"	"Petrol - Industrial"	"Petrol - Domestic"	"Petrol - Rail"	"Petrol - Public Administration"	"Petrol - Commercial"	"Petrol - Agriculture"
"Wales"	2005	37383.9830003243	17353.8838780765	3348.08568050202	327.635529800579	95.6368508893662	83.6746331979964	1960.84728017406
"Wales"	2006	37153.0799394332	15798.8222017361	3499.51633379469	323.792742486995	60.2383673458561	65.5137275417322	1867.91554536234
"Wales"	2007	38544.9280144069	16576.8838953823	3105.1714976686	356.98158455377	59.2491453401099	60.9241041801267	1773.93390223873
"Wales"	2008	35166.2357233718	15712.6259903751	3310.13873990818	355.473548546812	43.2607973266392	57.0949145814901	1733.5253850395
"Wales"	2009	34414.7599546192	15575.8517161485	3284.61927128133	353.930737975267	22.5030469747025	43.1185703796562	1758.65420097799
"Wales"	2010	35888.3811060306	14680.6137870394	3750.86254610848	354.781743733493	14.4182119737786	49.3250740769716	1773.55576195773
"Wales"	2011	35392.8301389121	15219.2718397983	2940.01495073001	352.448572281794	37.9603561627104	47.5844054549935	1800.31389277854
"Wales"	2012	32127.9082423242	13143.8922797309	3029.93354788953	363.570927317357	16.4535123871456	39.9004058483038	1852.99171715773
"Wales"	2013	36056.2294064464	13341.1644306439	3179.64921687768	364.357803152592	6.52391455833595	43.3911078026402	1830.29192175436
"Wales"	2014	31560.2473453513	10983.9614255442	2878.9811179605	369.739449034186	10.280915429859	45.9906815259688	1848.5896593586
"Wales"	2015	31660.9641007038	10547.7108624701	2882.96110175329	367.623326060094	15.1219401975972	66.9869493827702	1925.48658528976
"Wales"	2016	30059.7355461497	10181.7501629658	2877.93570173942	362.32876682698	14.9179157912934	61.8685546902869	2033.33023034744
"Wales"	2017	29967.4356575369	10080.8545570758	2824.09728917933	357.451018510428	14.3694179726498	62.5424473448245	2053.86447695467
"Wales"	2018	30032.6037931724	9887.90639295183	2833.29341393516	322.389030825844	15.586000984225	68.2261138189857	2050.23146272648
