"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Luxembourg"	70	84	70	67	86	88	60	83	115	85	123.504	118.032	99.731	79.42	104.058	92.939	111.312	116.702	132.114	105.839	107.661	63	98.302	119.195	107.788	99.253	115.411	85.649	92.778
"Hungary"	178	194	158	166	161	163	207	216	155	181	178	186	194	171	204.68	202.153	185.746	209.993	212.951	228.285	188.384	222.03	212.939	213.125	301.477	233.711	259.315	220	222
"Malta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Netherlands"	85	104	120	92	100	88	80	92	112	90	142.43	117.279	110	72	95	88	106	107	102	98	105	57	104.388	114.312	112.2	92.699	100.079	60.757	72.348
"Austria"	31509	31443.4	34848.4	36705.556	35707.5	37067.222	34216.093	36105.278	37163.333	40698.683	41835.352	40455.406	40226.881	33214.992	36762.142	37095.138	35656.085	37054.453	38329.491	40896.304	38363.418	34237.171	43847.698	42016.72	41007.237	37156.866	39971.337	38293.75	37637.91
"Poland"	1439.6	1425	1507	1488	1733	1887	1931	1961	2309	2155	2106	2325	2279	1671	2081.739	2200.885	2042.085	2352.138	2152.16	2375.131	2919.942	2331.379	2036.754	2438.873	2182.45	1832.196	2139.446	2559.581	1969.997
"Portugal"	9144	9032	4609	8521	10653.999	8333	14753	13099.001	12977	7258	11323	14034	7800	15723	9869.001	4730.663	11002.179	10091.972	6799.047	8284.267	16147.897	11539.213	5622.715	13730.418	15568.913	8660.506	15723.323	5896.883	12393.349
"Romania"	11411	14588	11700	12768	13046	16693	15755	17509	18879	18290	14778	14923	16046	13259	16513.053	20206.853	18355.343	15965.963	17195.75	15533.516	19882.884	14727.658	12066.294	14956.214	18804.575	16632.077	18028.207	14494.457	17664.206
"Slovenia"	2950	3608	3423	3035	3399	3252	3673	3092	3449	3741	3834.721	3795.738	3312.564	2957.285	4094.128	3460.965	3590.917	3265.976	4017.863	4714.589	4517.955	3561.916	3898.866	4629.432	6091.554	3807.104	4503.277	3868.344	4704.32
"Slovakia"	1880	1408	1937	3467	4355	4880	4227	4064	4267	4474	4615	4927	5268	3480	4100	4638	4399	4451	4039.332	4367.561	5255	3778.187	4103	4848	4209	3866	4359	4324	3590
"Finland"	10859	13197	15107	13476	11787	12925	11860	12242	15051	12780	14660	13205	10776	9591	15069.615	13784	11493.691	14177.206	17112.132	12686.03	12921.994	12445.039	16859.128	12838.601	13397.044	16768.698	15799.127	14771.469	13301.104
"Sweden"	72503	63236	74332	74651	59100	68102	51740	69056	75000	71691	78584	79060	66360	53539.998	60123.331	72803	61722.206	66158.923	69069.322	65851.684	66397.788	66434	78932	61360.863	63762.967	75312.482	62017.56	65143	62210
"United Kingdom"	5207	4624	5431	4302	5094	4838	3393	4169	5118	5336	5086	4055.709	4787.575	3227.549	4843.549	4921.291	4592.754	5077.304	5141.127	5227.916	3591.33	5691.309	5309.565	4701.361	5887.738	6297.269	5393.91	5901.561	5489.785
