"RenewableArea"	"ProjectName"	"SiteName"	"Country"	"Capacity"	"change in capacity Q1"	"change in capacity Q2"	"change in capacity Q3"	"change in capacity Q4"	"RESTATS Ref"	"ROC Ref"	"Survey"	"Capacity Q1"	"Capacity Q2"	"Capacity Q3"	"Capacity Q4"	"Operational Month (0=previous years)"	"CAPACITY END of last year"
"Photovoltaics"	"Greencoat Solar I LLP"	"West Strathore Solar Limited"	"Scotland"	4.9773	0	0	0	0	0	0	0	0	0	0	0	0	0
"Photovoltaics"	"Lightsource Renewable Energy Ltd"	"Pressock Solar Farm"	"Scotland"	4.249	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Glendevon"	"Glendevon"	"Scotland"	1.389	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Garbhaig Hydro"	"Garbhaig Hydro"	"Scotland"	2.972	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Forrest Estate"	"Forrest Estate"	"Scotland"	3.611	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Loch Turret"	"Loch Turret"	"Scotland"	1.826	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish Power (Galloway)"	"Drumjohn"	"Scotland"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Allt-na-Lairige"	"Scotland"	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Loch Gair"	"Scotland"	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Gaur (excl 0.4MWe Comp Set)"	"Scotland"	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish Power (Lanark)"	"Stonebyres"	"Scotland"	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Striven"	"Scotland"	8	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish Power (Lanark)"	"Bonnington"	"Scotland"	11	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Cassley"	"Scotland"	10	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Cashlie"	"Scotland"	11	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish Power (Galloway)"	"Carsfad"	"Scotland"	12	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish Power (Galloway)"	"Earlstoun"	"Scotland"	14	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Torr Achilty"	"Scotland"	15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Livishie"	"Scotland"	15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Pitlochry"	"Scotland"	15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Nant"	"Scotland"	15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Orrin"	"Scotland"	18	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Aigas"	"Scotland"	20	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Kilmorack"	"Scotland"	20	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Ceannacroc Power Station - A, E"	"Scotland"	16.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Invergarry"	"Scotland"	19.975	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish Power (Galloway)"	"Kendoon"	"Scotland"	24	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"St Fillans"	"Scotland"	16.83	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Gisla (Lewis)"	"Scotland"	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Morar"	"Scotland"	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"ELIOCK HOUSE PRIVATE HYDRO"	"ELIOCK HOUSE PRIVATE HYDRO"	"Scotland"	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Rio Tinto Alcan"	"Kinlochleven"	"Scotland"	19.5	0	0	0	0	0	0	0	0	0	0	0	0	0
