"LA"	"TechType"	"Status"	"Lookup"	"Capacity"	"TurbineAmount"	"Sites"
"Perth and Kinross"	"Battery"	"Awaiting Construction"	"Perth and KinrossBatteryAwaiting Construction"	19.9	0	1
"Perth and Kinross"	"Landfill Gas"	"Operational"	"Perth and KinrossLandfill GasOperational"	1.92	0	1
"Perth and Kinross"	"Large Hydro"	"Operational"	"Perth and KinrossLarge HydroOperational"	32.4	0	3
"Perth and Kinross"	"Small Hydro"	"Abandoned"	"Perth and KinrossSmall HydroAbandoned"	1.2	0	1
"Perth and Kinross"	"Small Hydro"	"Application Submitted"	"Perth and KinrossSmall HydroApplication Submitted"	1.6	0	1
"Perth and Kinross"	"Small Hydro"	"Application Withdrawn"	"Perth and KinrossSmall HydroApplication Withdrawn"	6.5	0	3
"Perth and Kinross"	"Small Hydro"	"Operational"	"Perth and KinrossSmall HydroOperational"	25.7	0	12
"Perth and Kinross"	"Small Hydro"	"Planning Permission Expired"	"Perth and KinrossSmall HydroPlanning Permission Expired"	2	0	1
"Perth and Kinross"	"Solar Photovoltaics"	"Awaiting Construction"	"Perth and KinrossSolar PhotovoltaicsAwaiting Construction"	37	0	3
"Perth and Kinross"	"Solar Photovoltaics"	"Operational"	"Perth and KinrossSolar PhotovoltaicsOperational"	13	0	1
"Perth and Kinross"	"Solar Photovoltaics"	"Planning Permission Expired"	"Perth and KinrossSolar PhotovoltaicsPlanning Permission Expired"	5	0	1
"Perth and Kinross"	"Wind Onshore"	"Application Refused"	"Perth and KinrossWind OnshoreApplication Refused"	475.8174	191	19
"Perth and Kinross"	"Wind Onshore"	"Application Submitted"	"Perth and KinrossWind OnshoreApplication Submitted"	10.85	5	2
"Perth and Kinross"	"Wind Onshore"	"Application Withdrawn"	"Perth and KinrossWind OnshoreApplication Withdrawn"	357.088	117	10
"Perth and Kinross"	"Wind Onshore"	"Awaiting Construction"	"Perth and KinrossWind OnshoreAwaiting Construction"	54	18	2
"Perth and Kinross"	"Wind Onshore"	"Operational"	"Perth and KinrossWind OnshoreOperational"	289.2	125	8
"Perth and Kinross"	"Wind Onshore"	"Planning Permission Expired"	"Perth and KinrossWind OnshorePlanning Permission Expired"	10	4	1
"Renfrewshire"	"Battery"	"Application Submitted"	"RenfrewshireBatteryApplication Submitted"	0	0	1
"Renfrewshire"	"Battery"	"Awaiting Construction"	"RenfrewshireBatteryAwaiting Construction"	19	0	2
"Renfrewshire"	"Solar Photovoltaics"	"Application Refused"	"RenfrewshireSolar PhotovoltaicsApplication Refused"	9.8	0	2
"Scottish Borders"	"Advanced Conversion Technologies"	"Abandoned"	"Scottish BordersAdvanced Conversion TechnologiesAbandoned"	2.9	0	1
"Scottish Borders"	"Advanced Conversion Technologies"	"Under Construction"	"Scottish BordersAdvanced Conversion TechnologiesUnder Construction"	10	0	1
"Scottish Borders"	"Wind Onshore"	"Abandoned"	"Scottish BordersWind OnshoreAbandoned"	55.2	22	1
"Scottish Borders"	"Wind Onshore"	"Application Refused"	"Scottish BordersWind OnshoreApplication Refused"	463.194	154	20
"Scottish Borders"	"Wind Onshore"	"Application Submitted"	"Scottish BordersWind OnshoreApplication Submitted"	149	38	3
"Scottish Borders"	"Wind Onshore"	"Application Withdrawn"	"Scottish BordersWind OnshoreApplication Withdrawn"	359.25	141	13
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	"Scottish BordersWind OnshoreAwaiting Construction"	277.9	94	7
"Scottish Borders"	"Wind Onshore"	"Operational"	"Scottish BordersWind OnshoreOperational"	679.45	343	20
"Shetland Islands"	"Battery"	"Operational"	"Shetland IslandsBatteryOperational"	1.016	0	2
"Shetland Islands"	"Wind Onshore"	"Abandoned"	"Shetland IslandsWind OnshoreAbandoned"	250	0	1
"Shetland Islands"	"Wind Onshore"	"Application Submitted"	"Shetland IslandsWind OnshoreApplication Submitted"	503.8	115	2
"Shetland Islands"	"Wind Onshore"	"Application Withdrawn"	"Shetland IslandsWind OnshoreApplication Withdrawn"	249	83	1
"Shetland Islands"	"Wind Onshore"	"Awaiting Construction"	"Shetland IslandsWind OnshoreAwaiting Construction"	430.5	123	3
"Shetland Islands"	"Wind Onshore"	"Operational"	"Shetland IslandsWind OnshoreOperational"	11.18	11	3
"Shetland Islands"	"Wind Onshore"	"Planning Permission Expired"	"Shetland IslandsWind OnshorePlanning Permission Expired"	2.7	3	1
"South Ayrshire"	"Biomass (dedicated)"	"Application Withdrawn"	"South AyrshireBiomass (dedicated)Application Withdrawn"	2.5	0	1
"South Ayrshire"	"Biomass (dedicated)"	"Operational"	"South AyrshireBiomass (dedicated)Operational"	2.55	0	1
"South Ayrshire"	"Wind Onshore"	"Application Refused"	"South AyrshireWind OnshoreApplication Refused"	189.85	85	8
"South Ayrshire"	"Wind Onshore"	"Application Submitted"	"South AyrshireWind OnshoreApplication Submitted"	15	7	1
"South Ayrshire"	"Wind Onshore"	"Application Withdrawn"	"South AyrshireWind OnshoreApplication Withdrawn"	107.5	37	2
"South Ayrshire"	"Wind Onshore"	"Awaiting Construction"	"South AyrshireWind OnshoreAwaiting Construction"	100	29	2
"South Ayrshire"	"Wind Onshore"	"Operational"	"South AyrshireWind OnshoreOperational"	412	181	6
"South Ayrshire"	"Wind Onshore"	"Under Construction"	"South AyrshireWind OnshoreUnder Construction"	20	8	1
"South Lanarkshire"	"Advanced Conversion Technologies"	"Application Refused"	"South LanarkshireAdvanced Conversion TechnologiesApplication Refused"	18	0	1
"South Lanarkshire"	"Advanced Conversion Technologies"	"Planning Permission Expired"	"South LanarkshireAdvanced Conversion TechnologiesPlanning Permission Expired"	7	0	1
"South Lanarkshire"	"Anaerobic Digestion"	"Application Withdrawn"	"South LanarkshireAnaerobic DigestionApplication Withdrawn"	2	0	2
"South Lanarkshire"	"Anaerobic Digestion"	"Planning Permission Expired"	"South LanarkshireAnaerobic DigestionPlanning Permission Expired"	5	0	1
"South Lanarkshire"	"Battery"	"Application Withdrawn"	"South LanarkshireBatteryApplication Withdrawn"	19.9	0	1
"South Lanarkshire"	"Battery"	"Awaiting Construction"	"South LanarkshireBatteryAwaiting Construction"	4	0	1
"South Lanarkshire"	"Fuel Cell (Hydrogen)"	"Application Refused"	"South LanarkshireFuel Cell (Hydrogen)Application Refused"	2	0	1
"South Lanarkshire"	"Landfill Gas"	"Operational"	"South LanarkshireLandfill GasOperational"	7.39	0	1
"South Lanarkshire"	"Solar Photovoltaics"	"Application Refused"	"South LanarkshireSolar PhotovoltaicsApplication Refused"	5	0	1
"South Lanarkshire"	"Wind Onshore"	"Application Refused"	"South LanarkshireWind OnshoreApplication Refused"	217.8	82	11
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	"South LanarkshireWind OnshoreApplication Submitted"	152.4	43	5
"South Lanarkshire"	"Wind Onshore"	"Application Withdrawn"	"South LanarkshireWind OnshoreApplication Withdrawn"	304.2	137	9
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	"South LanarkshireWind OnshoreAwaiting Construction"	371.7	118.058823529412	13
"South Lanarkshire"	"Wind Onshore"	"Operational"	"South LanarkshireWind OnshoreOperational"	999.53	450	25
"South Lanarkshire"	"Wind Onshore"	"Under Construction"	"South LanarkshireWind OnshoreUnder Construction"	141	43	3
"Stirling"	"Battery"	"Awaiting Construction"	"StirlingBatteryAwaiting Construction"	19	0	1
"Stirling"	"Biomass (dedicated)"	"Operational"	"StirlingBiomass (dedicated)Operational"	15	0	1
"Stirling"	"Biomass (dedicated)"	"Under Construction"	"StirlingBiomass (dedicated)Under Construction"	5.6	0	1
"Stirling"	"Small Hydro"	"Awaiting Construction"	"StirlingSmall HydroAwaiting Construction"	2	0	1
"Stirling"	"Small Hydro"	"Operational"	"StirlingSmall HydroOperational"	7.85	0	5
"Stirling"	"Solar Photovoltaics"	"Application Withdrawn"	"StirlingSolar PhotovoltaicsApplication Withdrawn"	5	0	1
"Stirling"	"Solar Photovoltaics"	"Awaiting Construction"	"StirlingSolar PhotovoltaicsAwaiting Construction"	5	0	1
"Stirling"	"Wind Onshore"	"Application Refused"	"StirlingWind OnshoreApplication Refused"	113	41	4
"Stirling"	"Wind Onshore"	"Awaiting Construction"	"StirlingWind OnshoreAwaiting Construction"	21	7	1
"Stirling"	"Wind Onshore"	"Operational"	"StirlingWind OnshoreOperational"	155.9	71	6
"West Dunbartonshire"	"Anaerobic Digestion"	"Awaiting Construction"	"West DunbartonshireAnaerobic DigestionAwaiting Construction"	1.6	0	1
"West Dunbartonshire"	"Anaerobic Digestion"	"Planning Permission Expired"	"West DunbartonshireAnaerobic DigestionPlanning Permission Expired"	1.6	0	1
"West Dunbartonshire"	"Landfill Gas"	"Operational"	"West DunbartonshireLandfill GasOperational"	4.113	0	2
"West Dunbartonshire"	"Wind Onshore"	"Application Refused"	"West DunbartonshireWind OnshoreApplication Refused"	25	10	1
"West Dunbartonshire"	"Wind Onshore"	"Application Withdrawn"	"West DunbartonshireWind OnshoreApplication Withdrawn"	60	0	1
"West Lothian"	"Advanced Conversion Technologies"	"Awaiting Construction"	"West LothianAdvanced Conversion TechnologiesAwaiting Construction"	22	0	2
"West Lothian"	"Advanced Conversion Technologies"	"Operational"	"West LothianAdvanced Conversion TechnologiesOperational"	12.5	0	1
"West Lothian"	"Battery"	"Application Submitted"	"West LothianBatteryApplication Submitted"	1	0	1
"West Lothian"	"Battery"	"Awaiting Construction"	"West LothianBatteryAwaiting Construction"	20	0	1
"West Lothian"	"Biomass (dedicated)"	"Abandoned"	"West LothianBiomass (dedicated)Abandoned"	6.5	0	1
"West Lothian"	"Small Hydro"	"Application Withdrawn"	"West LothianSmall HydroApplication Withdrawn"	2	0	1
"West Lothian"	"Solar Photovoltaics"	"Operational"	"West LothianSolar PhotovoltaicsOperational"	1.28	0	1
"West Lothian"	"Wind Onshore"	"Application Refused"	"West LothianWind OnshoreApplication Refused"	118.5	37	3
"West Lothian"	"Wind Onshore"	"Application Submitted"	"West LothianWind OnshoreApplication Submitted"	10	4	1
"West Lothian"	"Wind Onshore"	"Application Withdrawn"	"West LothianWind OnshoreApplication Withdrawn"	6	2	1
"West Lothian"	"Wind Onshore"	"Awaiting Construction"	"West LothianWind OnshoreAwaiting Construction"	21.9	7	2
"West Lothian"	"Wind Onshore"	"Operational"	"West LothianWind OnshoreOperational"	124.15	53	5
