"Generation - Technology"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"
"Wind"	5107.82423611701	4541.76361709336	4850.7090752176	3429.572414806	3560.73965570651	2290.78651909665	1669.00728103177	1446.51969159702	1458.08778376378	985.955272827444	904.620561513619	989.1050426	0	0	0	0	0
"Shoreline wave / tidal"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Solar PV"	1051.11987128426	1038.8342036929	914.398541120441	805.732256260778	531.448501479086	234.914428083378	118.694267060184	86.9307926834852	12.1444831556435	0.959781702109084	0.00613648292496	0.00704576	0	0	0	0	0
"Hydro"	408.427896758428	291.703673285248	370.938568982633	338.964956335986	351.637628676299	277.485824198958	228.508770995996	347.859672013148	269.775036388093	212.617826126234	266.154197600702	334.2410336	0	0	0	0	0
"Landfill gas"	112.585190405949	126.317183755668	141.612653293994	155.469309077849	179.205503663143	193.4385669002	200.383539030529	214.970898399167	220.0114078	223.218086242	234.191337	221.385343	0	0	0	0	0
"Sewage sludge digestion"	48.6511168646238	44.1714024970646	44.649117096094	45.7764653044486	52.067060855654	43.95610646	44.9853998033105	38.2806731571294	38.0777274562	13.03562	7.31869	4.76738	0	0	0	0	0
"Other biomass (inc. co-firing) 4"	971.28885987811	966.802050493757	751.782490821712	527.581829381844	523.465763016533	339.229852026019	377.617327885744	355.66168759569	371.424061589727	295.51406384	349.1631776	161.916	0	0	0	0	0
"Total"	7699.89717130838	7009.592130818	7074.09044653247	5303.09723116691	5198.56411339723	3379.8112967652	2639.19658580754	2490.22341544564	2369.52050015344	1731.30065073779	1761.45410019725	1711.42184496	0	0	0	0	0
