"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Aberdeen City"	"Landfill Gas"	"Operational"	1	2.2
"North Lanarkshire"	"Landfill Gas"	"Operational"	1	1.96
"North Lanarkshire"	"Landfill Gas"	"Operational"	1	1.96
"North Lanarkshire"	"Landfill Gas"	"Operational"	1	1.89
"North Lanarkshire"	"Landfill Gas"	"Operational"	1	1.89
"Fife"	"Landfill Gas"	"Operational"	1	1
"Perth and Kinross"	"Landfill Gas"	"Operational"	1	1.92
"North Lanarkshire"	"Landfill Gas"	"Operational"	1	2.272
"South Lanarkshire"	"Landfill Gas"	"Operational"	1	7.39
"Glasgow City"	"Landfill Gas"	"Operational"	1	2.78
"East Ayrshire"	"Landfill Gas"	"Operational"	1	2.41
"Midlothian"	"Landfill Gas"	"Operational"	1	2.18
"North Lanarkshire"	"Landfill Gas"	"Operational"	1	2.2
"Angus"	"Landfill Gas"	"Operational"	1	2
"West Dunbartonshire"	"Landfill Gas"	"Operational"	1	2
"Aberdeenshire"	"Landfill Gas"	"Operational"	1	4.272
"East Lothian"	"Landfill Gas"	"Operational"	1	14
"East Lothian"	"Landfill Gas"	"Operational"	1	2.2
"Midlothian"	"Landfill Gas"	"Operational"	1	2
"Dundee City"	"EfW Incineration"	"Operational"	1	8.3
"Glasgow City"	"Advanced Conversion Technologies"	"Operational"	1	10
"East Lothian"	"EfW Incineration"	"Operational"	1	25.6
"Aberdeenshire"	"Solar Photovoltaics"	"Operational"	1	2.4
"Aberdeenshire"	"Solar Photovoltaics"	"Operational"	1	1.8
"Perth and Kinross"	"Solar Photovoltaics"	"Operational"	1	13
"Orkney Islands"	"Tidal Barrage and Tidal Stream"	"Operational"	1	2
"Orkney Islands"	"Tidal Barrage and Tidal Stream"	"Operational"	1	6
"Orkney Islands"	"Shoreline Wave"	"Operational"	1	1
"Offshore"	"Wind Offshore"	"Operational"	1	30
"Offshore"	"Wind Offshore"	"Operational"	1	10
"Offshore"	"Wind Offshore"	"Operational"	1	90
"Offshore"	"Wind Offshore"	"Operational"	1	84
"Offshore"	"Wind Offshore"	"Operational"	1	93.2
"Offshore"	"Wind Offshore"	"Operational"	1	588
"Offshore"	"Wind Offshore"	"Operational"	1	7
"Scottish Borders"	"Wind Onshore"	"Operational"	1	2.4
"Highland"	"Wind Onshore"	"Operational"	1	20
"Fife"	"Wind Onshore"	"Operational"	1	1.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.3
"Orkney Islands"	"Wind Onshore"	"Operational"	1	4.25
"Fife"	"Wind Onshore"	"Operational"	1	1.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.3
"East Ayrshire"	"Wind Onshore"	"Operational"	1	13.2
"Highland"	"Wind Onshore"	"Operational"	1	15
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.55
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	6
"Orkney Islands"	"Wind Onshore"	"Operational"	1	2
"East Ayrshire"	"Wind Onshore"	"Operational"	1	109
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	1.7
"Fife"	"Wind Onshore"	"Operational"	1	4.6
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.3
"Highland"	"Wind Onshore"	"Operational"	1	7.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.3
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	5.2
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	7.65
"Clackmannanshire"	"Wind Onshore"	"Operational"	1	26
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	5
"Stirling"	"Wind Onshore"	"Operational"	1	20
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	1.6
"Highland"	"Wind Onshore"	"Operational"	1	4.6
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.4
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	3.2
"East Renfrewshire"	"Wind Onshore"	"Operational"	1	1.8
"East Renfrewshire"	"Wind Onshore"	"Operational"	1	4.651
"Highland"	"Wind Onshore"	"Operational"	1	48.3
"South Ayrshire"	"Wind Onshore"	"Operational"	1	120
"Scottish Borders"	"Wind Onshore"	"Operational"	1	62.5
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	124
"North Ayrshire"	"Wind Onshore"	"Operational"	1	24
"Stirling"	"Wind Onshore"	"Operational"	1	72
"Orkney Islands"	"Wind Onshore"	"Operational"	1	1.5
"Highland"	"Wind Onshore"	"Operational"	1	13
"Highland"	"Wind Onshore"	"Operational"	1	23
