"Generation - Technology"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"
"Wind"	22325.9174553354	19383.1276096543	17201.1379285892	12415.6993980069	13878.0007235561	11700.0120209757	11151.1867765234	8291.68252663507	7256.16458298957	4872.62688765582	4555.12457153088	3361.51967708667	0	0	0	0	0
"Shoreline wave / tidal"	13.9906	9.2984	4.1936	0.0086	1.99413333333329	2.14646666666623	1.38756666666661	0.736178385352992	0.4509465	0.0446652	0.063659	0.036211	0	0	0	0	0
"Solar PV"	346.916971814393	317.913262481938	289.575177486672	246.511212100546	185.229981849187	143.16095963442	95.9196796083018	69.9466258960852	8.6994185855844	0.777569784034659	0.00613648292496	0.01219392	0	0	0	0	0
"Hydro"	5362.16575472805	4994.66936098726	5356.18873674128	4915.79656397019	5814.02449492634	5483.60920371295	4369.47542411985	4846.57745826204	5329.63850414556	3258.10765248891	4858.90322296532	4704.47385988	0	0	0	0	0
"Landfill gas"	412.236028186431	422.055206423939	445.479623594737	492.813303436612	503.439266529824	533.027224422	562.902279636071	552.84627130506	525.379909080472	529.11154665	526.378016129504	494.00565	0	0	0	0	0
"Sewage sludge digestion"	28.6420773698618	35.0906808776078	35.9617722063084	31.9863758564125	26.1840336069163	27.67082456	30.6461440286185	37.0680594664894	35.6252435754293	31.94725028	25.786000912	20.34627	0	0	0	0	0
"Other biomass (inc. co-firing) 4"	2031.46175454394	1702.50484287454	1968.84585919915	1372.77604327337	1333.96159044757	1155.42617369329	778.125106890205	868.346966071968	712.839228400198	726.513544476189	616.143653624535	478.07771919316	0	0	0	0	0
"Total"	30521.3306419781	26864.6593632996	25301.3826978173	19475.591496644	21742.8342242493	19045.052873665	16989.6429774732	14667.2040860221	13868.7978332768	9419.12911653496	10582.4052606452	9058.47158107983	0	0	0	0	0
