Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"04/12/2019 00:00:00","04/12/2019","System Entry Energy, STFergus-Shell, D+1","193774778.0000","05/12/2019 17:02:13","A"
"04/12/2019 00:00:00","04/12/2019","System Entry Energy, STFergus-Mobil, D+1","187164672.0000","05/12/2019 12:02:14","L"
"04/12/2019 00:00:00","04/12/2019","System Entry Energy, STFergus-NSMP, D+1","312786927.0000","05/12/2019 12:02:14","L"
"03/12/2019 00:00:00","03/12/2019","NTS System Input Physical, Actual (Energy), D+1","3699235053.0000","04/12/2019 14:02:13","A"
"03/12/2019 00:00:00","03/12/2019","System Entry Energy, STFergus-NSMP, D+1","431679896.0000","04/12/2019 14:02:13","A"
"03/12/2019 00:00:00","03/12/2019","System Entry Energy, STFergus-Mobil, D+1","205334048.0000","04/12/2019 12:02:15","L"
"03/12/2019 00:00:00","03/12/2019","System Entry Energy, STFergus-Shell, D+1","180881944.0000","04/12/2019 12:02:15","L"
"02/12/2019 00:00:00","02/12/2019","NTS System Input Physical, Actual (Energy), D+1","3849202188.0000","03/12/2019 17:02:13","A"
"02/12/2019 00:00:00","02/12/2019","System Entry Energy, STFergus-NSMP, D+1","460202448.0000","03/12/2019 17:02:13","A"
"02/12/2019 00:00:00","02/12/2019","System Entry Energy, STFergus-Mobil, D+1","205950448.0000","03/12/2019 12:02:15","L"
"02/12/2019 00:00:00","02/12/2019","System Entry Energy, STFergus-Shell, D+1","175447587.0000","03/12/2019 12:02:15","L"
"01/12/2019 00:00:00","01/12/2019","NTS System Input Physical, Actual (Energy), D+1","3481297739.0000","02/12/2019 12:02:16","L"
"01/12/2019 00:00:00","01/12/2019","System Entry Energy, STFergus-Mobil, D+1","198089600.0000","02/12/2019 12:02:16","L"
"01/12/2019 00:00:00","01/12/2019","System Entry Energy, STFergus-NSMP, D+1","422920000.0000","02/12/2019 12:02:16","L"
"01/12/2019 00:00:00","01/12/2019","System Entry Energy, STFergus-Shell, D+1","168341806.0000","02/12/2019 12:02:16","L"
"30/11/2019 00:00:00","30/11/2019","NTS System Input Physical, Actual (Energy), D+1","3386673818.0000","01/12/2019 12:02:14","L"
"30/11/2019 00:00:00","30/11/2019","System Entry Energy, STFergus-Mobil, D+1","205975536.0000","01/12/2019 12:02:14","L"
"30/11/2019 00:00:00","30/11/2019","System Entry Energy, STFergus-NSMP, D+1","410680000.0000","01/12/2019 12:02:14","L"
"30/11/2019 00:00:00","30/11/2019","System Entry Energy, STFergus-Shell, D+1","110496282.0000","01/12/2019 12:02:14","L"
"29/11/2019 00:00:00","29/11/2019","NTS System Input Physical, Actual (Energy), D+1","3282721557.0000","30/11/2019 12:02:15","L"
"29/11/2019 00:00:00","29/11/2019","System Entry Energy, STFergus-Mobil, D+1","212231824.0000","30/11/2019 12:02:15","L"
"29/11/2019 00:00:00","29/11/2019","System Entry Energy, STFergus-NSMP, D+1","483530000.0000","30/11/2019 12:02:15","L"
"29/11/2019 00:00:00","29/11/2019","System Entry Energy, STFergus-Shell, D+1","83401137.0000","30/11/2019 12:02:15","L"
"28/11/2019 00:00:00","28/11/2019","NTS System Input Physical, Actual (Energy), D+1","3087909349.0000","29/11/2019 14:02:14","A"
"28/11/2019 00:00:00","28/11/2019","System Entry Energy, STFergus-NSMP, D+1","484902170.0000","29/11/2019 14:02:14","A"
"28/11/2019 00:00:00","28/11/2019","System Entry Energy, STFergus-Shell, D+1","83401137.0000","29/11/2019 14:02:14","A"
"28/11/2019 00:00:00","28/11/2019","System Entry Energy, STFergus-Mobil, D+1","206128016.0000","29/11/2019 12:02:14","L"
"27/11/2019 00:00:00","27/11/2019","NTS System Input Physical, Actual (Energy), D+1","2897426930.0000","28/11/2019 17:02:12","A"
"27/11/2019 00:00:00","27/11/2019","System Entry Energy, STFergus-NSMP, D+1","429880295.0000","28/11/2019 17:02:12","A"
"27/11/2019 00:00:00","27/11/2019","System Entry Energy, STFergus-Mobil, D+1","201145840.0000","28/11/2019 12:02:14","L"
"27/11/2019 00:00:00","27/11/2019","System Entry Energy, STFergus-Shell, D+1","83372135.0000","28/11/2019 12:02:14","L"
"26/11/2019 00:00:00","26/11/2019","NTS System Input Physical, Actual (Energy), D+1","3019988791.0000","27/11/2019 12:02:14","L"
"26/11/2019 00:00:00","26/11/2019","System Entry Energy, STFergus-Mobil, D+1","220672032.0000","27/11/2019 12:02:14","L"
"26/11/2019 00:00:00","26/11/2019","System Entry Energy, STFergus-NSMP, D+1","500480000.0000","27/11/2019 12:02:14","L"
"26/11/2019 00:00:00","26/11/2019","System Entry Energy, STFergus-Shell, D+1","86677335.0000","27/11/2019 12:02:14","L"
"25/11/2019 00:00:00","25/11/2019","NTS System Input Physical, Actual (Energy), D+1","3099117902.0000","26/11/2019 14:02:14","A"
"25/11/2019 00:00:00","25/11/2019","System Entry Energy, STFergus-NSMP, D+1","436556424.0000","26/11/2019 14:02:14","A"
"25/11/2019 00:00:00","25/11/2019","System Entry Energy, STFergus-Mobil, D+1","226412352.0000","26/11/2019 12:02:14","L"
"25/11/2019 00:00:00","25/11/2019","System Entry Energy, STFergus-Shell, D+1","86677335.0000","26/11/2019 12:02:14","L"
"24/11/2019 00:00:00","24/11/2019","NTS System Input Physical, Actual (Energy), D+1","2750273982.0000","25/11/2019 17:02:14","A"
"24/11/2019 00:00:00","24/11/2019","System Entry Energy, STFergus-NSMP, D+1","474749184.0000","25/11/2019 17:02:14","A"
"24/11/2019 00:00:00","24/11/2019","System Entry Energy, STFergus-Mobil, D+1","218429264.0000","25/11/2019 12:02:15","L"
"24/11/2019 00:00:00","24/11/2019","System Entry Energy, STFergus-Shell, D+1","93085026.0000","25/11/2019 12:02:15","L"
"23/11/2019 00:00:00","23/11/2019","NTS System Input Physical, Actual (Energy), D+1","2232403071.0000","24/11/2019 12:02:14","L"
"23/11/2019 00:00:00","23/11/2019","System Entry Energy, STFergus-Mobil, D+1","213106592.0000","24/11/2019 12:02:14","L"
"23/11/2019 00:00:00","23/11/2019","System Entry Energy, STFergus-NSMP, D+1","523110000.0000","24/11/2019 12:02:14","L"
"23/11/2019 00:00:00","23/11/2019","System Entry Energy, STFergus-Shell, D+1","111059948.0000","24/11/2019 12:02:14","L"
"22/11/2019 00:00:00","22/11/2019","NTS System Input Physical, Actual (Energy), D+1","3167008114.0000","23/11/2019 12:02:14","L"
"22/11/2019 00:00:00","22/11/2019","System Entry Energy, STFergus-Mobil, D+1","207758784.0000","23/11/2019 12:02:14","L"
"22/11/2019 00:00:00","22/11/2019","System Entry Energy, STFergus-NSMP, D+1","291510000.0000","23/11/2019 12:02:14","L"
"22/11/2019 00:00:00","22/11/2019","System Entry Energy, STFergus-Shell, D+1","111059948.0000","23/11/2019 12:02:14","L"
"21/11/2019 00:00:00","21/11/2019","NTS System Input Physical, Actual (Energy), D+1","3541262293.0000","22/11/2019 14:02:15","A"
"21/11/2019 00:00:00","21/11/2019","System Entry Energy, STFergus-NSMP, D+1","255047860.0000","22/11/2019 14:02:15","A"
"21/11/2019 00:00:00","21/11/2019","System Entry Energy, STFergus-Mobil, D+1","176696288.0000","22/11/2019 12:02:14","L"
"21/11/2019 00:00:00","21/11/2019","System Entry Energy, STFergus-Shell, D+1","111059948.0000","22/11/2019 12:02:14","L"
"20/11/2019 00:00:00","20/11/2019","NTS System Input Physical, Actual (Energy), D+1","3513989393.0000","21/11/2019 17:02:13","A"
"20/11/2019 00:00:00","20/11/2019","System Entry Energy, STFergus-NSMP, D+1","286120365.0000","21/11/2019 17:02:13","A"
"20/11/2019 00:00:00","20/11/2019","System Entry Energy, STFergus-Mobil, D+1","173922928.0000","21/11/2019 12:02:14","L"
"20/11/2019 00:00:00","20/11/2019","System Entry Energy, STFergus-Shell, D+1","110713108.0000","21/11/2019 12:02:14","L"
"19/11/2019 00:00:00","19/11/2019","NTS System Input Physical, Actual (Energy), D+1","3918669003.0000","20/11/2019 14:02:16","A"
"19/11/2019 00:00:00","19/11/2019","System Entry Energy, STFergus-NSMP, D+1","391658125.0000","20/11/2019 14:02:16","A"
