"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2022"	"S12000018"	"Inverclyde"	64.178329	0	0	2.298456	0	0	66.476786
"2022"	"S12000019"	"Midlothian"	100.601591	0	0	6.92573	0	5.518258	113.045579
"2022"	"S12000020"	"Moray"	1087.524058	0	0.431283	8.941218	0	25.639013	1122.535571
"2022"	"S12000013"	"Na h-Eileanan Siar"	142.642167	0	7.647298	1.07072	0	0	151.360186
"2022"	"S12000021"	"North Ayrshire"	345.018332	0	14.178261	12.844806	0	0	372.041399
"2022"	"S12000050"	"North Lanarkshire"	60.668081	0	0	12.267024	0	75.309272	148.244376
"2022"	"S12000023"	"Orkney Islands"	166.996432	0	0	1.220387	2.368	0	170.584819
"2022"	"S12000048"	"Perth and Kinross"	583.058559	0	819.867484	27.561759	0	21.210108	1451.69791
"2022"	"S12000038"	"Renfrewshire"	0.033876	0	0	7.885682	0	0	7.919559
"2022"	"S12000026"	"Scottish Borders"	1657.348993	0	2.080474	15.906389	0	12.696257	1688.032112
"2022"	"S12000027"	"Shetland Islands"	42.863169	0	0	0.5201	0	0	43.383268
"2022"	"S12000028"	"South Ayrshire"	1589.49163	0	2.87258	5.198747	0	58.286432	1655.849389
"2022"	"S12000029"	"South Lanarkshire"	3179.275538	0	82.347424	15.960533	0	31.950935	3309.534429
"2022"	"S12000030"	"Stirling"	420.725278	0	323.332836	15.728984	0	29.256951	789.044048
"2022"	"S12000039"	"West Dunbartonshire"	0	0	0	3.520376	0	0	3.520376
"2022"	"S12000040"	"West Lothian"	251.822817	0	0	10.936279	0	0	262.759097
"2014"	" "	"Unallocated"	33.0877820000005	0.956833000000074	26.8736230000004	6.81387699999999	-0.00646699999999978	83.5523989999997	151.298045999996
"2015"	" "	"Unallocated"	8.55379399999947	-1.21775500000001	6.69545699999981	7.24068700000004	-0.00413399999999986	134.543432	155.821478000002
"2016"	" "	"Unallocated"	11.0440170000002	1.88900000000001	2.81122899999991	2.771962	0.0014	60.7014949999998	79.2091050000017
"2017"	" "	"Unallocated"	-1.8494529999989	35.7602619999999	-1.70366699999977	10.413315	-0.0035999999999996	410.704953	453.301813999999
"2018"	" "	"Unallocated"	14.6145350000006	355.926001	0.133484999999382	11.321984	0.00159999999999982	125.071371	507.068972999998
"2019"	" "	"Unallocated"	-65.2743719999999	3161.28	24.5962799999998	-12.372657	13.99	1100.677152	4222.896405
"2020"	" "	"Unallocated"	19.1687630000015	3491.72	19.0790379999999	1.75845800000002	11.28	826.901912	4369.908166
"2021"	" "	"Unallocated"	-85.1287350000021	2729.3	18.1772630000005	1.76638399999996	4.9576	818.172951	3487.225461
"2022"	" "	"Unallocated"	15.3444809999964	5787.22	20.4552599999988	7.43399299999999	8.832	889.379577	6728.675308
"2014"	"S92000003"	"Scotland"	11130.79	569.23	5483.6	143.16	2.14	1716.12	19045.06
"2015"	"S92000003"	"Scotland"	13339.43	538.57	5814.03	185.23	1.99	1863.57	21742.83
"2016"	"S92000003"	"Scotland"	11913.27	502.43	4915.78	246.52	0.01	1897.58	19475.58
"2017"	"S92000003"	"Scotland"	16586.99	614.16	5356.2	289.57	4.19	2450.29	25301.38
"2018"	"S92000003"	"Scotland"	17902.39	1208.71	4997.29	331.78	9.3	2147.51	26596.98
"2019"	"S92000003"	"Scotland"	18848.48	3161.28	5382.73	331.98	13.99	2465.08	30203.54
"2020"	"S92000003"	"Scotland"	19594.74	3491.72	6277.76	328.6	11.28	2297.6	32001.7
"2021"	"S92000003"	"Scotland"	17166.26	2729.3	4880.92	331.59	5.48	2353.23	27466.76
"2022"	"S92000003"	"Scotland"	21974.78	5787.22	5183.48	394	11.2	2351.74	35702.43
