"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2015"	"S12000039"	"West Dunbartonshire"	0	0	1.933361	2.493791	0	16.214	20.641152
"2015"	"S12000040"	"West Lothian"	51.712729	0	0	5.080761	0	4.944	61.73749
"2016"	"S12000033"	"Aberdeen City"	3.712972	0	0.089539	6.142921	0	14.881	24.826431
"2016"	"S12000034"	"Aberdeenshire"	1160.794675	0	1.656591	30.366985	0	46.986683	1239.804934
"2016"	"S12000041"	"Angus"	46.273566	0	4.422139	21.332297	0	15.268018	87.296021
"2016"	"S12000035"	"Argyll & Bute"	614.350777	0	525.971405	5.362506	0	0	1145.684688
"2016"	"S12000005"	"Clackmannanshire"	120.461278	0	0.205006	2.340885	0	0	123.007169
"2016"	"S12000006"	"Dumfries & Galloway"	700.444622	493.514	386.067478	11.976875	0	343.592227	1935.595202
"2016"	"S12000042"	"Dundee City"	0.110759	0	0.608098	3.353235	0	0	4.072092
"2016"	"S12000008"	"East Ayrshire"	341.907824	0	0.477869	4.299056	0	22.300814	368.985563
"2016"	"S12000045"	"East Dunbartonshire"	0.028422	0	0	2.354383	0	1.524066	3.906871
"2016"	"S12000010"	"East Lothian"	133.070618	0	0.099086	6.051188	0	40.486	179.706892
"2016"	"S12000011"	"East Renfrewshire"	542.004885	0	0	1.514118	0	0	543.519004
"2016"	"S12000036"	"Edinburgh City of"	0.251924	0	0.854192	6.237552	0	22.229157	29.572825
"2016"	"S12000013"	"Eilean Siar"	137.771568	0	6.429846	1.031032	0	0.2095	145.441946
"2016"	"S12000014"	"Falkirk"	90.572484	0	2.654829	3.985743	0	49.92	147.133056
"2016"	"S12000047"	"Fife"	162.870539	7.027	3.433	18.206895	0	496.37659	687.914025
"2016"	"S12000049"	"Glasgow City"	6.82146	0	0	8.323706	0	44.332855	59.478022
"2016"	"S12000017"	"Highland"	2286.24194	0	2858.167935	14.523417	0.0086	95.148031	5254.089923
"2016"	"S12000018"	"Inverclyde"	4.661309	0	0.263091	1.521945	0	0	6.446345
"2016"	"S12000019"	"Midlothian"	57.197402	0	1.346207	3.419067	0	20.811939	82.774614
"2016"	"S12000020"	"Moray"	695.502229	0	0.426583	6.653103	0	120.009849	822.591763
"2016"	"S12000021"	"North Ayrshire"	341.066218	0	4.664223	5.48518	0	200.365141	551.580762
"2016"	"S12000050"	"North Lanarkshire"	57.976603	0	0	7.556837	0	159.356786	224.890226
"2016"	"S12000023"	"Orkney Islands"	168.957143	0	0.037584	1.211507	0	0	170.206234
"2016"	"S12000048"	"Perth & Kinross"	459.070566	0	770.669133	21.44984	0	24.987709	1276.177248
"2016"	"S12000038"	"Renfrewshire"	0.033423	0	0	5.080151	0	0.368549	5.482123
"2016"	"S12000026"	"Scottish Borders"	1236.067341	0	2.042636	12.729878	0	9.859047	1260.698902
"2016"	"S12000027"	"Shetland Islands"	29.264677	0	0.06321	0.177379	0	0	29.505266
"2016"	"S12000028"	"South Ayrshire"	455.683793	0	2.48122	3.913043	0	28.556633	490.634689
"2016"	"S12000029"	"South Lanarkshire"	1622.426866	0	91.58379	10.355994	0	50.572046	1774.938695
"2016"	"S12000030"	"Stirling"	353.235981	0	245.869177	7.89445	0	7.791865	614.791472
"2016"	"S12000039"	"West Dunbartonshire"	0	0	2.384904	2.693874	0	17.605	22.683778
"2016"	"S12000040"	"West Lothian"	73.392119	0	0	6.202996	0	3.339	82.934114
"2017"	"S12000033"	"Aberdeen City"	4.133869	0	0.365429	6.456827	0	13.663	24.619125
"2017"	"S12000034"	"Aberdeenshire"	1394.338206	30.517143	1.865058	32.257447	0	53.873723	1512.851577
"2017"	"S12000041"	"Angus"	54.984535	0	6.631521	26.84127	0	21.194446	109.651772
"2017"	"S12000035"	"Argyll & Bute"	837.249202	0	583.245009	5.488177	0	0.166803	1426.149191
"2017"	"S12000005"	"Clackmannanshire"	148.847429	0	0.219477	6.618325	0	0	155.685231
"2017"	"S12000006"	"Dumfries & Galloway"	1095.549733	536.988	445.986265	12.274741	0	375.748007	2466.546746
"2017"	"S12000042"	"Dundee City"	0.106795	0	0.788364	3.468933	0	0	4.364092
"2017"	"S12000008"	"East Ayrshire"	548.20763	0	1.842789	4.363151	0	24.450781	578.86435
"2017"	"S12000045"	"East Dunbartonshire"	0.031644	0	0	2.385295	0	5.507762	7.924701
