Sector,Petroleum products,Gas,Other fuel,Year
Overall,601644.3278776231,512573.2379867779,404742.38147562847,2020
Domestic,29670.589035452074,328189.4513242115,140721.6672675785,2020
Non-domestic,129935.72948162458,184383.7866725671,243494.5955895638,2020
Heat,148314.0573844111,495135.39628856536,100138.48943354608,2020
