LA Code,Year,Region,Total - All Fuels,Coal,Manufactured fuels,Petroleum products,Total Gas,Bioenergy & Wastes
S12000033,2005,Aberdeen City,3533.6493446875957,24.97966115262909,21.955452933999723,432.4740798183167,3041.3599503705254,12.880200412124397
S12000034,2005,Aberdeenshire,3569.1542232395013,43.26043457101602,41.710164971151045,1668.1516926421064,1783.1767464695522,32.855184585675566
S92000003,2005,All local authorities,98564.66737044598,1475.2820243407925,1082.4848187204434,35351.89179272073,59112.05483699709,1542.9538976669253
S12000041,2005,Angus,1453.1312899378058,10.482895333878707,5.1472942981123975,400.4660366020017,1025.8642657196228,11.170797984190289
S12000035,2005,Argyll and Bute,1222.2935519335492,24.260789806624672,6.747878364735307,614.728016018464,564.5245247786627,12.032342965062671
S12000036,2005,City of Edinburgh,5964.26016442305,12.847960831591685,4.292488045027706,318.1065530629441,5613.003952312383,16.009210171103483
S12000005,2005,Clackmannanshire,924.8941745224755,1.5169799739004044,1.6718446992337728,75.53451986402933,842.1834449766789,3.9873850086331353
S12000006,2005,Dumfries and Galloway,2635.8817764969217,38.93469092606969,18.623535374614228,1165.0379968764755,1312.1246043267945,101.16094899296758
S12000042,2005,Dundee City,1924.2353248512354,0.20435029231900348,0.9305358167249629,224.96498149854875,1693.3205760158812,4.814881227761502
S12000008,2005,East Ayrshire,1930.9045534135632,33.59329951308181,5.975491757398577,281.1010152830432,1440.2508935759192,169.9838532841206
S12000045,2005,East Dunbartonshire,1270.2202766419925,1.4758227408990903,1.9849507693497226,79.72223074941665,1182.4212778324118,4.615994549915196
S12000010,2005,East Lothian,1839.0980418330441,243.3607627523967,206.62869200304556,185.5299908382923,864.7542099430377,338.8243862962719
S12000011,2005,East Renfrewshire,1013.8792030427549,0.9762895603641105,1.9387562876539495,47.594320036481164,957.8438828171122,5.5259543411433665
S12000014,2005,Falkirk,20323.15200561346,2.942925417539647,529.3183569372495,17775.452004444945,2007.6970882324104,7.741630581319333
S12000047,2005,Fife,10825.306638098204,539.7803444337198,33.12191988588702,4300.909114313658,5918.752402114232,32.74285735070707
S12000049,2005,Glasgow City,7055.453875635106,1.2935858468711354,4.48910028104515,412.34884019443615,6614.7303097663835,22.592039546370522
S12000017,2005,Highland,3615.1729327777693,86.45054762712161,20.910946690036326,1972.9527290425574,1303.7610501067595,231.09765931129476
S12000018,2005,Inverclyde,900.0370741793589,0.6933540908723147,1.2799665501313393,42.98702633371018,851.1034784048293,3.97324879981577
S12000019,2005,Midlothian,936.5928538679977,9.68394058517918,2.948294592201706,121.35585026516327,793.2847464818547,9.320021943598993
S12000020,2005,Moray,2092.9550675569194,12.24379804573925,5.90522509515286,480.6348259389374,1582.068240197611,12.10297827947885
S12000013,2005,Na h-Eileanan Siar,315.9024085484056,11.496476283027924,2.969347484111782,296.1281757767565,0,5.308409004509453
S12000021,2005,North Ayrshire,3430.48628227194,238.22379588078388,4.25658977205726,265.4097602837537,2765.611837427232,156.98429890811389
S12000050,2005,North Lanarkshire,4413.063244045813,5.363544301616013,89.80931485937359,457.29049925939444,3751.3745349009696,109.22535072445874
S12000023,2005,Orkney Islands,348.12614100426526,9.481811903409971,2.3530501638352925,332.00476789907424,0,4.2865110379457505
S12000048,2005,Perth and Kinross,1848.1663970713155,14.274494403926493,8.168943767553293,623.5155499401033,1186.0499195407863,16.15748941894617
S12000038,2005,Renfrewshire,2206.249184572219,1.106949332124111,1.6801704683956757,187.31083158229606,2009.3250763881194,6.826156801283368
S12000026,2005,Scottish Borders,1752.3089616317825,38.31506954194394,7.5104531334100795,708.8020602372018,984.1202338330609,13.561144886165811
S12000027,2005,Shetland Islands,292.6614570802636,9.586738402138298,2.379076316010961,276.5774272568787,0,4.118215105235577
S12000028,2005,South Ayrshire,1766.1321189786122,34.317193805402155,9.235742959472276,367.139332161289,1345.9990406681811,9.440809384267778
S12000029,2005,South Lanarkshire,3872.427422965552,14.553426234113712,17.2726871918223,649.1038554894081,3166.62967664125,24.867777408957522
S12000030,2005,Stirling,1904.651603817907,6.29586400432929,4.556900072990745,266.9599688002046,1481.2692572464298,145.5696136939525
S12000039,2005,West Dunbartonshire,1038.6946857693376,0.34723406712146526,0.6243823555652337,68.61795912874823,966.596063344825,2.5090468730777507
S12000040,2005,West Lothian,2345.5373205280976,2.9370169426431576,16.087262093108464,252.9812268854935,2062.864351171694,10.667463435158133
S12000033,2006,Aberdeen City,3146.552560405059,25.404323222856092,30.6550661416869,449.6302500530445,2625.831485088035,15.031435899436477
S12000034,2006,Aberdeenshire,3326.698963260355,46.69868977492365,48.44372514670843,1649.0526622796365,1545.2245204278936,37.279365631192974
S92000003,2006,All local authorities,93187.79305827274,1720.8760096235746,1091.9926810488842,31856.027418269296,57061.74509092492,1457.1518584060677
S12000041,2006,Angus,1414.2798201490928,10.639484970124919,4.862389308214185,399.72843316982494,986.3093781758532,12.740134525075563
S12000035,2006,Argyll and Bute,1180.808759897156,24.08805727326387,6.44838143921079,575.3612015684539,560.9122795668338,13.998840049393479
S12000036,2006,City of Edinburgh,5677.866141210362,12.88288790767372,4.167060991351182,299.2509731130928,5342.7530993477285,18.812119850516325
S12000005,2006,Clackmannanshire,901.8807849105966,1.3674056374174932,1.5767727355659036,76.12150861367333,818.3192826165723,4.49581530736759
S12000006,2006,Dumfries and Galloway,2527.256915447621,39.20793995487335,19.70514943769497,1146.2965327756515,1252.1636817600643,69.88361151933672
S12000042,2006,Dundee City,1800.502301781174,0.18407752439091504,0.9591468405387906,195.72532668165167,1598.0806265136255,5.553124220967302
