LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Rail,Coal - Public Sector,Coal - Agriculture,Coal - Total,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Manufactured fuels - Total,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Road transport,Petroleum products - Rail,Petroleum products - Public Sector,Petroleum products - Agriculture,Petroleum products - Total,Gas - Industrial,Gas - Commercial,Gas - Domestic,Gas - Total,Electricity - Industrial & Commercial,Electricity - Domestic,Electricity - Total,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Bioenergy & wastes - Total,All fuels - Total,Consuming Sector - Industry & Commercial,Consuming Sector - Domestic,Consuming Sector - Transport
S12000035,2005,Argyll and Bute,6.519321918,0.627647107,37.13521886,0,6.846306625,0.3863593,51.51485381,0.244453273,20.30017494,20.54462822,372.8153376,7.8420811,174.287039,670.6552633,5.198403207,75.68993996,118.6075951,1425.095659,86.52206588,81.63610412,408.38745,576.54562,235.58891,326.89604,562.48495,0,0,19.44135422,19.44135422,2655.627066,993.3261219,986.4472771,675.8536665
S12000034,2005,Aberdeenshire,30.20814366,0.611569028,55.94451391,0,11.07392395,1.549786818,99.38793737,15.57327737,33.18618436,48.75946173,675.4531848,16.57718309,760.4577967,2068.965253,18.27712076,13.07877027,360.3609667,3913.170275,356.3746894,336.2499606,1140.06564,1832.69029,704.65007,657.73465,1362.38472,0,0,45.1541201,45.1541201,7301.546804,2521.761526,2692.542905,2087.242373
S12000033,2005,Aberdeen City,1.400289437,0.407160055,5.175742222,0,11.69427511,0.032716667,18.71018349,11.24074196,5.068613116,16.30935507,688.7022719,2.707738701,26.21121466,1107.114481,6.304362837,26.69930265,11.62338095,1869.362752,752.8718251,710.3566249,1682.73307,3145.96152,880.80968,516.91861,1397.72829,0,0,16.35399431,16.35399431,6464.426095,3098.546007,2252.461244,1113.418844
S12000030,2005,Stirling,1.102575044,0.260875565,9.13845216,0,2.425283333,0.1352163,13.0624024,0.036860692,5.738128375,5.774989067,113.364995,7.041341365,84.77620392,978.2614904,20.4146993,7.876988533,64.5291351,1276.264854,482.5524528,455.3023772,610.4587,1548.31353,349.4815,221.98181,571.46331,109.281255,27.46736523,9.308720687,146.0573408,3560.936426,1620.858221,941.4020152,998.6761897
S12000029,2005,South Lanarkshire,5.223403311,0.152622397,25.96797569,0,1.918796484,0.228260242,33.49105812,7.898754439,16.58194861,24.48070305,415.3673164,5.088803866,156.6021793,2430.138166,10.57216014,6.799823888,125.0230769,3149.591526,484.3177207,456.9679593,2292.63353,3233.91921,849.21097,714.82632,1564.03729,0,0,28.13591282,28.13591282,8033.6557,2358.197508,3234.747866,2440.710326
S12000028,2005,South Ayrshire,43.58541004,0.195077329,11.0253115,0,0.972920327,0.193274202,55.9719934,3.950063232,6.926312454,10.87637569,185.6639418,4.271312838,84.84126291,782.0866959,53.13727588,1.952127192,104.4976806,1216.450297,248.0171564,234.0114536,898.42913,1380.45774,331.05958,249.24253,580.30211,0,0,11.2514875,11.2514875,3255.310004,1158.369998,1261.716034,835.2239717
S12000027,2005,Shetland Islands,3.648504729,0.276825413,9.597956566,0,3.207272973,0.259464009,16.99002369,0,5.285009561,5.285009561,217.4608831,6.753794464,84.07257276,140.1421028,0,7.684572218,66.37564555,522.4895709,0,0,0,0,102.04162,107.4612,209.50282,0,0,5.2577681,5.2577681,759.5251922,407.7085825,211.674507,140.1421028
S12000026,2005,Scottish Borders,25.7680605,0.194118191,40.36695323,0,2.611705627,0.611971949,69.5528095,0.537955035,22.10407198,22.64202702,210.2781752,6.793186414,257.8906793,884.9933479,0.813293646,3.64612237,282.5547211,1646.969526,208.923951,197.125869,607.09763,1013.14745,331.28055,303.75234,635.03289,0,0,21.36024106,21.36024106,3408.704944,1270.326386,1252.571916,885.8066416
S12000023,2005,Orkney Islands,2.083503382,0.242591635,17.22249306,0,4.999754852,0.321304185,24.86964712,0,8.986721761,8.986721761,95.19078207,5.666876389,102.1413425,90.12957122,0,12.06124261,123.011703,428.2015177,0,0,0,0,53.59104,84.51521,138.10625,0,0,6.40826285,6.40826285,606.5723995,297.1687981,219.2740301,90.12957122
S12000021,2005,North Ayrshire,263.8661154,0.144709985,5.783628203,0,0.771934842,0.046332862,270.6127213,1.901708432,4.872680134,6.774388566,189.6425909,2.244464059,49.51193015,613.5783481,6.730939084,2.031577223,46.55090856,910.2907581,958.1276091,904.0214709,1036.5819,2898.73098,628.1363,302.77542,930.91172,118.6550943,29.82343874,13.45357147,161.9321045,5179.252672,3145.964255,1412.97913,620.3092872
S12000020,2005,Moray,28.70083346,0.161465698,21.21697575,0.238542442,2.818728896,0.296530296,53.43307655,0,11.99900057,11.99900057,292.8185739,2.792247282,181.2940024,534.6055219,5.519615561,8.58359977,93.92703285,1119.540594,591.610109,558.201471,514.45305,1664.26463,325.67489,219.00453,544.67942,0,0,13.5487778,13.5487778,3407.465499,1905.585482,961.5163365,540.3636799
