"","Year","Renewable","Gross Electricity Consumption"
"1","2015",21742.8342242493,36492.5562933093
"2","2016",19475.591496644,36042.1923226296
"3","2017",25301.3826978173,36146.5504651203
"4","2018",26596.98,35907.2033238085
"5","2019",30203.54,34872.5319987001
"6","2020",32001.7,33783.6616235088
"7","2021",27466.7572249344,33290.5221850733
"8","2022",35702.4398303532,32753.3552211428
