GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2008,Count,GWh,Petroleum products,Agriculture,8.8479770934
S12000005,2008,Count,GWh,Petroleum products,Domestic,11.726103237
S12000005,2008,Count,GWh,Petroleum products,Industrial & Commercial,50.5308195969
S12000005,2008,Count,GWh,Petroleum products,Public Sector,0.1723310373
S12000005,2008,Count,GWh,Petroleum products,Rail,48.866245783
S12000005,2008,Count,GWh,Petroleum products,Road transport,243.52307068
S12000005,2008,Count,GWh,Petroleum products,All,363.66654743
S12000005,2009,Count,GWh,All,All,1550.3828906
S12000005,2009,Count,GWh,Bioenergy & wastes,Domestic,6.9854706352000004
S12000005,2009,Count,GWh,Bioenergy & wastes,All,6.9855776544
S12000005,2009,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,1.0699599999999999e-4
S12000005,2009,Count,GWh,Coal,Agriculture,0
S12000005,2009,Count,GWh,Coal,Domestic,3.6186106397
S12000005,2009,Count,GWh,Coal,Industrial & Commercial,0.44086281780000003
S12000005,2009,Count,GWh,Coal,Public Sector,0.6812545572
S12000005,2009,Count,GWh,Coal,Rail,0
S12000005,2009,Count,GWh,Coal,All,4.7407280147
S12000005,2009,Count,GWh,Electricity,Domestic,96.913327864
S12000005,2009,Count,GWh,Electricity,Industrial & Commercial,228.62380883
S12000005,2009,Count,GWh,Electricity,All,325.52550660000003
S12000005,2009,Count,GWh,Gas,Domestic,344.76163337
S12000005,2009,Count,GWh,Gas,Industrial & Commercial,520.8640707500001
S12000005,2009,Count,GWh,Gas,All,865.62570424
S12000005,2009,Count,GWh,Manufactured fuels,Domestic,1.659439122
S12000005,2009,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2009,Count,GWh,Manufactured fuels,All,1.659439122
S12000005,2009,Count,GWh,Petroleum products,Agriculture,8.9721187256
S12000005,2009,Count,GWh,Petroleum products,Domestic,11.428282674
S12000005,2009,Count,GWh,Petroleum products,Industrial & Commercial,33.5865268353
S12000005,2009,Count,GWh,Petroleum products,Public Sector,0.0851962512
S12000005,2009,Count,GWh,Petroleum products,Rail,49.158368228
S12000005,2009,Count,GWh,Petroleum products,Road transport,242.61544222
S12000005,2009,Count,GWh,Petroleum products,All,345.84593494
S12000005,2010,Count,GWh,All,All,1878.2492224
S12000005,2010,Count,GWh,Bioenergy & wastes,Domestic,9.0061901713
S12000005,2010,Count,GWh,Bioenergy & wastes,All,9.0063170779
S12000005,2010,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,1.26767e-4
S12000005,2010,Count,GWh,Coal,Agriculture,0.0022648378
S12000005,2010,Count,GWh,Coal,Domestic,3.778012699
S12000005,2010,Count,GWh,Coal,Industrial & Commercial,0.5804055239
S12000005,2010,Count,GWh,Coal,Public Sector,0.6975491642
S12000005,2010,Count,GWh,Coal,Rail,0
S12000005,2010,Count,GWh,Coal,All,5.0582322249
S12000005,2010,Count,GWh,Electricity,Domestic,96.109753331
S12000005,2010,Count,GWh,Electricity,Industrial & Commercial,236.90018962
S12000005,2010,Count,GWh,Electricity,All,333.00994296
S12000005,2010,Count,GWh,Gas,Domestic,339.08106714
S12000005,2010,Count,GWh,Gas,Industrial & Commercial,834.55891084
S12000005,2010,Count,GWh,Gas,All,1173.639978
S12000005,2010,Count,GWh,Manufactured fuels,Domestic,1.844033564
S12000005,2010,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2010,Count,GWh,Manufactured fuels,All,1.844033564
S12000005,2010,Count,GWh,Petroleum products,Agriculture,9.0499554663
S12000005,2010,Count,GWh,Petroleum products,Domestic,12.846337145
S12000005,2010,Count,GWh,Petroleum products,Industrial & Commercial,44.4031245892
S12000005,2010,Count,GWh,Petroleum products,Public Sector,0.0545155901
S12000005,2010,Count,GWh,Petroleum products,Rail,49.628314884
S12000005,2010,Count,GWh,Petroleum products,Road transport,239.70847092
S12000005,2010,Count,GWh,Petroleum products,All,355.6907186
S12000005,2011,Count,GWh,All,All,1838.0532691
S12000005,2011,Count,GWh,Bioenergy & wastes,Domestic,7.8243425584
S12000005,2011,Count,GWh,Bioenergy & wastes,All,7.8245379192
S12000005,2011,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,1.9538399999999997e-4
S12000005,2011,Count,GWh,Coal,Agriculture,0.0023198012
S12000005,2011,Count,GWh,Coal,Domestic,3.7321978026
S12000005,2011,Count,GWh,Coal,Industrial & Commercial,0.5681229414
S12000005,2011,Count,GWh,Coal,Public Sector,0.7047688588
S12000005,2011,Count,GWh,Coal,Rail,0
S12000005,2011,Count,GWh,Coal,All,5.007409404
S12000005,2011,Count,GWh,Electricity,Domestic,95.378355825
S12000005,2011,Count,GWh,Electricity,Industrial & Commercial,236.42359884
S12000005,2011,Count,GWh,Electricity,All,331.80195467
S12000005,2011,Count,GWh,Gas,Domestic,320.68943801
S12000005,2011,Count,GWh,Gas,Industrial & Commercial,847.46879642
S12000005,2011,Count,GWh,Gas,All,1168.1582345
S12000005,2011,Count,GWh,Manufactured fuels,Domestic,1.7185223365
S12000005,2011,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2011,Count,GWh,Manufactured fuels,All,1.7185223365
S12000005,2011,Count,GWh,Petroleum products,Agriculture,9.1869547031
S12000005,2011,Count,GWh,Petroleum products,Domestic,10.130351496
S12000005,2011,Count,GWh,Petroleum products,Industrial & Commercial,20.330745561900002
