Sector,Petroleum products,Gas,Other fuel,Year
Overall,57304.421954200305,48503.11328125002,30582.422080583034,2020
Domestic,3273.081568298339,29406.177734375007,10933.408416881559,2020
Non-domestic,23663.71990463973,19096.93554687501,17868.661722164135,2020
Heat,24859.141467544865,46697.04700401425,6013.049537653842,2020
