Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-NSMP, D+1","154458433.0000","08/02/2023 14:01:00","A"
"07/02/2023 00:00:00","07/02/2023","NTS System Input Physical, Actual (Energy), D+1","3708931539.0000","08/02/2023 12:01:00","L"
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-Mobil, D+1","122356496.0000","08/02/2023 12:01:00","L"
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-NSMP, D+1","154460000.0000","08/02/2023 12:01:00","L"
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-Shell, D+1","250645729.0000","08/02/2023 12:01:00","L"
"06/02/2023 00:00:00","06/02/2023","NTS System Input Physical, Actual (Energy), D+1","3568279843.0000","07/02/2023 12:01:01","L"
"06/02/2023 00:00:00","06/02/2023","System Entry Energy, STFergus-Mobil, D+1","120786560.0000","07/02/2023 12:01:01","L"
"06/02/2023 00:00:00","06/02/2023","System Entry Energy, STFergus-NSMP, D+1","122457164.0000","07/02/2023 12:01:01","L"
"06/02/2023 00:00:00","06/02/2023","System Entry Energy, STFergus-Shell, D+1","220837170.0000","07/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","NTS System Input Physical, Actual (Energy), D+1","2942046448.0000","06/02/2023 16:01:01","A"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-NSMP, D+1","134440132.0000","06/02/2023 16:01:01","A"
"05/02/2023 00:00:00","05/02/2023","NTS System Input Physical, Actual (Energy), D+1","2942046316.0000","06/02/2023 14:01:00","A"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-Shell, D+1","206257743.0000","06/02/2023 14:01:00","A"
"05/02/2023 00:00:00","05/02/2023","NTS System Input Physical, Actual (Energy), D+1","2941328382.0000","06/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-Mobil, D+1","137895232.0000","06/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-NSMP, D+1","134440000.0000","06/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-Shell, D+1","205539809.0000","06/02/2023 12:01:01","L"
"04/02/2023 00:00:00","04/02/2023","NTS System Input Physical, Actual (Energy), D+1","2671834096.0000","06/02/2023 07:21:01","L"
"04/02/2023 00:00:00","04/02/2023","System Entry Energy, STFergus-Mobil, D+1","158524816.0000","06/02/2023 07:21:01","L"
"04/02/2023 00:00:00","04/02/2023","System Entry Energy, STFergus-NSMP, D+1","183620000.0000","06/02/2023 07:21:01","L"
"04/02/2023 00:00:00","04/02/2023","System Entry Energy, STFergus-Shell, D+1","32114415.0000","06/02/2023 07:21:01","L"
"04/02/2023 00:00:00","04/02/2023","NTS System Input Physical, Actual (Energy), D+1","2671834096.0000","05/02/2023 16:01:00","L"
"03/02/2023 00:00:00","03/02/2023","System Entry Energy, STFergus-Shell, D+1","32114415.0000","07/02/2023 07:32:01","L"
"03/02/2023 00:00:00","03/02/2023","NTS System Input Physical, Actual (Energy), D+1","2701546531.0000","05/02/2023 11:27:01","A"
"03/02/2023 00:00:00","03/02/2023","System Entry Energy, STFergus-Mobil, D+1","157875104.0000","05/02/2023 11:27:01","L"
"03/02/2023 00:00:00","03/02/2023","System Entry Energy, STFergus-NSMP, D+1","175320000.0000","05/02/2023 11:27:01","L"
"03/02/2023 00:00:00","03/02/2023","NTS System Input Physical, Actual (Energy), D+1","2880628505.0000","04/02/2023 16:01:01","L"
"02/02/2023 00:00:00","02/02/2023","System Entry Energy, STFergus-Mobil, D+1","154074480.0000","04/02/2023 15:15:01","L"
"02/02/2023 00:00:00","02/02/2023","System Entry Energy, STFergus-NSMP, D+1","182820041.0000","04/02/2023 15:15:01","L"
"02/02/2023 00:00:00","02/02/2023","System Entry Energy, STFergus-Shell, D+1","211196389.0000","04/02/2023 15:15:01","L"
"02/02/2023 00:00:00","02/02/2023","NTS System Input Physical, Actual (Energy), D+1","2852135514.0000","03/02/2023 14:33:00","L"
"01/02/2023 00:00:00","01/02/2023","NTS System Input Physical, Actual (Energy), D+1","2835518370.0000","04/02/2023 15:06:00","A"
"01/02/2023 00:00:00","01/02/2023","System Entry Energy, STFergus-Mobil, D+1","160837504.0000","04/02/2023 15:06:00","L"
"01/02/2023 00:00:00","01/02/2023","System Entry Energy, STFergus-NSMP, D+1","178021675.0000","04/02/2023 15:06:00","L"
"01/02/2023 00:00:00","01/02/2023","System Entry Energy, STFergus-Shell, D+1","213550799.0000","04/02/2023 15:06:00","L"
"01/02/2023 00:00:00","01/02/2023","NTS System Input Physical, Actual (Energy), D+1","2846328462.0000","02/02/2023 14:40:01","L"
"31/01/2023 00:00:00","31/01/2023","NTS System Input Physical, Actual (Energy), D+1","3085424497.0000","01/02/2023 14:01:01","A"
"31/01/2023 00:00:00","31/01/2023","System Entry Energy, STFergus-NSMP, D+1","166481700.0000","01/02/2023 14:01:01","A"
"31/01/2023 00:00:00","31/01/2023","NTS System Input Physical, Actual (Energy), D+1","3085422796.0000","01/02/2023 12:01:01","L"
"31/01/2023 00:00:00","31/01/2023","System Entry Energy, STFergus-Mobil, D+1","166388048.0000","01/02/2023 12:01:01","L"
"31/01/2023 00:00:00","31/01/2023","System Entry Energy, STFergus-NSMP, D+1","166480000.0000","01/02/2023 12:01:01","L"
"31/01/2023 00:00:00","31/01/2023","System Entry Energy, STFergus-Shell, D+1","242515920.0000","01/02/2023 12:01:01","L"
"30/01/2023 00:00:00","30/01/2023","NTS System Input Physical, Actual (Energy), D+1","3213600374.0000","31/01/2023 14:01:01","A"
"30/01/2023 00:00:00","30/01/2023","NTS System Input Physical, Actual (Energy), D+1","3143474076.0000","31/01/2023 12:01:01","L"
"30/01/2023 00:00:00","30/01/2023","System Entry Energy, STFergus-Mobil, D+1","160805872.0000","31/01/2023 12:01:01","L"
"30/01/2023 00:00:00","30/01/2023","System Entry Energy, STFergus-NSMP, D+1","158532986.0000","31/01/2023 12:01:01","L"
"30/01/2023 00:00:00","30/01/2023","System Entry Energy, STFergus-Shell, D+1","289051615.0000","31/01/2023 12:01:01","L"
"29/01/2023 00:00:00","29/01/2023","NTS System Input Physical, Actual (Energy), D+1","2886921531.0000","30/01/2023 16:01:01","A"
"29/01/2023 00:00:00","29/01/2023","System Entry Energy, STFergus-NSMP, D+1","180536990.0000","30/01/2023 16:01:01","A"
"29/01/2023 00:00:00","29/01/2023","NTS System Input Physical, Actual (Energy), D+1","2886924541.0000","30/01/2023 12:01:01","L"
"29/01/2023 00:00:00","29/01/2023","System Entry Energy, STFergus-Mobil, D+1","152102832.0000","30/01/2023 12:01:01","L"
"29/01/2023 00:00:00","29/01/2023","System Entry Energy, STFergus-NSMP, D+1","180540000.0000","30/01/2023 12:01:01","L"
"29/01/2023 00:00:00","29/01/2023","System Entry Energy, STFergus-Shell, D+1","288928924.0000","30/01/2023 12:01:01","L"
"28/01/2023 00:00:00","28/01/2023","NTS System Input Physical, Actual (Energy), D+1","3239463114.0000","29/01/2023 12:01:01","L"
"28/01/2023 00:00:00","28/01/2023","System Entry Energy, STFergus-Mobil, D+1","141448688.0000","29/01/2023 12:01:01","L"
"28/01/2023 00:00:00","28/01/2023","System Entry Energy, STFergus-NSMP, D+1","210890000.0000","29/01/2023 12:01:01","L"
"28/01/2023 00:00:00","28/01/2023","System Entry Energy, STFergus-Shell, D+1","316942292.0000","29/01/2023 12:01:01","L"
"27/01/2023 00:00:00","27/01/2023","NTS System Input Physical, Actual (Energy), D+1","3594807681.0000","31/01/2023 11:04:01","A"
"27/01/2023 00:00:00","27/01/2023","NTS System Input Physical, Actual (Energy), D+1","3614214371.0000","28/01/2023 14:01:01","A"
"27/01/2023 00:00:00","27/01/2023","NTS System Input Physical, Actual (Energy), D+1","3614205648.0000","28/01/2023 12:01:00","L"
"27/01/2023 00:00:00","27/01/2023","System Entry Energy, STFergus-Mobil, D+1","140575440.0000","28/01/2023 12:01:00","L"
"27/01/2023 00:00:00","27/01/2023","System Entry Energy, STFergus-NSMP, D+1","224601860.0000","28/01/2023 12:01:00","L"
"27/01/2023 00:00:00","27/01/2023","System Entry Energy, STFergus-Shell, D+1","316942292.0000","28/01/2023 12:01:00","L"
"26/01/2023 00:00:00","26/01/2023","System Entry Energy, STFergus-Mobil, D+1","144356048.0000","31/01/2023 11:01:00","L"
"26/01/2023 00:00:00","26/01/2023","System Entry Energy, STFergus-NSMP, D+1","224601860.0000","31/01/2023 11:01:00","L"
"26/01/2023 00:00:00","26/01/2023","System Entry Energy, STFergus-Shell, D+1","316942292.0000","31/01/2023 11:01:00","L"
"26/01/2023 00:00:00","26/01/2023","NTS System Input Physical, Actual (Energy), D+1","3735193829.0000","27/01/2023 16:01:01","L"
"25/01/2023 00:00:00","25/01/2023","NTS System Input Physical, Actual (Energy), D+1","3812381128.0000","26/01/2023 12:01:01","L"
"25/01/2023 00:00:00","25/01/2023","System Entry Energy, STFergus-Mobil, D+1","150207552.0000","26/01/2023 12:01:01","L"
"25/01/2023 00:00:00","25/01/2023","System Entry Energy, STFergus-NSMP, D+1","252207960.0000","26/01/2023 12:01:01","L"
"25/01/2023 00:00:00","25/01/2023","System Entry Energy, STFergus-Shell, D+1","289472396.0000","26/01/2023 12:01:01","L"
"24/01/2023 00:00:00","24/01/2023","NTS System Input Physical, Actual (Energy), D+1","3851058519.0000","25/01/2023 17:01:00","A"
"24/01/2023 00:00:00","24/01/2023","System Entry Energy, STFergus-NSMP, D+1","215376404.0000","25/01/2023 17:01:00","A"
"24/01/2023 00:00:00","24/01/2023","NTS System Input Physical, Actual (Energy), D+1","3851062115.0000","25/01/2023 12:01:01","L"
"24/01/2023 00:00:00","24/01/2023","System Entry Energy, STFergus-Mobil, D+1","153693792.0000","25/01/2023 12:01:01","L"
"24/01/2023 00:00:00","24/01/2023","System Entry Energy, STFergus-NSMP, D+1","215380000.0000","25/01/2023 12:01:01","L"
"24/01/2023 00:00:00","24/01/2023","System Entry Energy, STFergus-Shell, D+1","319078403.0000","25/01/2023 12:01:01","L"
"23/01/2023 00:00:00","23/01/2023","NTS System Input Physical, Actual (Energy), D+1","4045831389.0000","24/01/2023 12:01:00","L"
"23/01/2023 00:00:00","23/01/2023","System Entry Energy, STFergus-Mobil, D+1","166303408.0000","24/01/2023 12:01:00","L"
"23/01/2023 00:00:00","23/01/2023","System Entry Energy, STFergus-NSMP, D+1","225075599.0000","24/01/2023 12:01:00","L"
"23/01/2023 00:00:00","23/01/2023","System Entry Energy, STFergus-Shell, D+1","292938785.0000","24/01/2023 12:01:00","L"
