Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"15/11/2022 00:00:00","15/11/2022","NTS System Input Physical, Actual (Energy), D+1","2757286167.0000","16/11/2022 12:01:01","L"
"15/11/2022 00:00:00","15/11/2022","System Entry Energy, STFergus-Mobil, D+1","162830096.0000","16/11/2022 12:01:01","L"
"15/11/2022 00:00:00","15/11/2022","System Entry Energy, STFergus-NSMP, D+1","185377641.0000","16/11/2022 12:01:01","L"
"15/11/2022 00:00:00","15/11/2022","System Entry Energy, STFergus-Shell, D+1","277122691.0000","16/11/2022 12:01:01","L"
"14/11/2022 00:00:00","14/11/2022","NTS System Input Physical, Actual (Energy), D+1","3022407768.0000","15/11/2022 14:01:00","A"
"14/11/2022 00:00:00","14/11/2022","NTS System Input Physical, Actual (Energy), D+1","3021968768.0000","15/11/2022 12:01:00","L"
"14/11/2022 00:00:00","14/11/2022","System Entry Energy, STFergus-Mobil, D+1","147615952.0000","15/11/2022 12:01:00","L"
"14/11/2022 00:00:00","14/11/2022","System Entry Energy, STFergus-NSMP, D+1","246514831.0000","15/11/2022 12:01:00","L"
"14/11/2022 00:00:00","14/11/2022","System Entry Energy, STFergus-Shell, D+1","269912969.0000","15/11/2022 12:01:00","L"
"13/11/2022 00:00:00","13/11/2022","NTS System Input Physical, Actual (Energy), D+1","2870676687.0000","14/11/2022 16:01:01","A"
"13/11/2022 00:00:00","13/11/2022","System Entry Energy, STFergus-Mobil, D+1","155326432.0000","14/11/2022 16:01:01","A"
"13/11/2022 00:00:00","13/11/2022","System Entry Energy, STFergus-NSMP, D+1","243945230.0000","14/11/2022 16:01:01","A"
"13/11/2022 00:00:00","13/11/2022","NTS System Input Physical, Actual (Energy), D+1","2884357279.0000","14/11/2022 12:01:01","L"
"13/11/2022 00:00:00","13/11/2022","System Entry Energy, STFergus-Mobil, D+1","153023040.0000","14/11/2022 12:01:01","L"
"13/11/2022 00:00:00","13/11/2022","System Entry Energy, STFergus-NSMP, D+1","259929214.0000","14/11/2022 12:01:01","L"
"13/11/2022 00:00:00","13/11/2022","System Entry Energy, STFergus-Shell, D+1","292183681.0000","14/11/2022 12:01:01","L"
