"","Year","Sector","End use","variable","Lookup","value"
"689",2017,"Total","Overall total","Solid fuel","2017TotalOverall totalSolid fuel",1970.522196
"690",2017,"Total","Overall total excluding transport","Solid fuel","2017TotalOverall total excluding transportSolid fuel",1959.752196
"691",2021,"Domestic","Space heating","Electricity","2021DomesticSpace heatingElectricity",1420.1701012851
"692",2021,"Domestic","Water heating","Electricity","2021DomesticWater heatingElectricity",411.734059375506
"693",2021,"Domestic","Cooking/catering","Electricity","2021DomesticCooking/cateringElectricity",553.926775123948
"694",2021,"Domestic","Heat total","Electricity","2021DomesticHeat totalElectricity",2385.83093578455
"695",2021,"Domestic","Lighting and appliances","Electricity","2021DomesticLighting and appliancesElectricity",6930.10675514216
"696",2021,"Domestic","Overall total","Electricity","2021DomesticOverall totalElectricity",9315.93769092672
"697",2021,"Service","Space heating","Electricity","2021ServiceSpace heatingElectricity",659.56284022549
"698",2021,"Service","Water heating","Electricity","2021ServiceWater heatingElectricity",139.972899610507
"699",2021,"Service","Cooking/catering","Electricity","2021ServiceCooking/cateringElectricity",657.479907853294
"700",2021,"Service","Heat total","Electricity","2021ServiceHeat totalElectricity",1457.01564768929
"701",2021,"Service","Computing","Electricity","2021ServiceComputingElectricity",712.765590114844
"702",2021,"Service","Cooling and ventilation","Electricity","2021ServiceCooling and ventilationElectricity",918.878804978612
"703",2021,"Service","Lighting","Electricity","2021ServiceLightingElectricity",1565.14326317928
"704",2021,"Service","Other","Electricity","2021ServiceOtherElectricity",2199.15669404823
"705",2021,"Service","Overall total","Electricity","2021ServiceOverall totalElectricity",6852.96000001025
"706",2021,"Industry","Space heating","Electricity","2021IndustrySpace heatingElectricity",549.503651076871
"707",2021,"Industry","High temperature process","Electricity","2021IndustryHigh temperature processElectricity",746.873879275236
"708",2021,"Industry","Low temperature process","Electricity","2021IndustryLow temperature processElectricity",1262.90634950243
"709",2021,"Industry","Drying/separation","Electricity","2021IndustryDrying/separationElectricity",462.239175221169
"710",2021,"Industry","Unknown (heat)","Electricity","2021IndustryUnknown (heat)Electricity",0
"711",2021,"Industry","Heat total","Electricity","2021IndustryHeat totalElectricity",3021.5230550757
"712",2021,"Industry","Motors","Electricity","2021IndustryMotorsElectricity",2507.05310416278
"713",2021,"Industry","Compressed air","Electricity","2021IndustryCompressed airElectricity",690.668133203145
"714",2021,"Industry","Lighting","Electricity","2021IndustryLightingElectricity",204.525471769047
"715",2021,"Industry","Refrigeration","Electricity","2021IndustryRefrigerationElectricity",427.674150882563
"716",2021,"Industry","Other","Electricity","2021IndustryOtherElectricity",355.68608490676
"717",2021,"Industry","Overall total","Electricity","2021IndustryOverall totalElectricity",7207.13
"718",2021,"Transport","Non-heat purposes","Electricity","2021TransportNon-heat purposesElectricity",474.99
"719",2021,"Total","Space heating","Electricity","2021TotalSpace heatingElectricity",2629.23659258746
"720",2021,"Total","Water heating","Electricity","2021TotalWater heatingElectricity",551.706958986013
"721",2021,"Total","Cooking/catering","Electricity","2021TotalCooking/cateringElectricity",1211.40668297724
"722",2021,"Total","Process use","Electricity","2021TotalProcess useElectricity",2009.78022877766
"723",2021,"Total","Drying/separation","Electricity","2021TotalDrying/separationElectricity",462.239175221169
"724",2021,"Total","Unknown (heat)","Electricity","2021TotalUnknown (heat)Electricity",0
"725",2021,"Total","Heat total","Electricity","2021TotalHeat totalElectricity",6864.36963854955
"726",2021,"Total","Computing","Electricity","2021TotalComputingElectricity",712.765590114844
"727",2021,"Total","Cooling and ventilation","Electricity","2021TotalCooling and ventilationElectricity",918.878804978612
"728",2021,"Total","Lighting and appliances","Electricity","2021TotalLighting and appliancesElectricity",8699.77549009049
"729",2021,"Total","Motors","Electricity","2021TotalMotorsElectricity",2507.05310416278
"730",2021,"Total","Compressed air","Electricity","2021TotalCompressed airElectricity",690.668133203145
"731",2021,"Total","Refrigeration","Electricity","2021TotalRefrigerationElectricity",427.674150882563
"732",2021,"Total","Other","Electricity","2021TotalOtherElectricity",2554.84277895499
"733",2021,"Total","Transport","Electricity","2021TotalTransportElectricity",474.99
"734",2021,"Total","Non-heat total","Electricity","2021TotalNon-heat totalElectricity",16986.6480523874
"735",2021,"Total","Overall total","Electricity","2021TotalOverall totalElectricity",23851.017690937
"736",2021,"Total","Overall total excluding transport","Electricity","2021TotalOverall total excluding transportElectricity",23376.027690937
"737",2020,"Domestic","Space heating","Electricity","2020DomesticSpace heatingElectricity",1400.94484340672
"738",2020,"Domestic","Water heating","Electricity","2020DomesticWater heatingElectricity",406.16029503443
"739",2020,"Domestic","Cooking/catering","Electricity","2020DomesticCooking/cateringElectricity",546.428106416686
"740",2020,"Domestic","Heat total","Electricity","2020DomesticHeat totalElectricity",2353.53324485784
"741",2020,"Domestic","Lighting and appliances","Electricity","2020DomesticLighting and appliancesElectricity",6930.10675514216
"742",2020,"Domestic","Overall total","Electricity","2020DomesticOverall totalElectricity",9283.64
"743",2020,"Service","Space heating","Electricity","2020ServiceSpace heatingElectricity",659.56284022549
"744",2020,"Service","Water heating","Electricity","2020ServiceWater heatingElectricity",139.972899610507
"745",2020,"Service","Cooking/catering","Electricity","2020ServiceCooking/cateringElectricity",657.479907853294
"746",2020,"Service","Heat total","Electricity","2020ServiceHeat totalElectricity",1457.01564768929
"747",2020,"Service","Computing","Electricity","2020ServiceComputingElectricity",712.765590114844
"748",2020,"Service","Cooling and ventilation","Electricity","2020ServiceCooling and ventilationElectricity",918.878804978612
"749",2020,"Service","Lighting","Electricity","2020ServiceLightingElectricity",1565.14326317928
"750",2020,"Service","Other","Electricity","2020ServiceOtherElectricity",2199.15669404823
"751",2020,"Service","Overall total","Electricity","2020ServiceOverall totalElectricity",6852.96000001025
"752",2020,"Industry","Space heating","Electricity","2020IndustrySpace heatingElectricity",549.503651076871
"753",2020,"Industry","High temperature process","Electricity","2020IndustryHigh temperature processElectricity",746.873879275236
"754",2020,"Industry","Low temperature process","Electricity","2020IndustryLow temperature processElectricity",1262.90634950243
"755",2020,"Industry","Drying/separation","Electricity","2020IndustryDrying/separationElectricity",462.239175221169
"756",2020,"Industry","Unknown (heat)","Electricity","2020IndustryUnknown (heat)Electricity",0
"757",2020,"Industry","Heat total","Electricity","2020IndustryHeat totalElectricity",3021.5230550757
"758",2020,"Industry","Motors","Electricity","2020IndustryMotorsElectricity",2507.05310416278
"759",2020,"Industry","Compressed air","Electricity","2020IndustryCompressed airElectricity",690.668133203145
"760",2020,"Industry","Lighting","Electricity","2020IndustryLightingElectricity",204.525471769047
"761",2020,"Industry","Refrigeration","Electricity","2020IndustryRefrigerationElectricity",427.674150882563
"762",2020,"Industry","Other","Electricity","2020IndustryOtherElectricity",355.68608490676
"763",2020,"Industry","Overall total","Electricity","2020IndustryOverall totalElectricity",7207.13
"764",2020,"Transport","Non-heat purposes","Electricity","2020TransportNon-heat purposesElectricity",474.99
"765",2020,"Total","Space heating","Electricity","2020TotalSpace heatingElectricity",2610.01133470908
"766",2020,"Total","Water heating","Electricity","2020TotalWater heatingElectricity",546.133194644937
"767",2020,"Total","Cooking/catering","Electricity","2020TotalCooking/cateringElectricity",1203.90801426998
"768",2020,"Total","Process use","Electricity","2020TotalProcess useElectricity",2009.78022877766
"769",2020,"Total","Drying/separation","Electricity","2020TotalDrying/separationElectricity",462.239175221169
"770",2020,"Total","Unknown (heat)","Electricity","2020TotalUnknown (heat)Electricity",0
"771",2020,"Total","Heat total","Electricity","2020TotalHeat totalElectricity",6832.07194762284
"772",2020,"Total","Computing","Electricity","2020TotalComputingElectricity",712.765590114844
"773",2020,"Total","Cooling and ventilation","Electricity","2020TotalCooling and ventilationElectricity",918.878804978612
"774",2020,"Total","Lighting and appliances","Electricity","2020TotalLighting and appliancesElectricity",8699.77549009049
"775",2020,"Total","Motors","Electricity","2020TotalMotorsElectricity",2507.05310416278
"776",2020,"Total","Compressed air","Electricity","2020TotalCompressed airElectricity",690.668133203145
"777",2020,"Total","Refrigeration","Electricity","2020TotalRefrigerationElectricity",427.674150882563
"778",2020,"Total","Other","Electricity","2020TotalOtherElectricity",2554.84277895499
"779",2020,"Total","Transport","Electricity","2020TotalTransportElectricity",474.99
"780",2020,"Total","Non-heat total","Electricity","2020TotalNon-heat totalElectricity",16986.6480523874
"781",2020,"Total","Overall total","Electricity","2020TotalOverall totalElectricity",23818.7200000103
"782",2020,"Total","Overall total excluding transport","Electricity","2020TotalOverall total excluding transportElectricity",23343.7300000103
"783",2019,"Domestic","Space heating","Electricity","2019DomesticSpace heatingElectricity",1418.30491614532
"784",2019,"Domestic","Water heating","Electricity","2019DomesticWater heatingElectricity",389.755551988742
"785",2019,"Domestic","Cooking/catering","Electricity","2019DomesticCooking/cateringElectricity",498.584078038027
"786",2019,"Domestic","Heat total","Electricity","2019DomesticHeat totalElectricity",2306.64454617209
"787",2019,"Domestic","Lighting and appliances","Electricity","2019DomesticLighting and appliancesElectricity",6611.63545382791
"788",2019,"Domestic","Overall total","Electricity","2019DomesticOverall totalElectricity",8918.28
"789",2019,"Service","Space heating","Electricity","2019ServiceSpace heatingElectricity",746.095718575624
"790",2019,"Service","Water heating","Electricity","2019ServiceWater heatingElectricity",158.336969196614
"791",2019,"Service","Cooking/catering","Electricity","2019ServiceCooking/cateringElectricity",743.73951105422
"792",2019,"Service","Heat total","Electricity","2019ServiceHeat totalElectricity",1648.17219882646
"793",2019,"Service","Computing","Electricity","2019ServiceComputingElectricity",806.278526775259
"794",2019,"Service","Cooling and ventilation","Electricity","2019ServiceCooling and ventilationElectricity",1039.43324346479
"795",2019,"Service","Lighting","Electricity","2019ServiceLightingElectricity",1770.48586790656
"796",2019,"Service","Other","Electricity","2019ServiceOtherElectricity",2487.68016303853
"797",2019,"Service","Overall total","Electricity","2019ServiceOverall totalElectricity",7752.0500000116
"798",2019,"Industry","Space heating","Electricity","2019IndustrySpace heatingElectricity",619.907046162889
"799",2019,"Industry","High temperature process","Electricity","2019IndustryHigh temperature processElectricity",803.336025319395
"800",2019,"Industry","Low temperature process","Electricity","2019IndustryLow temperature processElectricity",1385.53549836299
"801",2019,"Industry","Drying/separation","Electricity","2019IndustryDrying/separationElectricity",503.860361990576
"802",2019,"Industry","Unknown (heat)","Electricity","2019IndustryUnknown (heat)Electricity",0
"803",2019,"Industry","Heat total","Electricity","2019IndustryHeat totalElectricity",3312.63893183585
"804",2019,"Industry","Motors","Electricity","2019IndustryMotorsElectricity",2682.73659135078
"805",2019,"Industry","Compressed air","Electricity","2019IndustryCompressed airElectricity",755.244376539972
"806",2019,"Industry","Lighting","Electricity","2019IndustryLightingElectricity",229.314405734132
"807",2019,"Industry","Refrigeration","Electricity","2019IndustryRefrigerationElectricity",443.450744104747
"808",2019,"Industry","Other","Electricity","2019IndustryOtherElectricity",385.684950434525
"809",2019,"Industry","Overall total","Electricity","2019IndustryOverall totalElectricity",7809.07
"810",2019,"Transport","Non-heat purposes","Electricity","2019TransportNon-heat purposesElectricity",477.79
"811",2019,"Total","Space heating","Electricity","2019TotalSpace heatingElectricity",2784.30768088383
"812",2019,"Total","Water heating","Electricity","2019TotalWater heatingElectricity",548.092521185357
"813",2019,"Total","Cooking/catering","Electricity","2019TotalCooking/cateringElectricity",1242.32358909225
"814",2019,"Total","Process use","Electricity","2019TotalProcess useElectricity",2188.87152368238
"815",2019,"Total","Drying/separation","Electricity","2019TotalDrying/separationElectricity",503.860361990576
"816",2019,"Total","Unknown (heat)","Electricity","2019TotalUnknown (heat)Electricity",0
"817",2019,"Total","Heat total","Electricity","2019TotalHeat totalElectricity",7267.45567683439
"818",2019,"Total","Computing","Electricity","2019TotalComputingElectricity",806.278526775259
"819",2019,"Total","Cooling and ventilation","Electricity","2019TotalCooling and ventilationElectricity",1039.43324346479
"820",2019,"Total","Lighting and appliances","Electricity","2019TotalLighting and appliancesElectricity",8611.43572746861
"821",2019,"Total","Motors","Electricity","2019TotalMotorsElectricity",2682.73659135078
"822",2019,"Total","Compressed air","Electricity","2019TotalCompressed airElectricity",755.244376539972
"823",2019,"Total","Refrigeration","Electricity","2019TotalRefrigerationElectricity",443.450744104747
"824",2019,"Total","Other","Electricity","2019TotalOtherElectricity",2873.36511347306
"825",2019,"Total","Transport","Electricity","2019TotalTransportElectricity",477.79
"826",2019,"Total","Non-heat total","Electricity","2019TotalNon-heat totalElectricity",17689.7343231772
"827",2019,"Total","Overall total","Electricity","2019TotalOverall totalElectricity",24957.1900000116
"828",2019,"Total","Overall total excluding transport","Electricity","2019TotalOverall total excluding transportElectricity",24479.4000000116
"829",2018,"Domestic","Space heating","Electricity","2018DomesticSpace heatingElectricity",1436.69554533649
"830",2018,"Domestic","Water heating","Electricity","2018DomesticWater heatingElectricity",394.809366404972
"831",2018,"Domestic","Cooking/catering","Electricity","2018DomesticCooking/cateringElectricity",505.049031233521
"832",2018,"Domestic","Heat total","Electricity","2018DomesticHeat totalElectricity",2336.55394297498
"833",2018,"Domestic","Lighting and appliances","Electricity","2018DomesticLighting and appliancesElectricity",6697.36605702501
"834",2018,"Domestic","Overall total","Electricity","2018DomesticOverall totalElectricity",9033.92
"835",2018,"Service","Space heating","Electricity","2018ServiceSpace heatingElectricity",763.081991028899
"836",2018,"Service","Water heating","Electricity","2018ServiceWater heatingElectricity",161.941808135154
"837",2018,"Service","Cooking/catering","Electricity","2018ServiceCooking/cateringElectricity",760.672140011201
"838",2018,"Service","Heat total","Electricity","2018ServiceHeat totalElectricity",1685.69593917525
"839",2018,"Service","Computing","Electricity","2018ServiceComputingElectricity",824.634974062178
"840",2018,"Service","Cooling and ventilation","Electricity","2018ServiceCooling and ventilationElectricity",1063.0978964455
"841",2018,"Service","Lighting","Electricity","2018ServiceLightingElectricity",1810.79430900625
"842",2018,"Service","Other","Electricity","2018ServiceOtherElectricity",2544.31688132269
"843",2018,"Service","Overall total","Electricity","2018ServiceOverall totalElectricity",7928.54000001187
"844",2018,"Industry","Space heating","Electricity","2018IndustrySpace heatingElectricity",630.415076276982
"845",2018,"Industry","High temperature process","Electricity","2018IndustryHigh temperature processElectricity",804.078702330001
"846",2018,"Industry","Low temperature process","Electricity","2018IndustryLow temperature processElectricity",1416.04455992608
"847",2018,"Industry","Drying/separation","Electricity","2018IndustryDrying/separationElectricity",515.810851835866
"848",2018,"Industry","Unknown (heat)","Electricity","2018IndustryUnknown (heat)Electricity",0
"849",2018,"Industry","Heat total","Electricity","2018IndustryHeat totalElectricity",3366.34919036893
"850",2018,"Industry","Motors","Electricity","2018IndustryMotorsElectricity",2735.88448413858
"851",2018,"Industry","Compressed air","Electricity","2018IndustryCompressed airElectricity",770.734344729887
"852",2018,"Industry","Lighting","Electricity","2018IndustryLightingElectricity",231.494385685774
"853",2018,"Industry","Refrigeration","Electricity","2018IndustryRefrigerationElectricity",454.935869296125
"854",2018,"Industry","Other","Electricity","2018IndustryOtherElectricity",392.251725780701
"855",2018,"Industry","Overall total","Electricity","2018IndustryOverall totalElectricity",7951.65
"856",2018,"Transport","Non-heat purposes","Electricity","2018TransportNon-heat purposesElectricity",428.51
"857",2018,"Total","Space heating","Electricity","2018TotalSpace heatingElectricity",2830.19261264237
"858",2018,"Total","Water heating","Electricity","2018TotalWater heatingElectricity",556.751174540127
"859",2018,"Total","Cooking/catering","Electricity","2018TotalCooking/cateringElectricity",1265.72117124472
"860",2018,"Total","Process use","Electricity","2018TotalProcess useElectricity",2220.12326225608
"861",2018,"Total","Drying/separation","Electricity","2018TotalDrying/separationElectricity",515.810851835866
"862",2018,"Total","Unknown (heat)","Electricity","2018TotalUnknown (heat)Electricity",0
"863",2018,"Total","Heat total","Electricity","2018TotalHeat totalElectricity",7388.59907251917
"864",2018,"Total","Computing","Electricity","2018TotalComputingElectricity",824.634974062178
"865",2018,"Total","Cooling and ventilation","Electricity","2018TotalCooling and ventilationElectricity",1063.0978964455
"866",2018,"Total","Lighting and appliances","Electricity","2018TotalLighting and appliancesElectricity",8739.65475171704
"867",2018,"Total","Motors","Electricity","2018TotalMotorsElectricity",2735.88448413858
"868",2018,"Total","Compressed air","Electricity","2018TotalCompressed airElectricity",770.734344729887
"869",2018,"Total","Refrigeration","Electricity","2018TotalRefrigerationElectricity",454.935869296125
"870",2018,"Total","Other","Electricity","2018TotalOtherElectricity",2936.56860710339
"871",2018,"Total","Transport","Electricity","2018TotalTransportElectricity",428.51
"872",2018,"Total","Non-heat total","Electricity","2018TotalNon-heat totalElectricity",17954.0209274927
"873",2018,"Total","Overall total","Electricity","2018TotalOverall totalElectricity",25342.6200000119
"874",2018,"Total","Overall total excluding transport","Electricity","2018TotalOverall total excluding transportElectricity",24914.1100000119
"875",2017,"Domestic","Space heating","Electricity","2017DomesticSpace heatingElectricity",1511.02379043577
"876",2017,"Domestic","Water heating","Electricity","2017DomesticWater heatingElectricity",390.084553635433
"877",2017,"Domestic","Cooking/catering","Electricity","2017DomesticCooking/cateringElectricity",497.2283209352
"878",2017,"Domestic","Heat total","Electricity","2017DomesticHeat totalElectricity",2398.3366650064
"879",2017,"Domestic","Lighting and appliances","Electricity","2017DomesticLighting and appliancesElectricity",6661.6733349936
"880",2017,"Domestic","Overall total","Electricity","2017DomesticOverall totalElectricity",9060.01
"881",2017,"Service","Space heating","Electricity","2017ServiceSpace heatingElectricity",767.907713170704
"882",2017,"Service","Water heating","Electricity","2017ServiceWater heatingElectricity",162.965926353628
"883",2017,"Service","Cooking/catering","Electricity","2017ServiceCooking/cateringElectricity",765.482622281601
"884",2017,"Service","Heat total","Electricity","2017ServiceHeat totalElectricity",1696.35626180593
"885",2017,"Service","Computing","Electricity","2017ServiceComputingElectricity",829.849956593575
"886",2017,"Service","Cooling and ventilation","Electricity","2017ServiceCooling and ventilationElectricity",1069.82091588259
"887",2017,"Service","Lighting","Electricity","2017ServiceLightingElectricity",1822.24575235566
"888",2017,"Service","Other","Electricity","2017ServiceOtherElectricity",2560.40711337418
"889",2017,"Service","Overall total","Electricity","2017ServiceOverall totalElectricity",7978.68000001194
"890",2017,"Industry","Space heating","Electricity","2017IndustrySpace heatingElectricity",620.689351420698
"891",2017,"Industry","High temperature process","Electricity","2017IndustryHigh temperature processElectricity",821.073875874067
"892",2017,"Industry","Low temperature process","Electricity","2017IndustryLow temperature processElectricity",1381.78263699665
"893",2017,"Industry","Drying/separation","Electricity","2017IndustryDrying/separationElectricity",511.649919678424
"894",2017,"Industry","Unknown (heat)","Electricity","2017IndustryUnknown (heat)Electricity",0
"895",2017,"Industry","Heat total","Electricity","2017IndustryHeat totalElectricity",3335.19578396984
"896",2017,"Industry","Motors","Electricity","2017IndustryMotorsElectricity",2664.03134714168
"897",2017,"Industry","Compressed air","Electricity","2017IndustryCompressed airElectricity",759.65592762316
"898",2017,"Industry","Lighting","Electricity","2017IndustryLightingElectricity",228.987679195371
"899",2017,"Industry","Refrigeration","Electricity","2017IndustryRefrigerationElectricity",436.848981812738
"900",2017,"Industry","Other","Electricity","2017IndustryOtherElectricity",386.954207508924
"901",2017,"Industry","Overall total","Electricity","2017IndustryOverall totalElectricity",7811.67392725171
"902",2017,"Transport","Non-heat purposes","Electricity","2017TransportNon-heat purposesElectricity",415.59
"903",2017,"Total","Space heating","Electricity","2017TotalSpace heatingElectricity",2899.62085502717
"904",2017,"Total","Water heating","Electricity","2017TotalWater heatingElectricity",553.050479989061
"905",2017,"Total","Cooking/catering","Electricity","2017TotalCooking/cateringElectricity",1262.7109432168
"906",2017,"Total","Process use","Electricity","2017TotalProcess useElectricity",2202.85651287072
"907",2017,"Total","Drying/separation","Electricity","2017TotalDrying/separationElectricity",511.649919678424
"908",2017,"Total","Unknown (heat)","Electricity","2017TotalUnknown (heat)Electricity",0
"909",2017,"Total","Heat total","Electricity","2017TotalHeat totalElectricity",7429.88871078217
"910",2017,"Total","Computing","Electricity","2017TotalComputingElectricity",829.849956593575
"911",2017,"Total","Cooling and ventilation","Electricity","2017TotalCooling and ventilationElectricity",1069.82091588259
"912",2017,"Total","Lighting and appliances","Electricity","2017TotalLighting and appliancesElectricity",8712.90676654463
"913",2017,"Total","Motors","Electricity","2017TotalMotorsElectricity",2664.03134714168
"914",2017,"Total","Compressed air","Electricity","2017TotalCompressed airElectricity",759.65592762316
"915",2017,"Total","Refrigeration","Electricity","2017TotalRefrigerationElectricity",436.848981812738
"916",2017,"Total","Other","Electricity","2017TotalOtherElectricity",2947.3613208831
"917",2017,"Total","Transport","Electricity","2017TotalTransportElectricity",415.59
"918",2017,"Total","Non-heat total","Electricity","2017TotalNon-heat totalElectricity",17836.0652164815
"919",2017,"Total","Overall total","Electricity","2017TotalOverall totalElectricity",25265.9539272637
"920",2017,"Total","Overall total excluding transport","Electricity","2017TotalOverall total excluding transportElectricity",24850.3639272637
"921",2021,"Domestic","Space heating","Heat sold","2021DomesticSpace heatingHeat sold",260.44
"924",2021,"Domestic","Heat total","Heat sold","2021DomesticHeat totalHeat sold",260.44
"925",2021,"Domestic","Lighting and appliances","Heat sold","2021DomesticLighting and appliancesHeat sold",0
"926",2021,"Domestic","Overall total","Heat sold","2021DomesticOverall totalHeat sold",260.44
"927",2021,"Service","Space heating","Heat sold","2021ServiceSpace heatingHeat sold",246.252066196825
"928",2021,"Service","Water heating","Heat sold","2021ServiceWater heatingHeat sold",16.271308007129
"929",2021,"Service","Cooking/catering","Heat sold","2021ServiceCooking/cateringHeat sold",0
"930",2021,"Service","Heat total","Heat sold","2021ServiceHeat totalHeat sold",262.523374203954
"931",2021,"Service","Computing","Heat sold","2021ServiceComputingHeat sold",0
"932",2021,"Service","Cooling and ventilation","Heat sold","2021ServiceCooling and ventilationHeat sold",0.0478636250034596
"933",2021,"Service","Lighting","Heat sold","2021ServiceLightingHeat sold",0
"934",2021,"Service","Other","Heat sold","2021ServiceOtherHeat sold",0
"935",2021,"Service","Overall total","Heat sold","2021ServiceOverall totalHeat sold",262.571237828957
"936",2021,"Industry","Space heating","Heat sold","2021IndustrySpace heatingHeat sold",0
"937",2021,"Industry","High temperature process","Heat sold","2021IndustryHigh temperature processHeat sold",0
"938",2021,"Industry","Low temperature process","Heat sold","2021IndustryLow temperature processHeat sold",0
"939",2021,"Industry","Drying/separation","Heat sold","2021IndustryDrying/separationHeat sold",0
"940",2021,"Industry","Unknown (heat)","Heat sold","2021IndustryUnknown (heat)Heat sold",706.38
"941",2021,"Industry","Heat total","Heat sold","2021IndustryHeat totalHeat sold",706.38
"942",2021,"Industry","Motors","Heat sold","2021IndustryMotorsHeat sold",0
"943",2021,"Industry","Compressed air","Heat sold","2021IndustryCompressed airHeat sold",0
"944",2021,"Industry","Lighting","Heat sold","2021IndustryLightingHeat sold",0
"945",2021,"Industry","Refrigeration","Heat sold","2021IndustryRefrigerationHeat sold",0
"946",2021,"Industry","Other","Heat sold","2021IndustryOtherHeat sold",0
"947",2021,"Industry","Overall total","Heat sold","2021IndustryOverall totalHeat sold",706.38
"948",2021,"Transport","Non-heat purposes","Heat sold","2021TransportNon-heat purposesHeat sold",0
"949",2021,"Total","Space heating","Heat sold","2021TotalSpace heatingHeat sold",506.692066196825
"950",2021,"Total","Water heating","Heat sold","2021TotalWater heatingHeat sold",16.271308007129
"951",2021,"Total","Cooking/catering","Heat sold","2021TotalCooking/cateringHeat sold",0
"952",2021,"Total","Process use","Heat sold","2021TotalProcess useHeat sold",0
"953",2021,"Total","Drying/separation","Heat sold","2021TotalDrying/separationHeat sold",0
"954",2021,"Total","Unknown (heat)","Heat sold","2021TotalUnknown (heat)Heat sold",706.38
"955",2021,"Total","Heat total","Heat sold","2021TotalHeat totalHeat sold",1229.34337420395
"956",2021,"Total","Computing","Heat sold","2021TotalComputingHeat sold",0
"957",2021,"Total","Cooling and ventilation","Heat sold","2021TotalCooling and ventilationHeat sold",0.0478636250034596
"958",2021,"Total","Lighting and appliances","Heat sold","2021TotalLighting and appliancesHeat sold",0
"959",2021,"Total","Motors","Heat sold","2021TotalMotorsHeat sold",0
"960",2021,"Total","Compressed air","Heat sold","2021TotalCompressed airHeat sold",0
"961",2021,"Total","Refrigeration","Heat sold","2021TotalRefrigerationHeat sold",0
"962",2021,"Total","Other","Heat sold","2021TotalOtherHeat sold",0
"963",2021,"Total","Transport","Heat sold","2021TotalTransportHeat sold",0
"964",2021,"Total","Non-heat total","Heat sold","2021TotalNon-heat totalHeat sold",0.0478636250034596
"965",2021,"Total","Overall total","Heat sold","2021TotalOverall totalHeat sold",1229.39123782896
"966",2021,"Total","Overall total excluding transport","Heat sold","2021TotalOverall total excluding transportHeat sold",1229.39123782896
"967",2020,"Domestic","Space heating","Heat sold","2020DomesticSpace heatingHeat sold",260.44
"970",2020,"Domestic","Heat total","Heat sold","2020DomesticHeat totalHeat sold",260.44
"971",2020,"Domestic","Lighting and appliances","Heat sold","2020DomesticLighting and appliancesHeat sold",0
"972",2020,"Domestic","Overall total","Heat sold","2020DomesticOverall totalHeat sold",260.44
"973",2020,"Service","Space heating","Heat sold","2020ServiceSpace heatingHeat sold",246.252066196825
"974",2020,"Service","Water heating","Heat sold","2020ServiceWater heatingHeat sold",16.271308007129
"975",2020,"Service","Cooking/catering","Heat sold","2020ServiceCooking/cateringHeat sold",0
"976",2020,"Service","Heat total","Heat sold","2020ServiceHeat totalHeat sold",262.523374203954
"977",2020,"Service","Computing","Heat sold","2020ServiceComputingHeat sold",0
"978",2020,"Service","Cooling and ventilation","Heat sold","2020ServiceCooling and ventilationHeat sold",0.0478636250034596
"979",2020,"Service","Lighting","Heat sold","2020ServiceLightingHeat sold",0
"980",2020,"Service","Other","Heat sold","2020ServiceOtherHeat sold",0
"981",2020,"Service","Overall total","Heat sold","2020ServiceOverall totalHeat sold",262.571237828957
"982",2020,"Industry","Space heating","Heat sold","2020IndustrySpace heatingHeat sold",0
"983",2020,"Industry","High temperature process","Heat sold","2020IndustryHigh temperature processHeat sold",0
"984",2020,"Industry","Low temperature process","Heat sold","2020IndustryLow temperature processHeat sold",0
"985",2020,"Industry","Drying/separation","Heat sold","2020IndustryDrying/separationHeat sold",0
"986",2020,"Industry","Unknown (heat)","Heat sold","2020IndustryUnknown (heat)Heat sold",706.38
"987",2020,"Industry","Heat total","Heat sold","2020IndustryHeat totalHeat sold",706.38
"988",2020,"Industry","Motors","Heat sold","2020IndustryMotorsHeat sold",0
"989",2020,"Industry","Compressed air","Heat sold","2020IndustryCompressed airHeat sold",0
"990",2020,"Industry","Lighting","Heat sold","2020IndustryLightingHeat sold",0
"991",2020,"Industry","Refrigeration","Heat sold","2020IndustryRefrigerationHeat sold",0
"992",2020,"Industry","Other","Heat sold","2020IndustryOtherHeat sold",0
"993",2020,"Industry","Overall total","Heat sold","2020IndustryOverall totalHeat sold",706.38
"994",2020,"Transport","Non-heat purposes","Heat sold","2020TransportNon-heat purposesHeat sold",0
"995",2020,"Total","Space heating","Heat sold","2020TotalSpace heatingHeat sold",506.692066196825
"996",2020,"Total","Water heating","Heat sold","2020TotalWater heatingHeat sold",16.271308007129
"997",2020,"Total","Cooking/catering","Heat sold","2020TotalCooking/cateringHeat sold",0
"998",2020,"Total","Process use","Heat sold","2020TotalProcess useHeat sold",0
"999",2020,"Total","Drying/separation","Heat sold","2020TotalDrying/separationHeat sold",0
"1000",2020,"Total","Unknown (heat)","Heat sold","2020TotalUnknown (heat)Heat sold",706.38
"1001",2020,"Total","Heat total","Heat sold","2020TotalHeat totalHeat sold",1229.34337420395
"1002",2020,"Total","Computing","Heat sold","2020TotalComputingHeat sold",0
"1003",2020,"Total","Cooling and ventilation","Heat sold","2020TotalCooling and ventilationHeat sold",0.0478636250034596
"1004",2020,"Total","Lighting and appliances","Heat sold","2020TotalLighting and appliancesHeat sold",0
"1005",2020,"Total","Motors","Heat sold","2020TotalMotorsHeat sold",0
"1006",2020,"Total","Compressed air","Heat sold","2020TotalCompressed airHeat sold",0
