"Year","Total Production","Crude Oil and NGL","Natural Gas"
1999,74,91,49
2000,71,91,46
2001,72,91,49
2002,76,92,57
2003,75,92,56
2004,75,92,57
2005,76,93,58
2006,78,93,61
2007,79,95,60
2008,78,95,60
2009,80,95,61
2010,80,95,60
2011,77,94,56
2012,74,94,49
2013,75,94,51
2014,75,94,53
2015,79,95,58
2016,82,95,65
2017,81,96,62
