"Year","Renewables","Target"
"2005",15.5,100
"2006",16.8,100
"2007",19.7,100
"2008",22.1,100
"2009",27.2,100
"2010",24,100
"2011",37,100
"2012",39.2,100
"2013",44.5,100
"2014",49.8,100
"2015",59.5,100
"2016",54.4,100
"2017",70.1,100
"2018", ,100
"2019", ,100
"2020", ,100
