"Countries","Renewables"
"Sweden",68.6
"Finland",53.7
"Latvia",51.9
"Estonia",51.2
"Lithuania",46.5
"Denmark",41.7
"Croatia",37.6
"Portugal",35.1
"Slovenia",34
"Austria",33.3
"Bulgaria",30
"Romania",26.9
"Greece",24.2
"Cyprus",23
"France",21.1
"Hungary",20.8
"Czechia",19.9
"EU (28)",19.1
"Italy",18.9
"Spain",16.8
"Malta",15.3
"Poland",14.7
"Germany",13
"Slovakia",9.9
"Belgium",8.1
"Luxembourg",7.3
"United Kingdom",7
"Ireland",6.8
"Netherlands",5.5
"SCOTLAND",4.7
