"Year","Renewables","Target"
"2008",0.9,11
"2009",1,11
"2010",1.5,11
"2011",1.9,11
"2012",2.4,11
"2013",2.7,11
"2014",3.9,11
"2015",5.3,11
"2016",4.7,11
"2017",5.9,11
"2018", ,11
"2019", ,11
"2020", ,11
