"Year","Renewables","Target"
"2005",0.2,10
"2006",0.5,10
"2007",1,10
"2008",2.3,10
"2009",2.9,10
"2010",3.6,10
"2011",3.5,10
"2012",3.1,10
"2013",3.5,10
"2014",3.9,10
"2015",3.2,10
"2016",3.1,10
"2017",3.1,10
"2018", ,10
"2019", ,10
"2020", ,10
