"Countries","Renewables"
"Austria",72.6
"Sweden",64.9
"SCOTLAND",54.4
"Portugal",54.1
"Denmark",53.7
"Latvia",51.3
"Croatia",46.7
"Romania",42.7
"Spain",36.6
"Italy",34
"Finland",32.9
"Germany",32.2
"Slovenia",32.1
"EU (28)",29.6
"Ireland",27.2
"United Kingdom",24.6
"Greece",23.8
"Slovakia",22.5
"Bulgaria",19.2
"France",19.2
"Lithuania",16.8
"Belgium",15.8
"Estonia",15.5
"Czechia",13.6
"Poland",13.4
"Netherlands",12.5
"Cyprus",8.6
"Hungary",7.2
"Luxembourg",6.7
"Malta",5.6
