Quarter,Imports (France to UK),Exports (UK to France),Net imports (France to UK),Imports (Ireland to NI),Exports (NI to Ireland),Net imports (Ireland to NI),Imports (Netherlands to UK),Exports (UK to Netherlands),Net imports (Netherlands to UK),Imports (Ireland to Wales),Exports (Wales to Ireland),Net imports (Ireland to Wales),Imports (Belgium to UK),Exports (UK to Belgium),Net imports (Belgium to UK),Imports (Norway to UK),Exports (UK to Norway),Net imports (Norway to UK),UK total imports,UK total exports,UK total net imports,Transfers (Scotland to England),Transfers (England to Scotland),Net transfers (Scotland to England),Transfers (Scotland to NI),Transfers (NI to Scotland),Net transfers (Scotland to NI)
2000 Q4,3461.7,0,3461.7,19.289,44.323,-25.034,0,0,0,0,0,0,0,0,0,0,0,0,3480.989,44.323,3436.6659999999997,1657.22,10.63,1646.59,0,0,0
2001 Q1,3214.032,0,3214.032,37.239000000000004,12.849,24.39,0,0,0,0,0,0,0,0,0,0,0,0,3251.271,12.849,3238.4220000000005,2129.66,1.5,2128.16,0,0,0
2001 Q2,2614.72,0,2614.72,25.009,10.501999999999999,14.507,0,0,0,0,0,0,0,0,0,0,0,0,2639.729,10.501999999999999,2629.227,2419.393,0,2419.393,0,0,0
2001 Q3,2652.739,0,2652.739,18.239,29.369,-11.129999999999999,0,0,0,0,0,0,0,0,0,0,0,0,2670.978,29.369,2641.6090000000004,1888.0610000000001,0.467,1887.594,0,0,0
2001 Q4,2081.076,193.116,1887.9599999999998,20.43,17.808999999999997,2.6210000000000004,0,0,0,0,0,0,0,0,0,0,0,0,2101.506,210.925,1890.5810000000001,2258.9260000000004,0,2258.9260000000004,0,0,0
2002 Q1,1949.027,121.06800000000001,1827.9589999999998,19.833,24.540999999999997,-4.707999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1968.8600000000001,145.609,1823.251,2269.227,0.343,2268.884,91.496,0,91.496
2002 Q2,2747.0429999999997,24.552999999999997,2722.49,73.062,19.311,53.751,0,0,0,0,0,0,0,0,0,0,0,0,2820.105,43.86399999999999,2776.241,1855.114,8.221,1846.893,273,0,273
2002 Q3,1122.397,408.962,713.435,8.21,75.604,-67.394,0,0,0,0,0,0,0,0,0,0,0,0,1130.607,484.5659999999999,646.0409999999999,950.4689999999999,145.51,804.959,180.72,0,180.72
2002 Q4,3223.565,66.01599999999999,3157.549,39.322,28.519,10.803,0,0,0,0,0,0,0,0,0,0,0,0,3262.8869999999997,94.535,3168.352,1250.912,215.589,1035.323,270.297,0,270.297
2003 Q1,1285.759,519.444,766.3149999999998,48.745000000000005,15.725,33.02,0,0,0,0,0,0,0,0,0,0,0,0,1334.504,535.169,799.335,2179.032,68.821,2110.2110000000002,259.63599999999997,0,259.63599999999997
2003 Q2,1224.23,913.761,310.46899999999994,17.358999999999998,21.241999999999997,-3.883,0,0,0,0,0,0,0,0,0,0,0,0,1241.589,935.003,306.58599999999996,1673.3290000000002,113.857,1559.4720000000002,267.64099999999996,0,267.64099999999996
2003 Q3,704.5010000000001,902.313,-197.81199999999995,7.219,33.904,-26.685000000000002,0,0,0,0,0,0,0,0,0,0,0,0,711.7199999999999,936.2169999999999,-224.49699999999996,830.922,243.151,587.771,237.137,0,237.137
2003 Q4,1785.4610000000002,537.193,1248.268,46.025999999999996,15.405999999999999,30.619999999999997,0,0,0,0,0,0,0,0,0,0,0,0,1831.487,552.5989999999999,1278.888,1134.846,240.39700000000002,894.449,247.50100000000003,0,247.50100000000003
2004 Q1,2023.8819999999998,392.338,1631.544,0.134,344.99399999999997,-344.85999999999996,0,0,0,0,0,0,0,0,0,0,0,0,2024.016,737.332,1286.684,1582.4250000000002,203.77299999999997,1378.6520000000003,829.4770000000001,0,829.4770000000001
2004 Q2,2475.048,146.399,2328.649,0.108,407.88599999999997,-407.778,0,0,0,0,0,0,0,0,0,0,0,0,2475.156,554.285,1920.871,1294.159,276.963,1017.1960000000001,407.88599999999997,0,407.88599999999997
2004 Q3,2500.807,19.639,2481.168,0.001,426.30600000000004,-426.30499999999995,0,0,0,0,0,0,0,0,0,0,0,0,2500.808,445.94500000000005,2054.863,1639.554,146.656,1492.8980000000001,736.175,0,736.175
2004 Q4,3027.2660000000005,169.904,2857.362,0.076,395.019,-394.943,0,0,0,0,0,0,0,0,0,0,0,0,3027.342,564.923,2462.4190000000003,2053.379,162.022,1891.357,819.5429999999999,0,819.5429999999999
