"EmissionYear","Miscellaneous industrial/commercial combustion","Power stations"
"1990",0.00297431933869569,14.7496341500691
"1995",0.0064359141801834,16.7260784159627
"1998",0.00155720670353439,17.8029663688327
"1999",0.00419270120542803,16.7121705441785
"2000",0.0159665178293729,19.6500146710767
"2001",0.0168832164194939,18.8682967649726
"2002",0.018503238000227,17.2102948829659
"2003",0.022019031106339,17.6086780274864
"2004",0.0203046681566231,15.7873437506831
"2005",0.0158599342553037,14.0489160232148
"2006",0.00923644653724391,18.7629281913823
"2007",0.0119066348282893,15.5535901950162
"2008",0.0134791693816945,14.2729079019087
"2009",0.012993963757518,13.3708344816719
"2010",0.0128904174269178,15.7734930346627
"2011",0.0124597652495693,12.0677685980917
"2012",0.00659630967609139,12.7537827503801
"2013",0.00764256034036794,11.3864626249135
"2014",0.0106430166405096,9.7684732815156
"2015",0.00720954650416877,7.6907261716961
"2016",0.00639003943689699,2.4474502935039
"2017",0.00689192677506655,1.10284105896716
"2018",0.00704662288624838,2.06654182200655
"2019",0.0364497060075515,1.98616281564689
"2020",0.0383840140485255,1.70213537476915
"BaseYear",0.00297431933869569,14.7496341500691
