"EmissionYear","Electricity","Heat","Industry","Other","Transport","Total"
"1990",14.7407356548183,11.3882503163377,19.4839548092625,21.4267134676021,14.8860666176392,81.9257208656599
"1995",16.7135957570634,11.3186064125862,17.2213274024346,19.9704499491251,15.8457302318895,81.0697097530987
"1998",17.7907774436893,11.2357499160259,17.1472039680979,18.7601727340728,16.4927575756983,81.4266616375843
"1999",16.6921269324981,11.1922204962236,16.2329615052997,17.9372586799013,16.4153911905105,78.4699588044332
"2000",19.612171019332,10.8652515020954,16.5444006197167,17.5002968977962,15.7036439900892,80.2257640290295
"2001",18.8292696540714,11.3400692778541,16.6114626033594,16.6901320554907,15.5294866160395,79.0004202068151
"2002",17.1733843274447,10.1921200929012,15.6174918693209,16.1015297582459,15.8968730888651,74.9813991367778
"2003",17.5835371495582,10.0947396272027,15.5830109536856,16.0761256858276,15.6489241081327,74.9863375244068
"2004",15.7654755718411,10.3068619946803,15.5467480799997,15.1196922445512,15.6037140271141,72.3424919181864
"2005",14.0334949259486,10.2776342497661,16.1245504009287,14.5853890777332,15.748129685192,70.7691983395686
"2006",18.7449469519122,9.76982519946516,14.8918394768701,13.5779324759214,15.7023282359531,72.686872340122
"2007",15.5397450348924,9.38851229205932,14.3462549700837,13.1366677960403,15.9796109799242,68.3907910729999
"2008",14.2615780184176,9.87309580869728,13.842375039033,12.6310144718097,15.4390098348806,66.0470731728383
"2009",13.3523240343452,9.18586263393278,12.2231771304266,12.2046154056535,14.7627674008932,61.7287466052512
"2010",15.7494812040737,10.2007758618639,12.4090701446621,11.8092246397202,14.2779913132397,64.4465431635594
"2011",12.0481476243316,8.37974696031387,11.9063742349723,11.2248118972996,13.8495485951105,57.4086293120279
"2012",12.7338128440363,9.18301848324861,11.363483689492,10.8682501319131,13.5882679802767,57.7368331289667
"2013",11.3675644767299,9.08455161723501,11.358775568843,10.2930191823541,13.4448214725163,55.5487323176783
"2014",9.73476384840962,7.59616521137328,10.5914681842164,10.3601912515512,13.683866086472,51.9664545820226
"2015",7.6517613650279,7.92238388610193,10.7115631237323,11.2367116818152,13.9821649466164,51.5045850032937
"2016",2.40845436478761,8.09901870603867,11.2579687577682,10.6053133244443,14.4167963630761,46.7875515161148
"2017",1.06671669548853,7.83766485458776,11.4804710602844,10.6349139827396,14.7382310631115,45.7579976562117
"2018",2.02503283302201,8.0566987077243,11.3216347452449,11.0058032149086,14.5925728262184,47.0017423271182
"2019",1.71241713664088,7.86369189093559,10.5840540287266,11.6165176723798,14.4300865585535,46.2067672872364
"2020",1.43655171946802,7.65222749202038,10.2247321942626,10.6142246082444,10.7129532121859,40.6406892261813
"2021",1.30041291579838,8.21415887580727,9.60855610558503,10.8433904482522,11.644931999503,41.6114503449459
"BaseYear",14.7407356548183,11.3882503163377,19.4790284841878,21.4779184040196,14.8860666176392,81.9719994770026
