"TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"
"Slovenia"	2950	3608	3423	3035	3399	3252	3673	3092	3449	3741	3834.721	3795.738	3312.564	2957.285	4094.128	3460.965	3590.917	3265.976	4017.863	4714.589	4517.955	3561.916	3898.866	4629.432	6091.554	3807.104	4503.277	3868.344	4704.32	4479.396	4934.06	4712.511
"Slovakia"	1880	1408	1937	3467	4355	4880	4227	4064	4267	4474	4615	4927	5268	3480	4100	4638	4399	4451	4039.332	4367.561	5255	3778.187	4103	4848	4209	3866	4359	4324	3590	4356	4517	4258
"Finland"	10859	13197	15107	13476	11787	12925	11860	12242	15051	12780	14660	13205	10776	9591	15069.615	13784	11493.691	14177.206	17112.132	12686.03	12921.994	12445.039	16859.128	12838.601	13397.044	16768.698	15799.127	14771.469	13301.104	12420.475	15883.341	15791.129
"Sweden"	72503	63236	74332	74651	59100	68102	51740	69056	75000	71691	78584	79060	66360	53539.998	60123.331	72803	61722.206	66158.923	69069.322	65851.684	66397.788	66434	78932	61360.863	63762.967	75312.482	62017.56	65143	62210	65371	72389	73885
"Iceland"	4204	4204	4310	4466	4515	4682	4772	5207	5621	6047	6356	6578	6977	7088	7134.235	7019.286	7292.997	8393.735	12427.434	12279.343	12592.081	12506.84	12336.529	12862.843	12873.016	13780.77	13469.596	14058.722	13813.688	13461.466	13156.972	13803.999
"Norway"	121145	110134	116671	119233	111643	121530	103862	109775	115703	121452	141818	120463	129372	105480	108781	135688	119369	133656	139044	125283	116739	120279	141724	128138	135470	137302	142807	142366	138981.358	125289.331	141804.76	143933.458
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5935	5551	5641	3790	6418	6101	4580	6690
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1866	1750	1284	1539	2071	2750	1203.853	1477.087	2504.168	1751.65	1491	1843.191	1023.9	2113	1633.5	1447.8	2010.1
"Moldova"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	76	33.892	45	59	50	39.33	48	44	65	47	68
"North Macedonia"	491	848	848	522	695	801	850	900	1083	1389	1170	626	757	1374	1481.99	1491.78	1649.589	1010.031	840.092	1270.349	2431.471	1433.12	1040.767	1583.966	1206.651	1865.192	1897.344	1110.278	1791.366	1163.673	1277.144	1451.623
"Albania"	2848	3518	3226	3314	3771	4204	5726	5028	4921	5284	4594	3555	3512	4885	5466	5373	5431	2788	3797	5201	7567	4132	4725	6959	4724.441	5895	7781.702	4524.979	8552.152	5183.847	5280.901	8921.94
"Serbia"	7494.9	9568.5	9170.837	8062.259	8916.743	9901.869	11484.877	10498.839	10324.398	11143.617	9821.278	9887.668	9927.594	8737.309	10620.34	11410.575	10350.296	9463.358	9564	10541	11891	8667	9286	10202.821	11003	10080	10791.907	9153.238	10639.646	9457.175	9034.496	11284.41
"Türkiye"	23148	22683	26568	33951	30586	35541	40475	39816	42229	34677	30879	24010	33683	35330	46084	39560.6	44244.238	35850.829	33269.806	35958.369	51795.431	52338.602	57864.952	59420.464	40644.663	67145.605	67230.883	58218.462	59938.425	88822.776	78094.369	55926.81
"Kosovo"	0	0	0	0	0	0	0	0	0	0	52	52	52	52	113	112	101	94	76	120	156	104.625	95.579	143.303	150.989	139.932	245.262	179.068	272.652	212.92	262.826	296.962
"Georgia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8271.206	8335.337	8453.764	9329.241	9210.4	9949.4	8931.7	8248.2	10182.1
"SCOTLAND"	0	0	0	0	0	0	0	0	0	0	4665.3	3737.5	4455.4	2902	4474.8	4612.2	4224.9	4692.94	4704.47386	4858.903223	3258.107652	5329.64	4846.58	4369.47	5483.6	5814.03	4915.78	5356.2	4997.29	5382.73	6277.76	4880.92
