Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/07/2023 06:16,30/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",105400000,31/07/2023 11:30,
30/07/2023 19:14,24/07/2023,"Demand, Actual DM, LDZ(EA), D+6",8883222,30/07/2023 19:18,L
30/07/2023 19:14,24/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",34134526,30/07/2023 19:18,L
30/07/2023 06:16,29/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",100411111,30/07/2023 11:30,
30/07/2023 01:00,30/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12434086,31/07/2023 14:01,A
30/07/2023 01:00,30/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,31/07/2023 12:01,L
30/07/2023 01:00,30/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,31/07/2023 12:01,L
29/07/2023 19:14,23/07/2023,"Demand, Actual DM, LDZ(EA), D+6",7871812,29/07/2023 19:17,L
29/07/2023 19:14,23/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",27930644,29/07/2023 19:17,L
29/07/2023 06:16,28/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",139744444,29/07/2023 11:30,
29/07/2023 01:00,29/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12541897,30/07/2023 12:01,L
29/07/2023 01:00,29/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,30/07/2023 12:01,L
29/07/2023 01:00,29/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,30/07/2023 12:01,L
28/07/2023 19:16,22/07/2023,"Demand, Actual DM, LDZ(EA), D+6",8087789,28/07/2023 19:19,L
28/07/2023 19:16,22/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",33061218,28/07/2023 19:19,L
28/07/2023 06:16,27/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",174900000,28/07/2023 11:30,
28/07/2023 01:00,28/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",11778063,30/07/2023 12:01,A
28/07/2023 01:00,28/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,29/07/2023 12:01,L
28/07/2023 01:00,28/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,29/07/2023 12:01,L
27/07/2023 20:15,21/07/2023,"Demand, Actual DM, LDZ(EA), D+6",8737666,27/07/2023 20:19,L
27/07/2023 20:15,21/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",31029020,27/07/2023 20:19,L
27/07/2023 06:16,26/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",157688889,27/07/2023 11:30,
27/07/2023 01:00,27/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12220169,28/07/2023 12:01,L
27/07/2023 01:00,27/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,28/07/2023 12:01,L
27/07/2023 01:00,27/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,28/07/2023 12:01,L
26/07/2023 19:13,20/07/2023,"Demand, Actual DM, LDZ(EA), D+6",9091324,26/07/2023 19:16,L
26/07/2023 19:13,20/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",32564672,26/07/2023 19:16,L
26/07/2023 06:16,25/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",181377778,26/07/2023 11:30,
26/07/2023 01:00,26/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12431919,27/07/2023 14:01,A
26/07/2023 01:00,26/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,27/07/2023 12:01,L
26/07/2023 01:00,26/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,27/07/2023 12:01,L
25/07/2023 19:13,19/07/2023,"Demand, Actual DM, LDZ(EA), D+6",8871249,25/07/2023 19:17,L
25/07/2023 19:13,19/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",32372230,25/07/2023 19:17,L
25/07/2023 06:16,24/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",169488889,25/07/2023 11:30,
25/07/2023 01:00,25/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12073369,26/07/2023 14:01,A
25/07/2023 01:00,25/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,26/07/2023 12:01,L
25/07/2023 01:00,25/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,26/07/2023 12:01,L
24/07/2023 19:13,18/07/2023,"Demand, Actual DM, LDZ(EA), D+6",10001728,24/07/2023 19:16,L
24/07/2023 19:13,18/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",33798134,24/07/2023 19:16,L
24/07/2023 06:16,23/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",131844444,24/07/2023 11:30,
24/07/2023 01:00,24/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12149108,25/07/2023 12:01,L
24/07/2023 01:00,24/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,25/07/2023 12:01,L
24/07/2023 01:00,24/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,25/07/2023 12:01,L
23/07/2023 19:13,17/07/2023,"Demand, Actual DM, LDZ(EA), D+6",9637498,23/07/2023 19:17,L
23/07/2023 19:13,17/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",34367685,23/07/2023 19:17,L
23/07/2023 06:16,22/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",153600000,23/07/2023 11:30,
23/07/2023 01:00,23/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12148102,24/07/2023 12:01,L
23/07/2023 01:00,23/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,24/07/2023 12:01,L
23/07/2023 01:00,23/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,24/07/2023 12:01,L
22/07/2023 19:13,16/07/2023,"Demand, Actual DM, LDZ(EA), D+6",8620578,22/07/2023 19:16,L
22/07/2023 19:13,16/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",32329277,22/07/2023 19:16,L
22/07/2023 06:16,21/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",170600000,22/07/2023 11:30,
22/07/2023 01:00,22/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",12258972,23/07/2023 12:01,L
22/07/2023 01:00,22/07/2023,"NTS Energy Offtaken, Gowkhall, NTS Power Station",0,23/07/2023 12:01,L
22/07/2023 01:00,22/07/2023,"NTS Energy Offtaken, Peterhead, NTS Power Station",0,23/07/2023 12:01,L
21/07/2023 19:14,15/07/2023,"Demand, Actual DM, LDZ(EA), D+6",8128553,21/07/2023 19:17,L
21/07/2023 19:14,15/07/2023,"Demand, Actual NDM, LDZ(EA), D+6",31695173,21/07/2023 19:17,L
21/07/2023 06:16,20/07/2023,"NTS Energy Offtaken, Moffat, Interconnector",200555556,21/07/2023 11:30,
21/07/2023 01:00,21/07/2023,"NTS Energy Offtaken, BPGrngmouth, Industrial Offtake",11413730,22/07/2023 12:01,L
