Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"10/08/2022 01:00:00","10/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10764697.0000","11/08/2022 14:01:01","A"
"10/08/2022 01:00:00","10/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","2137778.0000","11/08/2022 12:01:01","L"
"10/08/2022 01:00:00","10/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","19383333.0000","11/08/2022 12:01:01","L"
"09/08/2022 19:13:15","03/08/2022","Demand, Actual DM, LDZ(SC), D+6","17040297.0000","09/08/2022 19:16:00","L"
"09/08/2022 19:13:15","03/08/2022","Demand, Actual NDM, LDZ(SC), D+6","38527717.0000","09/08/2022 19:16:00","L"
"09/08/2022 09:02:21","08/08/2022","NTS Energy Offtaken, Moffat, Interconnector","177744444.0000","09/08/2022 11:30:00",""
"09/08/2022 01:00:00","09/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10201825.0000","11/08/2022 12:01:01","A"
"09/08/2022 01:00:00","09/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10134230.0000","10/08/2022 13:01:01","L"
"09/08/2022 01:00:00","09/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","977778.0000","10/08/2022 13:01:01","L"
"08/08/2022 19:14:27","02/08/2022","Demand, Actual DM, LDZ(SC), D+6","16306938.0000","08/08/2022 19:17:00","L"
"08/08/2022 19:14:27","02/08/2022","Demand, Actual NDM, LDZ(SC), D+6","33277649.0000","08/08/2022 19:17:00","L"
"08/08/2022 08:49:38","07/08/2022","NTS Energy Offtaken, Moffat, Interconnector","131872222.0000","08/08/2022 11:30:00",""
"08/08/2022 01:00:00","08/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","9985278.0000","09/08/2022 14:01:01","A"
"08/08/2022 01:00:00","08/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","1941111.0000","09/08/2022 12:01:01","L"
"08/08/2022 01:00:00","08/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","16327778.0000","09/08/2022 12:01:01","L"
"07/08/2022 19:13:18","01/08/2022","Demand, Actual DM, LDZ(SC), D+6","16087332.0000","07/08/2022 19:17:01","L"
"07/08/2022 19:13:18","01/08/2022","Demand, Actual NDM, LDZ(SC), D+6","40309033.0000","07/08/2022 19:17:01","L"
"07/08/2022 08:35:19","06/08/2022","NTS Energy Offtaken, Moffat, Interconnector","122355556.0000","07/08/2022 11:30:00",""
"07/08/2022 01:00:00","07/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","9941275.0000","08/08/2022 14:01:00","A"
"07/08/2022 01:00:00","07/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","1950000.0000","08/08/2022 12:01:01","L"
"07/08/2022 01:00:00","07/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","16622222.0000","08/08/2022 12:01:01","L"
"06/08/2022 19:13:52","31/07/2022","Demand, Actual DM, LDZ(SC), D+6","14953064.0000","06/08/2022 19:17:01","L"
