Region,Year,variable,value
South Scotland,2021,Standard Credit,598.3087014406228
South Wales,2021,Standard Credit,612.529153091178
South West,2021,Standard Credit,621.5146455494713
Southern,2021,Standard Credit,622.4469537538438
West Midlands,2021,Standard Credit,599.8357196482234
Yorkshire,2021,Standard Credit,588.7441960838188
Great Britain,2021,Standard Credit,601.4966711411254
East Midlands,2022,Standard Credit,1240
Eastern,2022,Standard Credit,1270
London,2022,Standard Credit,1308
Merseyside & North Wales,2022,Standard Credit,1274
North East,2022,Standard Credit,1216
North Scotland,2022,Standard Credit,1243
North West,2022,Standard Credit,1263
South East,2022,Standard Credit,1259
South Scotland,2022,Standard Credit,1258
South Wales,2022,Standard Credit,1273
South West,2022,Standard Credit,1274
Southern,2022,Standard Credit,1289
West Midlands,2022,Standard Credit,1268
Yorkshire,2022,Standard Credit,1249
Great Britain,2022,Standard Credit,1266
East Midlands,2018,Direct Debit,567.0246185000623
Eastern,2018,Direct Debit,577.204940939462
London,2018,Direct Debit,606.6783421100384
Merseyside & North Wales,2018,Direct Debit,583.0937227660577
North East,2018,Direct Debit,559.3413730085581
North Scotland,2018,Direct Debit,581.5502911999392
North West,2018,Direct Debit,572.0561584914183
South East,2018,Direct Debit,596.4244664115822
South Scotland,2018,Direct Debit,576.8204140312432
South Wales,2018,Direct Debit,582.4142270797438
South West,2018,Direct Debit,597.4913413242915
Southern,2018,Direct Debit,597.7965147013588
West Midlands,2018,Direct Debit,572.636232274794
Yorkshire,2018,Direct Debit,558.0033952025925
Great Britain,2018,Direct Debit,579.9710652300472
East Midlands,2019,Direct Debit,577.5937791156306
Eastern,2019,Direct Debit,584.4671075239874
London,2019,Direct Debit,613.1589769590291
Merseyside & North Wales,2019,Direct Debit,593.6989060274946
North East,2019,Direct Debit,575.1789487286705
North Scotland,2019,Direct Debit,588.0825554989502
North West,2019,Direct Debit,587.7429291873759
South East,2019,Direct Debit,606.4593003385091
South Scotland,2019,Direct Debit,587.1244960030455
South Wales,2019,Direct Debit,590.3426476196325
South West,2019,Direct Debit,615.410328283142
Southern,2019,Direct Debit,608.1775939449072
West Midlands,2019,Direct Debit,587.6134025252568
Yorkshire,2019,Direct Debit,574.4454726966434
Great Britain,2019,Direct Debit,591.2847097248367
East Midlands,2020,Direct Debit,521.247455247784
Eastern,2020,Direct Debit,529.1554587294104
London,2020,Direct Debit,559.7831475205836
Merseyside & North Wales,2020,Direct Debit,542.4103857462754
North East,2020,Direct Debit,527.0413298778707
North Scotland,2020,Direct Debit,545.8565998185686
North West,2020,Direct Debit,533.24781222278
South East,2020,Direct Debit,553.4600532755425
South Scotland,2020,Direct Debit,543.5410103902008
South Wales,2020,Direct Debit,538.9326855425487
South West,2020,Direct Debit,560.2792361155288
Southern,2020,Direct Debit,558.9435990689879
West Midlands,2020,Direct Debit,535.3093744227609
Yorkshire,2020,Direct Debit,524.4377066790363
Great Britain,2020,Direct Debit,539.531402012427
East Midlands,2021,Direct Debit,532.3959765946588
Eastern,2021,Direct Debit,540.9259410639938
London,2021,Direct Debit,564.4991692771813
Merseyside & North Wales,2021,Direct Debit,549.3341736591547
North East,2021,Direct Debit,532.6084781661532
North Scotland,2021,Direct Debit,547.8257361544534
North West,2021,Direct Debit,543.7038037544672
South East,2021,Direct Debit,553.790368252207
South Scotland,2021,Direct Debit,547.5839064376162
South Wales,2021,Direct Debit,556.7037889725942
South West,2021,Direct Debit,564.9318588762122
Southern,2021,Direct Debit,565.5122349780231
West Midlands,2021,Direct Debit,544.3499842439818
Yorkshire,2021,Direct Debit,532.9900667361611
Great Britain,2021,Direct Debit,549.9685840683609
East Midlands,2022,Direct Debit,1069
Eastern,2022,Direct Debit,1085
London,2022,Direct Debit,1112
Merseyside & North Wales,2022,Direct Debit,1102
North East,2022,Direct Debit,1043
North Scotland,2022,Direct Debit,1062
North West,2022,Direct Debit,1087
South East,2022,Direct Debit,1092
South Scotland,2022,Direct Debit,1074
South Wales,2022,Direct Debit,1116
South West,2022,Direct Debit,1103
Southern,2022,Direct Debit,1112
West Midlands,2022,Direct Debit,1079
Yorkshire,2022,Direct Debit,1066
Great Britain,2022,Direct Debit,1086
East Midlands,2018,Total,581.0389761348365
Eastern,2018,Total,592.088515463284
London,2018,Total,621.2690407668969
Merseyside & North Wales,2018,Total,593.4250916770568
North East,2018,Total,572.4656171773415
North Scotland,2018,Total,593.1955951522463
North West,2018,Total,586.1501876427594
South East,2018,Total,607.8055946043875
South Scotland,2018,Total,588.6161258694178
South Wales,2018,Total,592.3436528327973
South West,2018,Total,608.0522880194115
Southern,2018,Total,610.7536648008493
West Midlands,2018,Total,587.8174994285282
Yorkshire,2018,Total,573.19503618869
Great Britain,2018,Total,593.2791094530045
East Midlands,2019,Total,593.817823783377
Eastern,2019,Total,602.1312900332127
London,2019,Total,635.49981971174725
Merseyside & North Wales,2019,Total,611.5113464986119
North East,2019,Total,591.9790973590513
North Scotland,2019,Total,605.9221974467306
North West,2019,Total,605.8176488578138
South East,2019,Total,621.9071616058465
South Scotland,2019,Total,603.9292128995413
South Wales,2019,Total,609.0004214663991
South West,2019,Total,631.4332126113459
Southern,2019,Total,624.7726986399459
West Midlands,2019,Total,607.1222953358358
Yorkshire,2019,Total,593.3561977072407
Great Britain,2019,Total,609.1600499664171
East Midlands,2020,Total,537.0770307646229
Eastern,2020,Total,546.108016101567
London,2020,Total,582.2205898997644
Merseyside & North Wales,2020,Total,561.1211866598946
North East,2020,Total,544.6097683848866
North Scotland,2020,Total,561.2959202820477
North West,2020,Total,552.6720468988187
South East,2020,Total,568.2229108053606
South Scotland,2020,Total,559.5876702653148
South Wales,2020,Total,556.3172786396124
South West,2020,Total,575.315330222319
Southern,2020,Total,573.8421785330553
West Midlands,2020,Total,553.6267262335479
Yorkshire,2020,Total,542.827945904897
Great Britain,2020,Total,556.8859704484511
East Midlands,2021,Total,544.9711695541507
Eastern,2021,Total,554.601872504913
London,2021,Total,583.4238196426566
Merseyside & North Wales,2021,Total,562.6169464891469
North East,2021,Total,545.4059822600849
North Scotland,2021,Total,561.5581289814828
North West,2021,Total,557.5597942946551
South East,2021,Total,565.2577174903611
South Scotland,2021,Total,560.0489980337173
South Wales,2021,Total,570.4099964942657
South West,2021,Total,576.7495623138792
Southern,2021,Total,576.6905670943814
West Midlands,2021,Total,557.9227118896084
Yorkshire,2021,Total,547.2003327218009
Great Britain,2021,Total,563.7849042092419
East Midlands,2022,Total,1112
Eastern,2022,Total,1133
London,2022,Total,1193
Merseyside & North Wales,2022,Total,1151
North East,2022,Total,1086
North Scotland,2022,Total,1115
North West,2022,Total,1135
South East,2022,Total,1131
South Scotland,2022,Total,1123
South Wales,2022,Total,1154
South West,2022,Total,1143
Southern,2022,Total,1149
West Midlands,2022,Total,1131
Yorkshire,2022,Total,1119
Great Britain,2022,Total,1134
