"Month Year"	"Exports to GB"	"Exports to NI"	"Price"	"WholesaleValue"
"Nov 2019"	1206.1555	112.701	46000	60667399
"Nov 2020"	1858.191	91.679	46000	89694020
"Nov 2021"	2086.9475	103.555	209000	457815022.5
"Nov 2022"	2077.461	63.9425	133000	284806665.5
"Oct 2010"	948.466	139.2785	43000	46773013.5
"Oct 2011"	1068.8185	0.0355	46000	49167284
"Oct 2012"	875.9605	170.4275	47000	49180236
"Oct 2013"	1262.1785	161.3495	48000	68329344
"Oct 2014"	1008.3865	101.6385	44000	48841100
"Oct 2015"	774.8785	52.1885	40000	33082680
"Oct 2016"	679.2705	52.1525	56000	40959688
"Oct 2017"	1723.272	92.725	46000	83535862
"Oct 2018"	1187.1815	143.5445	64000	85166464
"Oct 2019"	1854.523	111.193	37000	72731492
"Oct 2020"	1710.3325	102.254	44000	79753806
"Oct 2021"	2155.48	136.6585	192000	440090592
"Oct 2022"	2407.5225	87.4695	110000	274449120
"Sep 2010"	1038.841	133.744	41000	48075985
"Sep 2011"	1064.441	0	48000	51093168
"Sep 2012"	932.6955	163.382	43000	47131332.5
"Sep 2013"	806.4775	51.279	49000	42030068.5
"Sep 2014"	416.2885	120.8125	43000	23095343
"Sep 2015"	543.775	43.647	42000	24671724
"Sep 2016"	812.1965	2.837	51000	41566708.5
"Sep 2017"	1020.079	30.574	47000	49380691
"Sep 2018"	1162.7195	127.6585	67000	86455326
"Sep 2019"	1612.827	141.7505	37000	64919367.5
"Sep 2020"	1795.094	80.6365	45000	84407872.5
"Sep 2021"	1087.6895	127.921	230000	279590415
"Sep 2022"	1238.1745	58.7875	270000	350179740
