"Year"	"Annual"	"Asset"
2008	67.6921320413528	2.02151473546903
2009	90.4859124434781	2.36186420866772
2010	40.1801712466879	1.97454782365574
2011	47.4322793151407	1.83503271573539
2012	93.2189092944223	2.02479220456351
2013	105.952478666353	2.25330873123855
2014	123.562045331396	2.45086164620483
2015	158.9729	3.160372
2016	163.5244	3.853752
2017	225.7536	4.645338
2018	221.1157	5.333171
