"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Bioenergy and Waste"	"Total Renewable"
"2014"	"S12000033"	"Aberdeen City"	0.937	0	0.62	4.347	0	4.385	10.289
"2014"	"S12000034"	"Aberdeenshire"	419.956	0	0.315	17.404	0	6.849	444.524
"2014"	"S12000041"	"Angus"	14.706	0	1.189	8.644	0	3.783	28.322
"2014"	"S12000035"	"Argyll & Bute"	240.315	0	279.751	4.242	0.5	0	524.808
"2014"	"S12000005"	"Clackmannanshire"	30.111	0	0.163	2.048	0	0	32.322
"2014"	"S12000006"	"Dumfries & Galloway"	336.401	180	150.813	10.812	0	56.267	734.293
"2014"	"S12000042"	"Dundee City"	0.106	0	0.35	2.508	0	10.5	13.464
"2014"	"S12000008"	"East Ayrshire"	232.818	0	0.053	3.634	0	5.877	242.382
"2014"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.132	0	0	2.143
"2014"	"S12000010"	"East Lothian"	50.073	0	0.029	3.873	0	7	60.975
"2014"	"S12000011"	"East Renfrewshire"	370.343	0	0	1.31	0	0	371.653
"2014"	"S12000036"	"Edinburgh City of"	4.136	0	0.013	0.853	0	6.629	11.631
"2014"	"S12000013"	"Eilean Siar"	29.736	0	2.195	4.071	0	0.736	36.738
"2014"	"S12000014"	"Falkirk"	0.397	0	0	3.091	0	12.08	15.568
"2014"	"S12000047"	"Fife"	59.176	7.35	1.24	11.859	0	95.579	175.204
"2014"	"S12000049"	"Glasgow City"	3.208	0	0	5.94	0	13.214	22.362
"2014"	"S12000017"	"Highland"	842.789	0	726.824	12.952	0	13.866	1596.431
"2014"	"S12000018"	"Inverclyde"	1.028	0	0.077	0.979	0	0	2.084
"2014"	"S12000019"	"Midlothian"	32.909	0	0.394	2.701	0	4.93	40.934
"2014"	"S12000020"	"Moray"	281.431	10	0.122	5.4	0	9.764	306.717
"2014"	"S12000021"	"North Ayrshire"	115.831	0	0.381	3.837	0	31.139	151.188
"2014"	"S12000050"	"North Lanarkshire"	14.885	0	0	5.692	0	31.523	52.1
"2014"	"S12000023"	"Orkney Islands"	50.045	0	0	1.301	6.888	0	58.234
"2014"	"S12000048"	"Perth & Kinross"	264.129	0	264.59	8.584	0	4.457	541.76
"2014"	"S12000038"	"Renfrewshire"	0.014	0	0	3.558	0	0	3.572
"2014"	"S12000026"	"Scottish Borders"	546.654	0	0.583	9.599	0	1	557.836
"2014"	"S12000027"	"Shetland Islands"	5.696	0	0.019	0.167	0	0	5.882
"2014"	"S12000028"	"South Ayrshire"	297.204	0	0.801	3.478	0	15.138	316.621
"2014"	"S12000029"	"South Lanarkshire"	659.206	0	18.848	8.578	0	10.587	697.219
"2014"	"S12000030"	"Stirling"	134.068	0	69.531	5.664	0	1.1	210.363
"2014"	"S12000039"	"West Dunbartonshire"	0.012	0	0	2.443	0	5.154	7.609
"2014"	"S12000040"	"West Lothian"	15.107	0	0	4.871	0	1	20.978
"2015"	"S12000033"	"Aberdeen City"	1.437	0	0.62	6.542	0	4.385	12.984
"2015"	"S12000034"	"Aberdeenshire"	515.557	0	0.353	30.486	0	6.849	553.245
"2015"	"S12000041"	"Angus"	16.684	0	1.335	16.609	0	3.783	38.411
"2015"	"S12000035"	"Argyll & Bute"	248.077	0	288.653	5.85	0.5	0	543.08
"2015"	"S12000005"	"Clackmannanshire"	30.111	0	0.06	2.494	0	0	32.665
"2015"	"S12000006"	"Dumfries & Galloway"	340.502	180	151.338	13.014	0	58.886	743.74
"2015"	"S12000042"	"Dundee City"	0.106	0	0.35	3.744	0	10.5	14.7
"2015"	"S12000008"	"East Ayrshire"	233.445	0	0.053	4.686	0	5.877	244.061
"2015"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.597	0	0	2.608
"2015"	"S12000010"	"East Lothian"	50.37	0	0.029	6.425	0	7	63.824
"2015"	"S12000011"	"East Renfrewshire"	359.825	0	0	1.614	0	0	361.439
"2015"	"S12000036"	"Edinburgh City of"	0.098	0	0.25	6.399	0	7.128	13.875
"2015"	"S12000013"	"Eilean Siar"	47.684	0	5.528	1.159	0	0.237	54.608
"2015"	"S12000014"	"Falkirk"	13.102	0	0.777	4.397	0	12.08	30.356
"2015"	"S12000047"	"Fife"	70.373	7.35	1.05	16.24	0	95.579	190.592
"2015"	"S12000049"	"Glasgow City"	3.053	0	0	8.945	0	13.214	25.212
"2015"	"S12000017"	"Highland"	963.121	0	747.699	15.78	0	18.444	1745.044
"2015"	"S12000018"	"Inverclyde"	1.724	0	0.077	1.679	0	0	3.48
"2015"	"S12000019"	"Midlothian"	33.356	0	0.394	3.831	0	6.417	43.998
"2015"	"S12000020"	"Moray"	281.831	0	0.122	7.111	0	10.463	299.527
"2015"	"S12000021"	"North Ayrshire"	115.848	0	1.094	5.972	0	32.149	155.063
"2015"	"S12000050"	"North Lanarkshire"	24.85	0	0	8.253	0	31.523	64.626
"2015"	"S12000023"	"Orkney Islands"	50.472	0	0.011	1.36	7.138	0	58.981
"2015"	"S12000048"	"Perth & Kinross"	266.833	0	270.942	12.231	0	4.457	554.463
"2015"	"S12000038"	"Renfrewshire"	0.014	0	0	5.468	0	0	5.482
"2015"	"S12000026"	"Scottish Borders"	561.951	0	0.603	13.8	0	1.433	577.787
"2015"	"S12000027"	"Shetland Islands"	8.96	0	0.019	0.193	0	0	9.172
"2015"	"S12000028"	"South Ayrshire"	297.799	0	0.897	4.329	0	15.138	318.163
"2015"	"S12000029"	"South Lanarkshire"	694.673	0	18.913	11.395	0	10.587	735.568
"2015"	"S12000030"	"Stirling"	135.58	0	73.714	8.002	0	1.7	218.996
"2015"	"S12000039"	"West Dunbartonshire"	0	0	0.698	2.882	0	5.154	8.734
"2015"	"S12000040"	"West Lothian"	22.26	0	0	6.618	0	1	29.878
"2016"	"S12000033"	"Aberdeen City"	1.437	0	0.72	7.059	0	4.385	13.601
"2016"	"S12000034"	"Aberdeenshire"	513.013	0	0.506	35.571	0	9.17	558.26
"2016"	"S12000041"	"Angus"	18.859	0	1.776	27.528	0	4.332	52.495
"2016"	"S12000035"	"Argyll & Bute"	311.699	0	294.411	6.082	0.169	0	612.361
"2016"	"S12000005"	"Clackmannanshire"	42.111	0	0.06	7.348	0	0	49.519
"2016"	"S12000006"	"Dumfries & Galloway"	382.124	180	152.497	13.641	0	58.926	787.188
"2016"	"S12000042"	"Dundee City"	0.106	0	0.171	3.844	0	10.5	14.621
"2016"	"S12000008"	"East Ayrshire"	303.945	0	0.493	4.863	0	5.86	315.161
"2016"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.657	0	0.998	3.666
"2016"	"S12000010"	"East Lothian"	64.187	0	0.029	6.867	0	7	78.083
"2016"	"S12000011"	"East Renfrewshire"	359.836	0	0	1.769	0	0	361.605
"2016"	"S12000036"	"Edinburgh City of"	0.098	0	0.25	8.104	0	7.262	15.714
"2016"	"S12000013"	"Eilean Siar"	44.224	0	2.26	1.182	0	0.237	47.903
"2016"	"S12000014"	"Falkirk"	41.102	0	0.777	4.553	0	12.08	58.512
"2016"	"S12000047"	"Fife"	96.575	7.35	1.05	22.136	0	102.329	229.44
"2016"	"S12000049"	"Glasgow City"	3.053	0	0	9.515	0	13.214	25.782
"2016"	"S12000017"	"Highland"	1187.71	0	776.654	16.503	5.7	19.781	2006.348
"2016"	"S12000018"	"Inverclyde"	2.224	0	0.077	1.758	0	0	4.059
"2016"	"S12000019"	"Midlothian"	33.459	0	0.394	4.16	0	6.417	44.43
"2016"	"S12000020"	"Moray"	342.256	0	0.125	7.592	0	28.094	378.067
"2016"	"S12000021"	"North Ayrshire"	125.948	0	2.549	6.269	0	32.075	166.841
"2016"	"S12000050"	"North Lanarkshire"	24.85	0	0	8.556	0	31.56	64.966
"2016"	"S12000023"	"Orkney Islands"	51.252	0	0.011	1.364	7.138	0	59.765
"2016"	"S12000048"	"Perth & Kinross"	266.952	0	276.41	26.101	0	6.017	575.48
"2016"	"S12000038"	"Renfrewshire"	0.014	0	0	5.755	0	0.11	5.879
"2016"	"S12000026"	"Scottish Borders"	591.877	0	0.603	14.481	0	1.653	608.614
"2016"	"S12000027"	"Shetland Islands"	9.176	0	0.019	0.205	0	0	9.4
"2016"	"S12000028"	"South Ayrshire"	409.638	0	0.897	4.417	0	11.076	426.028
"2016"	"S12000029"	"South Lanarkshire"	804.754	0	18.913	11.878	0	10.636	846.181
"2016"	"S12000030"	"Stirling"	158.08	0	82.551	9.866	0	1.749	252.246
"2016"	"S12000039"	"West Dunbartonshire"	0	0	0.698	3.131	0	5.154	8.983
"2016"	"S12000040"	"West Lothian"	96.567	0	0	7.081	0	1	104.648
"2017"	"S12000033"	"Aberdeen City"	1.437	0	0.72	7.367	0	4.385	13.909
"2017"	"S12000034"	"Aberdeenshire"	543.823	59	0.531	37.429	0	9.39	650.173
"2017"	"S12000041"	"Angus"	18.859	0	1.776	31.94	0	5.591	58.166
"2017"	"S12000035"	"Argyll & Bute"	334.199	0	295.743	6.229	0.169	0.05	636.39
"2017"	"S12000005"	"Clackmannanshire"	42.111	0	0.06	7.44	0	0	49.611
"2017"	"S12000006"	"Dumfries & Galloway"	571.938	180	151.332	13.954	0	59.584	976.808
"2017"	"S12000042"	"Dundee City"	0.106	0	0.171	3.932	0	10.5	14.709
"2017"	"S12000008"	"East Ayrshire"	318.395	0	0.513	4.934	0	5.86	329.702
"2017"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.678	0	0.998	3.687
"2017"	"S12000010"	"East Lothian"	124.987	0	0.033	7.018	0	7	139.038
"2017"	"S12000011"	"East Renfrewshire"	360.646	0	0	1.797	0	0	362.443
"2017"	"S12000036"	"Edinburgh City of"	0.098	0	0.25	8.382	0	7.262	15.992
"2017"	"S12000013"	"Eilean Siar"	44.224	0	2.26	1.198	0	0.237	47.919
"2017"	"S12000014"	"Falkirk"	41.602	0	0.777	4.766	0	12.08	59.225
"2017"	"S12000047"	"Fife"	96.075	7.35	1.05	31.362	0	102.917	238.754
"2017"	"S12000049"	"Glasgow City"	3.053	0	0	10.148	0	18.214	31.415
"2017"	"S12000017"	"Highland"	1483.77	0	803.246	16.967	5.7	38.083	2347.766
"2017"	"S12000018"	"Inverclyde"	2.424	0	0.077	1.828	0	0	4.329
"2017"	"S12000019"	"Midlothian"	49.959	0	0.394	4.282	0	6.417	61.052
"2017"	"S12000020"	"Moray"	342.256	0	0.125	9.07	0	28.594	380.045
"2017"	"S12000021"	"North Ayrshire"	125.948	0	3.149	11.457	0	32.075	172.629
"2017"	"S12000050"	"North Lanarkshire"	24.85	0	0.355	8.885	0	33.082	67.172
"2017"	"S12000023"	"Orkney Islands"	51.288	0	0.011	1.422	11.549	0	64.27
"2017"	"S12000048"	"Perth & Kinross"	276.247	0	277.51	26.775	0	6.215	586.747
"2017"	"S12000038"	"Renfrewshire"	0.014	0	0	5.806	0	0.11	5.93
"2017"	"S12000026"	"Scottish Borders"	636.977	0	0.603	14.817	0	2.443	654.84
"2017"	"S12000027"	"Shetland Islands"	13.756	0	0.019	0.225	0.5	0	14.5
"2017"	"S12000028"	"South Ayrshire"	653.138	0	0.897	4.653	0	16.09	674.778
"2017"	"S12000029"	"South Lanarkshire"	882.595	0	18.913	12.235	0	10.676	924.419
"2017"	"S12000030"	"Stirling"	159.592	0	85.678	11.363	0	1.825	258.458
"2017"	"S12000039"	"West Dunbartonshire"	0	0	0.702	3.218	0	5.154	9.074
"2017"	"S12000040"	"West Lothian"	105.097	0	0	8.005	0	1	114.102
"2018"	"S12000033"	"Aberdeen City"	1.437	0	0.72	7.545	0	4.385	14.087
"2018"	"S12000034"	"Aberdeenshire"	508.26	126.8	0.578	39.418	0	9.513	684.569
"2018"	"S12000041"	"Angus"	18.865	0	1.905	33.033	0	5.683	59.486
"2018"	"S12000035"	"Argyll & Bute"	341.068	0	296.578	6.779	0.169	0.05	644.644
"2018"	"S12000005"	"Clackmannanshire"	42.411	0	0.06	7.558	0	0	50.029
"2018"	"S12000006"	"Dumfries & Galloway"	679.335	180	151.25	14.312	0	59.892	1084.789
"2018"	"S12000042"	"Dundee City"	0.1	0	0.171	4.229	0	10.552	15.052
"2018"	"S12000008"	"East Ayrshire"	368.33	0	0.513	5.057	0	5.86	379.76
"2018"	"S12000045"	"East Dunbartonshire"	0.011	0	0	2.752	0	0.998	3.761
"2018"	"S12000010"	"East Lothian"	129.781	0	0.033	7.532	0	7.135	144.481
"2018"	"S12000011"	"East Renfrewshire"	361.135	0	0	1.802	0	0	362.937
"2018"	"S12000036"	"Edinburgh City of"	0.098	0	0.25	8.686	0	7.262	16.296
"2018"	"S12000013"	"Eilean Siar"	44.303	0	2.26	1.221	0	0.237	48.021
"2018"	"S12000014"	"Falkirk"	41.602	0	0.877	4.982	0	12.08	59.541
"2018"	"S12000047"	"Fife"	97.175	7.35	1.05	31.979	0	102.917	240.471
"2018"	"S12000049"	"Glasgow City"	3.053	0	0	10.402	0	18.214	31.669
"2018"	"S12000017"	"Highland"	1736.575	0	804.589	17.448	5.7	38.098	2602.41
"2018"	"S12000018"	"Inverclyde"	2.424	0	0.077	1.888	0	0	4.389
"2018"	"S12000019"	"Midlothian"	49.956	0	0.394	4.588	0	6.417	61.355
"2018"	"S12000020"	"Moray"	324.156	273	0.125	9.369	0	28.594	635.244
"2018"	"S12000021"	"North Ayrshire"	112.854	0	3.149	11.63	0	32.075	159.708
"2018"	"S12000050"	"North Lanarkshire"	24.35	0	0.355	9.487	0	50.512	84.704
"2018"	"S12000023"	"Orkney Islands"	51.267	0	0.011	1.425	13.549	0	66.252
"2018"	"S12000048"	"Perth & Kinross"	285.819	0	277.489	27.266	0	6.215	596.789
"2018"	"S12000038"	"Renfrewshire"	0.014	0	0	6.412	0	0.198	6.624
"2018"	"S12000026"	"Scottish Borders"	642.905	0	0.603	15.779	0	2.443	661.73
"2018"	"S12000027"	"Shetland Islands"	13.736	0	0.019	0.249	0.5	0	14.504
"2018"	"S12000028"	"South Ayrshire"	653.122	0	0.897	4.703	0	16.09	674.812
"2018"	"S12000029"	"South Lanarkshire"	1061.993	0	18.913	12.82	0	24.196	1117.922
"2018"	"S12000030"	"Stirling"	161.092	0	85.678	13.935	0	7.474	268.179
"2018"	"S12000039"	"West Dunbartonshire"	0	0	0.702	3.474	0	5.154	9.33
"2018"	"S12000040"	"West Lothian"	105.097	0	0	8.119	0	1	114.216
"2019"	"S12000033"	"Aberdeen City"	1.437	2	0.72	9.122	0	4.385	17.664
"2019"	"S12000034"	"Aberdeenshire"	507.744	126.8	0.578	44.516	0	9.863	689.501
"2019"	"S12000041"	"Angus"	18.865	0	1.905	40.295	0	6.176	67.241
"2019"	"S12000035"	"Argyll and Bute"	341.274	0	296.628	7.36	0.169	0.05	645.481
"2019"	"S12000036"	"City of Edinburgh"	0.098	0	0.245	11.516	0	7.262	19.121
"2019"	"S12000005"	"Clackmannanshire"	42.411	0	0.06	8.115	0	0	50.586
"2019"	"S12000006"	"Dumfries and Galloway"	679.008	174	151.25	15.784	0	60.016	1080.058
"2019"	"S12000042"	"Dundee City"	0.1	0	0.171	5.198	0	10.552	16.021
"2019"	"S12000008"	"East Ayrshire"	379.13	0	0.513	6.473	0	5.954	392.07
"2019"	"S12000045"	"East Dunbartonshire"	0.011	0	0	3.173	0	0.998	4.182
"2019"	"S12000010"	"East Lothian"	134.581	0	0.033	9.115	0	43.915	187.644
"2019"	"S12000011"	"East Renfrewshire"	361.055	0	0	2.361	0	0	363.416
"2019"	"S12000014"	"Falkirk"	41.627	0	0.877	5.983	0	12.08	60.567
"2019"	"S12000047"	"Fife"	97.4	7.35	1.14	36.436	0	102.917	245.243
"2019"	"S12000049"	"Glasgow City"	3.053	0	0	14.136	0	33.271	50.46
