"Technology Type","Application Submitted","Awaiting Construction","Under Construction"
"Advanced Conversion Technologies",NA,32.14,25
"Anaerobic Digestion",NA,3.6,NA
"EfW Incineration",42.3,47,32.6
"Shoreline Wave",20,NA,NA
"Small Hydro",NA,23.195,4.94
"Solar Photovoltaics",45,303.621,7.3
"Tidal Barrage and Tidal Stream",200,130.4,NA
"Wind Offshore",NA,2713.9,1458
"Wind Onshore",4117.525,4307.32,424.3
