"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"225","Strathclyde","Scottish Government (S36)",3502,"Wind Onshore","Awaiting Construction",NA,52.8,16,"Offshore",NA
"226","Strathclyde","Scottish Government (S36)",4178,"Wind Onshore","Operational",2017-08-15,172.8,54,"Offshore",NA
"227","Strathclyde","Scottish Government (S36)",9930,"Wind Onshore","Application Submitted",NA,54,9,"Offshore",NA
"228","Strathclyde","Scottish Government (S36)",11917,"Wind Onshore","Awaiting Construction",NA,28,6,"Offshore",NA
"229","Strathclyde","Scottish Government (S36)",4253,"Wind Onshore","Operational",2016-02-18,48.4,29,"Offshore",NA
"230","Strathclyde","Scottish Government (S36)",6826,"Wind Onshore","Awaiting Construction",NA,78,13,"Offshore",NA
"231","Strathclyde","Scottish Government (S36)",4011,"Wind Onshore","Operational",2012-10-01,350,152,"Offshore",NA
"232","Strathclyde","Scottish Government (S36)",4643,"Wind Onshore","Operational",2019-09-15,88.4,26,"Offshore",NA
"233","Strathclyde","Scottish Government (S36)",3109,"Wind Onshore","Operational",2006-05-08,120,52,"Offshore",NA
"234","Strathclyde","Scottish Government (S36)",8341,"Solar Photovoltaics","Application Submitted",NA,40,0,"Offshore",NA
"235","Strathclyde","Scottish Government (S36)",4269,"Wind Onshore","Operational",2016-08-15,69,23,"Offshore",NA
"236","Strathclyde","Scottish Government (S36)",4619,"Wind Onshore","Operational",2013-10-28,46,20,"Offshore",NA
"237","Strathclyde","Scottish Government (S36)",6607,"Wind Onshore","Under Construction",NA,205.8,49,"Offshore",NA
"238","Strathclyde","Scottish Government (S36)",3328,"Wind Onshore","Under Construction",NA,126,21,"Offshore",NA
"239","Tayside","Perth & Kinross Council",14202,"Solar Photovoltaics","Operational",2023-05-01,0.16,0,"Offshore",NA
"240","Tayside","Perth & Kinross Council",11900,"Solar Photovoltaics","Awaiting Construction",NA,14,0,"Offshore",NA
"241","Tayside","Perth & Kinross Council",13149,"Solar Photovoltaics","Awaiting Construction",NA,0.75,0,"Offshore",NA
"242","Tayside","Scottish Government (S36)",4028,"Wind Onshore","Operational",2012-02-28,156,52,"Offshore",NA
"243","Tayside","Scottish Government (S36)",11622,"Solar Photovoltaics","Awaiting Construction",NA,32,0,"Offshore",NA
"244","Western Isles","Scottish Government (S36)",6665,"Wind Onshore","Awaiting Construction",NA,196,33,"Comhairle nan Eilean Siar","S12000013"
"245","Western Isles","Scottish Government (S36)",3901,"Wind Onshore","Awaiting Construction",NA,21.6,6,"Comhairle nan Eilean Siar","S12000013"
"246","Western Isles","Scottish Government (S36)",4523,"Wind Onshore","Awaiting Construction",NA,118.8,33,"Comhairle nan Eilean Siar","S12000013"
"247","Western Isles","Scottish Government (S36)",4448,"Wind Onshore","Awaiting Construction",NA,21.6,6,"Comhairle nan Eilean Siar","S12000013"
"248","Wigtownshire","Dumfries & Galloway Council",13298,"Biomass (dedicated)","Awaiting Construction",NA,0.19,0,"Offshore",NA
"249","Aberdeenshire","Aberdeen City Council",7526,"Solar Photovoltaics","Operational",2020-03-27,0.3,0,"Aberdeen City","S12000033"
"250","Grampian","Aberdeen City Council",10595,"Solar Photovoltaics","Awaiting Construction",NA,0.18,0,"Aberdeen City","S12000033"
"251","Grampian","Aberdeen City Council",13400,"Solar Photovoltaics","Awaiting Construction",NA,0.19,0,"Aberdeen City","S12000033"
"252","Grampian","Aberdeen City Council",10043,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Aberdeen City","S12000033"
"253","Grampian","Aberdeen City Council",11956,"Solar Photovoltaics","Awaiting Construction",NA,0.16,0,"Aberdeen City","S12000033"
"254","Grampian","Aberdeen City Council",10584,"Solar Photovoltaics","Awaiting Construction",NA,0.3,0,"Aberdeen City","S12000033"
"255","Aberdeenshire","Aberdeen City Council",13698,"Solar Photovoltaics","Awaiting Construction",NA,0.276,0,"Aberdeen City","S12000033"
"256","Aberdeenshire","Aberdeen City Council",5615,"EfW Incineration","Under Construction",NA,11.1,0,"Aberdeen City","S12000033"
"257","Grampian","Aberdeen City Council",691,"Landfill Gas","Operational",2002-11-14,2.2,0,"Aberdeen City","S12000033"
"258","Aberdeenshire","Aberdeen City Council",12801,"Solar Photovoltaics","Awaiting Construction",NA,8,0,"Aberdeen City","S12000033"
"259","Grampian","Aberdeen City Council",12839,"Solar Photovoltaics","Application Submitted",NA,1.05,0,"Aberdeen City","S12000033"
"260","Grampian","Aberdeenshire Council",3532,"Wind Onshore","Operational",2005-01-01,2.5,1,"Aberdeenshire","S12000034"
"261","Grampian","Aberdeenshire Council",2741,"Wind Onshore","Operational",2012-12-18,6,3,"Aberdeenshire","S12000034"
"262","Grampian","Aberdeenshire Council",2724,"Wind Onshore","Operational",2010-07-10,2.6,3,"Aberdeenshire","S12000034"
"263","Grampian","Aberdeenshire Council",3784,"Wind Onshore","Operational",2013-03-30,6.9,3,"Aberdeenshire","S12000034"
"264","Grampian","Aberdeenshire Council",4360,"Wind Onshore","Operational",2017-12-15,6.9,3,"Aberdeenshire","S12000034"
"265","Grampian","Aberdeenshire Council",2758,"Wind Onshore","Operational",2010-07-09,1.7,2,"Aberdeenshire","S12000034"
"266","Grampian","Aberdeenshire Council",4365,"Wind Onshore","Operational",2014-06-30,25,10,"Aberdeenshire","S12000034"
"267","Grampian","Aberdeenshire Council",3681,"Wind Onshore","Operational",2011-10-04,2.4,3,"Aberdeenshire","S12000034"
"268","Grampian","Aberdeenshire Council",11642,"Solar Photovoltaics","Awaiting Construction",NA,0.256,0,"Aberdeenshire","S12000034"
"269","Grampian","Aberdeenshire Council",4348,"Wind Onshore","Operational",2017-02-28,7.5,3,"Aberdeenshire","S12000034"
"270","Grampian","Aberdeenshire Council",2965,"Wind Onshore","Operational",2008-06-23,1.6,2,"Aberdeenshire","S12000034"
"271","Grampian","Aberdeenshire Council",3911,"Wind Onshore","Operational",2016-12-01,9.6,3,"Aberdeenshire","S12000034"
"272","Grampian","Aberdeenshire Council",629,"Landfill Gas","Operational",2005-08-30,2.2,0,"Aberdeenshire","S12000034"
"273","Aberdeenshire","Aberdeenshire Council",5845,"Solar Photovoltaics","Under Construction",NA,2,0,"Aberdeenshire","S12000034"
"274","Grampian","Aberdeenshire Council",4671,"Wind Onshore","Operational",2006-02-01,16.7,8,"Aberdeenshire","S12000034"
"275","Grampian","Aberdeenshire Council",3075,"Wind Onshore","Operational",2009-12-20,3.2,4,"Aberdeenshire","S12000034"
"276","Grampian","Aberdeenshire Council",4170,"Wind Onshore","Operational",2015-02-16,6.9,3,"Aberdeenshire","S12000034"
"277","Grampian","Aberdeenshire Council",1358,"Solar Photovoltaics","Operational",2015-09-15,2.4,0,"Aberdeenshire","S12000034"
"278","Grampian","Aberdeenshire Council",205,"Biomass (dedicated)","Operational",2008-09-01,1.2,0,"Aberdeenshire","S12000034"
"279","Grampian","Aberdeenshire Council",13252,"Solar Photovoltaics","Awaiting Construction",NA,0.29,0,"Aberdeenshire","S12000034"
"280","Grampian","Aberdeenshire Council",2867,"Wind Onshore","Operational",2013-03-07,7.7,3,"Aberdeenshire","S12000034"
"281","Grampian","Aberdeenshire Council",12227,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Aberdeenshire","S12000034"
"282","Aberdeenshire","Aberdeenshire Council",6736,"Solar Photovoltaics","Under Construction",NA,36.6,0,"Aberdeenshire","S12000034"
"283","Grampian","Aberdeenshire Council",3968,"Wind Onshore","Operational",2010-02-20,6.9,3,"Aberdeenshire","S12000034"
"284","Grampian","Aberdeenshire Council",3776,"Wind Onshore","Operational",2017-11-11,1.7,2,"Aberdeenshire","S12000034"
"285","Grampian","Aberdeenshire Council",3398,"Wind Onshore","Operational",2014-07-01,4.6,2,"Aberdeenshire","S12000034"
"286","Grampian","Aberdeenshire Council",3404,"Wind Onshore","Operational",2011-05-25,4.6,2,"Aberdeenshire","S12000034"
"287","Grampian","Aberdeenshire Council",3802,"Wind Onshore","Operational",2013-11-01,9.2,4,"Aberdeenshire","S12000034"
"288","Grampian","Aberdeenshire Council",3200,"Wind Onshore","Operational",2007-01-01,12.3,7,"Aberdeenshire","S12000034"
"289","Grampian","Aberdeenshire Council",3524,"Wind Onshore","Operational",2010-10-01,2.4,3,"Aberdeenshire","S12000034"
"290","Grampian","Aberdeenshire Council",3723,"Wind Onshore","Operational",2014-12-01,1,2,"Aberdeenshire","S12000034"
"291","Grampian","Aberdeenshire Council",3806,"Wind Onshore","Operational",2014-12-01,2.4,3,"Aberdeenshire","S12000034"
"292","Grampian","Aberdeenshire Council",3722,"Wind Onshore","Operational",2012-12-31,4.5,3,"Aberdeenshire","S12000034"
"293","Grampian","Aberdeenshire Council",4056,"Wind Onshore","Operational",2007-07-31,2,2,"Aberdeenshire","S12000034"
"294","Grampian","Aberdeenshire Council",2922,"Wind Onshore","Operational",2009-06-01,4.6,2,"Aberdeenshire","S12000034"
"295","Grampian","Aberdeenshire Council",1501,"Solar Photovoltaics","Operational",2015-09-28,1.8,0,"Aberdeenshire","S12000034"
"296","Aberdeenshire","Aberdeenshire Council",10627,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Aberdeenshire","S12000034"
"297","Grampian","Aberdeenshire Council",4623,"Wind Onshore","Operational",2015-06-26,37,18,"Aberdeenshire","S12000034"
"298","Grampian","Aberdeenshire Council",4350,"Wind Onshore","Operational",2017-02-09,10,5,"Aberdeenshire","S12000034"
"299","Aberdeenshire","Aberdeenshire Council",7304,"Wind Onshore","Operational",2022-04-01,2,2,"Aberdeenshire","S12000034"
"300","Grampian","Aberdeenshire Council",3698,"Wind Onshore","Operational",2012-03-01,4.6,2,"Aberdeenshire","S12000034"
"301","Grampian","Aberdeenshire Council",2782,"Wind Onshore","Operational",2009-06-04,2.3,1,"Aberdeenshire","S12000034"
"302","Grampian","Aberdeenshire Council",3701,"Wind Onshore","Operational",2013-01-16,6.9,3,"Aberdeenshire","S12000034"
"303","Grampian","Aberdeenshire Council",3809,"Wind Onshore","Operational",2016-02-01,4.6,2,"Aberdeenshire","S12000034"
"304","Grampian","Aberdeenshire Council",7596,"Solar Photovoltaics","Under Construction",NA,5,0,"Aberdeenshire","S12000034"
"305","Grampian","Aberdeenshire Council",4422,"Wind Onshore","Operational",2014-07-01,10,4,"Aberdeenshire","S12000034"
"306","Grampian","Aberdeenshire Council",11341,"Solar Photovoltaics","Awaiting Construction",NA,0.18,0,"Aberdeenshire","S12000034"
"307","Grampian","Aberdeenshire Council",4114,"Wind Onshore","Operational",2013-02-14,18.4,8,"Aberdeenshire","S12000034"
"308","Grampian","Aberdeenshire Council",3594,"Wind Onshore","Operational",2011-12-13,4.6,2,"Aberdeenshire","S12000034"
"309","Aberdeenshire","Aberdeenshire Council",12478,"Biomass (dedicated)","Awaiting Construction",NA,0.2,0,"Aberdeenshire","S12000034"
"310","Grampian","Aberdeenshire Council",3548,"Wind Onshore","Operational",2011-12-01,12,6,"Aberdeenshire","S12000034"
"311","Grampian","Aberdeenshire Council",2923,"Wind Onshore","Operational",2010-10-04,5,3,"Aberdeenshire","S12000034"
"312","Aberdeenshire","Aberdeenshire Council",11887,"Solar Photovoltaics","Awaiting Construction",NA,0.29,0,"Aberdeenshire","S12000034"
"313","Grampian","Aberdeenshire Council",11248,"Anaerobic Digestion","Under Construction",NA,3.5,0,"Aberdeenshire","S12000034"
"314","Grampian","Aberdeenshire Council",2999,"Wind Onshore","Operational",2009-07-15,2.4,3,"Aberdeenshire","S12000034"
"315","Grampian","Aberdeenshire Council",4411,"Wind Onshore","Operational",2017-05-01,4.6,2,"Aberdeenshire","S12000034"
"316","Grampian","Aberdeenshire Council",2839,"Wind Onshore","Operational",2012-01-20,5.2,4,"Aberdeenshire","S12000034"
"317","Grampian","Aberdeenshire Council",4133,"Wind Onshore","Operational",2016-10-15,1.6,2,"Aberdeenshire","S12000034"
"318","Tayside","Aberdeenshire Council",13602,"Wind Onshore","Application Submitted",NA,0.66,1,"Aberdeenshire","S12000034"
"319","Aberdeenshire","Aberdeenshire Council",13923,"Solar Photovoltaics","Application Submitted",NA,0.19855,0,"Aberdeenshire","S12000034"
"320","Aberdeenshire","Aberdeenshire Council",8842,"Solar Photovoltaics","Awaiting Construction",NA,13,0,"Aberdeenshire","S12000034"
"321","Grampian","Aberdeenshire Council",4109,"Wind Onshore","Operational",2013-07-30,10,12,"Aberdeenshire","S12000034"
"322","Aberdeenshire","Aberdeenshire Council",4892,"Wind Onshore","Operational",2017-03-27,2.4,3,"Aberdeenshire","S12000034"
"323","Aberdeenshire","Aberdeenshire Council",9523,"Solar Photovoltaics","Under Construction",NA,1.028,0,"Aberdeenshire","S12000034"
"324","Grampian","Aberdeenshire Council",3403,"Wind Onshore","Operational",2011-06-01,2.3,1,"Aberdeenshire","S12000034"
"325","Aberdeenshire","Aberdeenshire Council",4987,"Wind Onshore","Awaiting Construction",NA,3.6,4,"Aberdeenshire","S12000034"
"326","Aberdeenshire","Aberdeenshire Council",6259,"Wind Onshore","Application Submitted",NA,38,11,"Aberdeenshire","S12000034"
"327","Grampian","Aberdeenshire Council",11289,"Solar Photovoltaics","Awaiting Construction",NA,0.15,0,"Aberdeenshire","S12000034"
"328","Grampian","Aberdeenshire Council",2691,"Wind Onshore","Operational",2010-01-04,2.3,1,"Aberdeenshire","S12000034"
"329","Grampian","Aberdeenshire Council",12595,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Aberdeenshire","S12000034"
"330","Grampian","Aberdeenshire Council",2708,"Wind Onshore","Operational",2009-12-01,2.3,1,"Aberdeenshire","S12000034"
"331","Grampian","Aberdeenshire Council",2822,"Wind Onshore","Operational",2012-01-18,2.3,1,"Aberdeenshire","S12000034"
"332","Grampian","Aberdeenshire Council",3718,"Wind Onshore","Operational",2013-11-01,2.4,3,"Aberdeenshire","S12000034"
"333","Grampian","Aberdeenshire Council",8820,"Biomass (dedicated)","Awaiting Construction",NA,0.21,0,"Aberdeenshire","S12000034"
"334","Grampian","Aberdeenshire Council",4511,"Wind Onshore","Operational",2014-07-12,6.8,3,"Aberdeenshire","S12000034"
"335","Grampian","Aberdeenshire Council",11933,"Solar Photovoltaics","Awaiting Construction",NA,3,0,"Aberdeenshire","S12000034"
"336","Aberdeenshire","Aberdeenshire Council",14255,"Wind Onshore","Application Submitted",NA,1,1,"Aberdeenshire","S12000034"
"337","Grampian","Aberdeenshire Council",788,"Landfill Gas","Operational",2005-04-01,4.3,0,"Aberdeenshire","S12000034"
"338","Grampian","Aberdeenshire Council",4031,"Wind Onshore","Operational",2013-04-01,15.8,9,"Aberdeenshire","S12000034"
"339","Grampian","Aberdeenshire Council",3836,"Wind Onshore","Operational",2014-10-15,4.6,2,"Aberdeenshire","S12000034"
"340","Grampian","Aberdeenshire Council",3980,"Wind Onshore","Operational",2012-03-20,2.4,3,"Aberdeenshire","S12000034"
"341","Grampian","Aberdeenshire Council",12960,"Wind Onshore","Application Submitted",NA,3.6,4,"Aberdeenshire","S12000034"
"342","Grampian","Aberdeenshire Council",3405,"Wind Onshore","Operational",2010-11-01,2.3,1,"Aberdeenshire","S12000034"
"343","Aberdeenshire","Aberdeenshire Council",5945,"Solar Photovoltaics","Operational",2015-09-15,1.2,0,"Aberdeenshire","S12000034"
"344","Aberdeenshire","Aberdeenshire Council",4753,"Solar Photovoltaics","Operational",2015-12-01,1.6,0,"Aberdeenshire","S12000034"
"345","Aberdeenshire","Aberdeenshire Council",4780,"Solar Photovoltaics","Operational",2016-02-17,3.8,0,"Aberdeenshire","S12000034"
"346","Aberdeenshire","Aberdeenshire Council",13849,"Biomass (dedicated)","Awaiting Construction",NA,0.5,0,"Aberdeenshire","S12000034"
"347","Grampian","Aberdeenshire Council",3818,"Wind Onshore","Operational",2014-04-01,7.5,3,"Aberdeenshire","S12000034"
"348","Grampian","Aberdeenshire Council",11587,"Biomass (dedicated)","Awaiting Construction",NA,0.26,0,"Aberdeenshire","S12000034"
"349","Grampian","Aberdeenshire Council",12744,"Biomass (dedicated)","Awaiting Construction",NA,0.61,0,"Aberdeenshire","S12000034"
"350","Aberdeenshire","Aberdeenshire Council",9880,"Solar Photovoltaics","Awaiting Construction",NA,0.17535,0,"Aberdeenshire","S12000034"
"351","Grampian","Aberdeenshire Council",13540,"Wind Onshore","Application Submitted",NA,0,1,"Aberdeenshire","S12000034"
"352","Grampian","Aberdeenshire Council",7595,"Wind Onshore","Under Construction",NA,3,2,"Aberdeenshire","S12000034"
"353","Grampian","Aberdeenshire Council",3190,"Wind Onshore","Operational",2010-09-07,17.5,7,"Aberdeenshire","S12000034"
"354","Grampian","Aberdeenshire Council",3311,"Wind Onshore","Operational",2005-07-22,26,20,"Aberdeenshire","S12000034"
"355","Aberdeenshire","Aberdeenshire Council",13442,"Biomass (dedicated)","Application Submitted",NA,0.293,0,"Aberdeenshire","S12000034"
"356","Grampian","Aberdeenshire Council",3840,"Wind Onshore","Operational",2015-03-01,3.2,4,"Aberdeenshire","S12000034"
"357","Grampian","Aberdeenshire Council",12504,"Wind Onshore","Application Submitted",NA,1,1,"Aberdeenshire","S12000034"
"358","Grampian","Aberdeenshire Council",4346,"Wind Onshore","Operational",2014-08-18,2.3,1,"Aberdeenshire","S12000034"
"359","Aberdeenshire","Aberdeenshire Council",8138,"Wind Onshore","Application Submitted",NA,1.6,2,"Aberdeenshire","S12000034"
"360","Grampian","Aberdeenshire Council",9576,"Solar Photovoltaics","Awaiting Construction",NA,1.5,0,"Aberdeenshire","S12000034"
"361","Aberdeenshire","Aberdeenshire Council",13714,"Solar Photovoltaics","Awaiting Construction",NA,0.19,0,"Aberdeenshire","S12000034"
"362","Grampian","Aberdeenshire Council",3666,"Wind Onshore","Operational",2013-03-31,12.5,5,"Aberdeenshire","S12000034"
"363","Grampian","Aberdeenshire Council",12783,"Solar Photovoltaics","Awaiting Construction",NA,0.38,0,"Aberdeenshire","S12000034"
"364","Aberdeenshire","Aberdeenshire Council",10487,"Solar Photovoltaics","Awaiting Construction",NA,0.365,0,"Aberdeenshire","S12000034"
"365","Aberdeenshire","Aberdeenshire Council",8086,"EfW Incineration","Application Submitted",NA,35,0,"Aberdeenshire","S12000034"
"366","Aberdeenshire","Aberdeenshire Council",10469,"Solar Photovoltaics","Awaiting Construction",NA,14.2,0,"Aberdeenshire","S12000034"
"367","Grampian","Aberdeenshire Council",3819,"Wind Onshore","Operational",2015-12-01,1.5,3,"Aberdeenshire","S12000034"
"368","Grampian","Aberdeenshire Council",11976,"Solar Photovoltaics","Awaiting Construction",NA,9.2,0,"Aberdeenshire","S12000034"
"369","Grampian","Aberdeenshire Council",11177,"Solar Photovoltaics","Awaiting Construction",NA,21,0,"Aberdeenshire","S12000034"
"370","Angus","Angus Council",12845,"Solar Photovoltaics","Awaiting Construction",NA,6.68,0,"Angus","S12000041"
"371","Angus","Angus Council",10962,"Solar Photovoltaics","Application Submitted",NA,6.5,0,"Angus","S12000041"
"372","Angus","Angus Council",11706,"Wind Onshore","Under Construction",NA,1,1,"Angus","S12000041"
"373","Angus","Angus Council",8233,"Solar Photovoltaics","Operational",2021-07-31,0.25,0,"Angus","S12000041"
"374","Angus","Angus Council",7674,"Solar Photovoltaics","Awaiting Construction",NA,39.9,0,"Angus","S12000041"
"375","Angus","Angus Council",12644,"Solar Photovoltaics","Awaiting Construction",NA,18.5,0,"Angus","S12000041"
"376","Angus","Angus Council",10963,"Solar Photovoltaics","Awaiting Construction",NA,42,0,"Angus","S12000041"
"377","Tayside","Angus Council",4062,"Wind Onshore","Operational",2013-03-29,6.4,8,"Angus","S12000041"
"378","Tayside","Angus Council",11365,"Solar Photovoltaics","Application Submitted",NA,25,0,"Angus","S12000041"
"379","Angus","Angus Council",9065,"Solar Photovoltaics","Under Construction",NA,5,0,"Angus","S12000041"
"380","Angus","Angus Council",12495,"Solar Photovoltaics","Application Submitted",NA,18,0,"Angus","S12000041"
"381","Angus","Angus Council",13686,"Solar Photovoltaics","Awaiting Construction",NA,0.32,0,"Angus","S12000041"
"382","Tayside","Angus Council",763,"Landfill Gas","Operational",2004-08-01,2,0,"Angus","S12000041"
"383","Angus","Angus Council",12213,"Solar Photovoltaics","Application Submitted",NA,31,0,"Angus","S12000041"
"384","Angus","Angus Council",13135,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Angus","S12000041"
"385","Tayside","Angus Council",4844,"Solar Photovoltaics","Operational",2016-06-15,10,0,"Angus","S12000041"
"386","Angus","Angus Council",9583,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Angus","S12000041"
"387","Angus","Angus Council",5333,"Solar Photovoltaics","Operational",2016-03-31,5,0,"Angus","S12000041"
"388","Angus","Angus Council",5655,"Solar Photovoltaics","Awaiting Construction",NA,5,0,"Angus","S12000041"
"389","Angus","Angus Council",11094,"Solar Photovoltaics","Awaiting Construction",NA,0.36,0,"Angus","S12000041"
"390","Angus","Angus Council",9864,"Wind Onshore","Application Submitted",NA,9.2,0,"Angus","S12000041"
"391","Angus","Angus Council",5914,"Solar Photovoltaics","Operational",2018-11-01,5,0,"Angus","S12000041"
"392","Angus","Angus Council",7638,"Solar Photovoltaics","Awaiting Construction",NA,0.23,0,"Angus","S12000041"
"393","Angus","Angus Council",4969,"Solar Photovoltaics","Operational",2017-03-28,5,0,"Angus","S12000041"
"396","Strathclyde","Argyll and Bute Council",3448,"Wind Onshore","Operational",2008-12-01,15,9,"Argyll and Bute","S12000035"
"397","Strathclyde","Argyll and Bute Council",3886,"Wind Onshore","Operational",2017-02-08,22.5,11,"Argyll and Bute","S12000035"
"398","Strathclyde","Argyll and Bute Council",395,"Large Hydro","Operational",1961-01-01,6,0,"Argyll and Bute","S12000035"
"399","Strathclyde","Argyll and Bute Council",3758,"Wind Onshore","Operational",2012-09-25,10.8,12,"Argyll and Bute","S12000035"
"400","Argyll and Bute","Argyll and Bute Council",5962,"Small Hydro","Under Construction",NA,2,0,"Argyll and Bute","S12000035"
"401","Strathclyde","Argyll and Bute Council",4605,"Wind Onshore","Under Construction",NA,35,14,"Argyll and Bute","S12000035"
"402","Strathclyde","Argyll and Bute Council",4331,"Wind Onshore","Operational",2016-06-29,48.3,21,"Argyll and Bute","S12000035"
"403","Strathclyde","Argyll and Bute Council",452,"Small Hydro","Operational",2015-08-24,1,0,"Argyll and Bute","S12000035"
"404","Strathclyde","Argyll and Bute Council",437,"Small Hydro","Operational",2012-08-30,2,0,"Argyll and Bute","S12000035"
"405","Strathclyde","Argyll and Bute Council",4184,"Wind Onshore","Operational",2018-11-21,6.9,3,"Argyll and Bute","S12000035"
"406","Strathclyde","Argyll and Bute Council",466,"Small Hydro","Operational",1952-01-01,2.4,0,"Argyll and Bute","S12000035"
"407","Strathclyde","Argyll and Bute Council",442,"Small Hydro","Operational",2016-08-15,1,0,"Argyll and Bute","S12000035"
"408","Strathclyde","Argyll and Bute Council",425,"Small Hydro","Operational",2008-05-01,3,0,"Argyll and Bute","S12000035"
"409","Strathclyde","Argyll and Bute Council",3294,"Wind Onshore","Operational",2001-10-01,15,26,"Argyll and Bute","S12000035"
"410","Strathclyde","Argyll and Bute Council",3585,"Wind Onshore","Operational",2004-01-31,33.3,35,"Argyll and Bute","S12000035"
"411","Strathclyde","Argyll and Bute Council",3387,"Wind Onshore","Under Construction",NA,49.9,19,"Argyll and Bute","S12000035"
"412","Strathclyde","Argyll and Bute Council",461,"Small Hydro","Operational",1956-01-01,2,0,"Argyll and Bute","S12000035"
"413","Strathclyde","Argyll and Bute Council",503,"Small Hydro","Operational",2005-01-01,2.2,0,"Argyll and Bute","S12000035"
"414","Strathclyde","Argyll and Bute Council",4024,"Wind Onshore","Operational",2011-06-17,6,7,"Argyll and Bute","S12000035"
"415","Argyll and Bute","Argyll and Bute Council",6724,"Small Hydro","Awaiting Construction",NA,2,0,"Argyll and Bute","S12000035"
"416","Strathclyde","Argyll and Bute Council",445,"Small Hydro","Operational",2014-01-31,1.9,0,"Argyll and Bute","S12000035"
"417","Strathclyde","Argyll and Bute Council",3295,"Wind Onshore","Operational",1999-06-25,7.8,14,"Argyll and Bute","S12000035"
"418","Strathclyde","Argyll and Bute Council",3298,"Wind Onshore","Operational",2010-08-04,19.3,23,"Argyll and Bute","S12000035"
"419","Strathclyde","Argyll and Bute Council",447,"Small Hydro","Operational",2016-08-16,2,0,"Argyll and Bute","S12000035"
"420","Argyll and Bute","Argyll and Bute Council",5123,"Wind Onshore","Awaiting Construction",NA,26,13,"Argyll and Bute","S12000035"
"421","Argyll and Bute","Argyll and Bute Council",5947,"Small Hydro","Operational",2015-12-01,1.5,0,"Argyll and Bute","S12000035"
"422","Argyll and Bute","Argyll and Bute Council",7313,"Small Hydro","Under Construction",NA,0.4,0,"Argyll and Bute","S12000035"
"423","Strathclyde","Argyll and Bute Council",3467,"Wind Onshore","Operational",2002-12-26,12.8,15,"Argyll and Bute","S12000035"
"424","Strathclyde","Argyll and Bute Council",3772,"Wind Onshore","Operational",2016-12-01,20.5,10,"Argyll and Bute","S12000035"
"425","Strathclyde","Argyll and Bute Council",397,"Large Hydro","Operational",1951-01-01,8,0,"Argyll and Bute","S12000035"
"426","Strathclyde","Argyll and Bute Council",4328,"Wind Onshore","Operational",2015-12-20,6,3,"Argyll and Bute","S12000035"
"427","Argyll and Bute","Argyll and Bute Council",7953,"Wind Onshore","Awaiting Construction",NA,0.2,1,"Argyll and Bute","S12000035"
"428","Strathclyde","Argyll and Bute Council",4525,"Wind Onshore","Operational",2014-09-01,43.7,16,"Argyll and Bute","S12000035"
"429","Argyll and Bute","Argyll and Bute Council",7305,"Small Hydro","Awaiting Construction",NA,0.4,0,"Argyll and Bute","S12000035"
"430","Strathclyde","Argyll and Bute Council",3292,"Wind Onshore","Operational",2001-12-23,30,46,"Argyll and Bute","S12000035"
"431","Argyll and Bute","Argyll and Bute Council",7459,"Wind Onshore","Application Submitted",NA,27,9,"Argyll and Bute","S12000035"
"432","Argyll and Bute","Argyll and Bute Council",6746,"Small Hydro","Operational",2021-06-10,0.2,0,"Argyll and Bute","S12000035"
"433","Argyll and Bute","Argyll and Bute Council",6687,"Small Hydro","Operational",2021-05-15,1,0,"Argyll and Bute","S12000035"
"434","Strathclyde","Argyll and Bute Council",3554,"Wind Onshore","Operational",2001-11-30,15.8,9,"Argyll and Bute","S12000035"
"438","Clackmannanshire","Clackmannanshire Council",2902,"Wind Onshore","Operational",2010-10-26,26,13,"Clackmannanshire","S12000005"
"439","Clackmannanshire","Clackmannanshire Council",4223,"Wind Onshore","Operational",2016-02-29,12,6,"Clackmannanshire","S12000005"
"440","Clackmannanshire","Clackmannanshire Council",6324,"Wind Onshore","Under Construction",NA,10.8,3,"Clackmannanshire","S12000005"
"441","Clackmannanshire","Clackmannanshire Council",13537,"Solar Photovoltaics","Awaiting Construction",NA,0.95,0,"Clackmannanshire","S12000005"
"442","Clackmannanshire","Clackmannanshire Council",5795,"Solar Photovoltaics","Operational",2016-03-31,5,0,"Clackmannanshire","S12000005"
"443","Western Isles","Comhairle nan Eilean Siar Council",3988,"Wind Onshore","Operational",2015-09-15,2.7,3,"Comhairle nan Eilean Siar","S12000013"
"444","Western Isles","Comhairle nan Eilean Siar Council",6323,"Wind Onshore","Awaiting Construction",NA,5,1,"Comhairle nan Eilean Siar","S12000013"
"445","Western Isles","Comhairle nan Eilean Siar Council",3306,"Wind Onshore","Operational",2006-12-01,3.9,3,"Comhairle nan Eilean Siar","S12000013"
"446","Western Isles","Comhairle nan Eilean Siar Council",6673,"Wind Onshore","Application Submitted",NA,49.9,10,"Comhairle nan Eilean Siar","S12000013"
"447","Western Isles","Comhairle nan Eilean Siar Council",6178,"Wind Onshore","Awaiting Construction",NA,5,1,"Comhairle nan Eilean Siar","S12000013"
